Overall W-L%, Home W-L%, Away W-L%
.506,.494,.519

Opponent, W-L%
ATL,.429
CHC,.429
CIN,.500
COL,.421
HOU,.500
LAA,.750
LAD,.579
MIA,.857
MIL,.167
NYM,.286
OAK,.333
PHI,.667
PIT,.857
SDP,.632
SEA,.333
SFG,.421
STL,.500
TEX,.500
WSN,.286

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,COL,W,Patrick Corbin,/players/c/corbipa01.shtml,Jon Gray,/players/g/grayjo02.shtml
2,2018-03-30,home,COL,W,Robbie Ray,/players/r/rayro02.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
3,2018-03-31,home,COL,L,Bryan Shaw,/players/s/shawbr01.shtml,Fernando Salas,/players/s/salasfe01.shtml
4,2018-04-02,home,LAD,W,Fernando Salas,/players/s/salasfe01.shtml,Wilmer Font,/players/f/fontwi01.shtml
5,2018-04-03,home,LAD,W,Zack Godley,/players/g/godleza01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
6,2018-04-04,home,LAD,W,Patrick Corbin,/players/c/corbipa01.shtml,Alex Wood,/players/w/woodal02.shtml
7,2018-04-05,away,STL,W,Robbie Ray,/players/r/rayro02.shtml,Adam Wainwright,/players/w/wainwad01.shtml
8,2018-04-07,away,STL,L,Michael Wacha,/players/w/wachami01.shtml,Zack Greinke,/players/g/greinza01.shtml
9,2018-04-08,away,STL,W,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Dominic Leone,/players/l/leonedo01.shtml
10,2018-04-09,away,SFG,W,Zack Godley,/players/g/godleza01.shtml,Derek Holland,/players/h/hollade01.shtml
11,2018-04-10,away,SFG,L,Hunter Strickland,/players/s/strichu01.shtml,Jorge De La Rosa,/players/r/rosajo01.shtml
12,2018-04-11,away,SFG,W,Fernando Salas,/players/s/salasfe01.shtml,Andrew Suarez,/players/s/suarean01.shtml
13,2018-04-13,away,LAD,W,Zack Greinke,/players/g/greinza01.shtml,Kenta Maeda,/players/m/maedake01.shtml
14,2018-04-14,away,LAD,W,T.J. McFarland,/players/m/mcfartj01.shtml,Rich Hill,/players/h/hillri01.shtml
15,2018-04-15,away,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Zack Godley,/players/g/godleza01.shtml
16,2018-04-17,home,SFG,W,Patrick Corbin,/players/c/corbipa01.shtml,Tony Watson,/players/w/watsoto01.shtml
17,2018-04-18,home,SFG,L,Hunter Strickland,/players/s/strichu01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
18,2018-04-19,home,SFG,W,Zack Greinke,/players/g/greinza01.shtml,Ty Blach,/players/b/blachty01.shtml
19,2018-04-20,home,SDP,L,Brad Hand,/players/h/handbr01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
20,2018-04-21,home,SDP,W,Zack Godley,/players/g/godleza01.shtml,Clayton Richard,/players/r/richacl01.shtml
21,2018-04-22,home,SDP,W,Patrick Corbin,/players/c/corbipa01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
22,2018-04-24,away,PHI,W,Fernando Salas,/players/s/salasfe01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
23,2018-04-25,away,PHI,L,Jake Arrieta,/players/a/arrieja01.shtml,Zack Greinke,/players/g/greinza01.shtml
24,2018-04-26,away,PHI,W,Matt Koch,/players/k/kochma01.shtml,Ben Lively,/players/l/livelbe01.shtml
25,2018-04-27,away,WSN,W,Zack Godley,/players/g/godleza01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
26,2018-04-28,away,WSN,W,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Sammy Solis,/players/s/solissa01.shtml
27,2018-04-29,away,WSN,L,Gio Gonzalez,/players/g/gonzagi01.shtml,T.J. McFarland,/players/m/mcfartj01.shtml
28,2018-04-30,home,LAD,W,Zack Greinke,/players/g/greinza01.shtml,Ross Stripling,/players/s/stripro01.shtml
29,2018-05-01,home,LAD,W,Silvino Bracho,/players/b/brachsi01.shtml,Adam Liberatore,/players/l/liberad01.shtml
30,2018-05-02,home,LAD,L,Daniel Hudson,/players/h/hudsoda01.shtml,Zack Godley,/players/g/godleza01.shtml
31,2018-05-03,home,LAD,L,JT Chargois,/players/c/chargjt01.shtml,Fernando Salas,/players/s/salasfe01.shtml
32,2018-05-04,home,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Kris Medlen,/players/m/medlekr01.shtml
33,2018-05-05,home,HOU,W,Brad Boxberger,/players/b/boxbebr01.shtml,Chris Devenski,/players/d/devench02.shtml
34,2018-05-06,home,HOU,W,Matt Koch,/players/k/kochma01.shtml,Justin Verlander,/players/v/verlaju01.shtml
35,2018-05-08,away,LAD,W,T.J. McFarland,/players/m/mcfartj01.shtml,Yimi Garcia,/players/g/garciyi01.shtml
36,2018-05-09,away,LAD,L,Pedro Baez,/players/b/baezpe01.shtml,Fernando Salas,/players/s/salasfe01.shtml
37,2018-05-10,home,WSN,L,Brandon Kintzler,/players/k/kintzbr01.shtml,Fernando Salas,/players/s/salasfe01.shtml
38,2018-05-11,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Matt Koch,/players/k/kochma01.shtml
39,2018-05-12,home,WSN,L,Stephen Strasburg,/players/s/strasst01.shtml,Troy Scribner,/players/s/scribtr01.shtml
40,2018-05-13,home,WSN,L,Ryan Madson,/players/m/madsory01.shtml,Archie Bradley,/players/b/bradlar01.shtml
41,2018-05-14,home,MIL,L,Junior Guerra,/players/g/guerrju02.shtml,Patrick Corbin,/players/c/corbipa01.shtml
42,2018-05-15,home,MIL,W,Archie Bradley,/players/b/bradlar01.shtml,Taylor Williams,/players/w/willita01.shtml
43,2018-05-16,home,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Matt Koch,/players/k/kochma01.shtml
44,2018-05-18,away,NYM,L,Jacob deGrom,/players/d/degroja01.shtml,Zack Godley,/players/g/godleza01.shtml
45,2018-05-19,away,NYM,L,Jeurys Familia,/players/f/familje01.shtml,Andrew Chafin,/players/c/chafian01.shtml
46,2018-05-20,away,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Jorge De La Rosa,/players/r/rosajo01.shtml
47,2018-05-21,away,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Zack Greinke,/players/g/greinza01.shtml
48,2018-05-22,away,MIL,L,Matt Albers,/players/a/alberma01.shtml,Matt Koch,/players/k/kochma01.shtml
49,2018-05-23,away,MIL,L,Brent Suter,/players/s/suterbr01.shtml,Zack Godley,/players/g/godleza01.shtml
50,2018-05-25,away,OAK,W,Patrick Corbin,/players/c/corbipa01.shtml,Sean Manaea,/players/m/manaese01.shtml
