Overall W-L%, Home W-L%, Away W-L%
.525,.543,.506

Opponent, W-L%
ATL,.571
BAL,.667
BOS,.667
CHC,.333
CIN,.500
COL,.474
LAD,.421
MIA,.429
MIL,.286
NYM,.286
NYY,.750
PHI,.667
PIT,.857
SDP,.579
SFG,.526
STL,.500
TBR,.333
TEX,.750
TOR,1.000
WSN,.571

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Zack Greinke,/players/g/greinza01.shtml
2,2019-03-29,away,LAD,W,Matt Andriese,/players/a/andrima01.shtml,Yimi Garcia,/players/g/garciyi01.shtml
3,2019-03-30,away,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Zack Godley,/players/g/godleza01.shtml
4,2019-03-31,away,LAD,L,Dylan Floro,/players/f/florody01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
5,2019-04-01,away,SDP,W,Merrill Kelly,/players/k/kellyme01.shtml,Matt Strahm,/players/s/strahma01.shtml
6,2019-04-02,away,SDP,W,Zack Greinke,/players/g/greinza01.shtml,Eric Lauer,/players/l/lauerer01.shtml
7,2019-04-03,away,SDP,L,Joey Lucchesi,/players/l/lucchjo01.shtml,Robbie Ray,/players/r/rayro02.shtml
8,2019-04-05,home,BOS,W,Zack Godley,/players/g/godleza01.shtml,Rick Porcello,/players/p/porceri01.shtml
9,2019-04-06,home,BOS,W,Greg Holland,/players/h/hollagr01.shtml,Colten Brewer,/players/b/breweco01.shtml
10,2019-04-07,home,BOS,L,Marcus Walden,/players/w/waldema01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
11,2019-04-09,home,TEX,W,Matt Andriese,/players/a/andrima01.shtml,Jose Leclerc,/players/l/leclejo01.shtml
12,2019-04-10,home,TEX,L,Lance Lynn,/players/l/lynnla01.shtml,Andrew Chafin,/players/c/chafian01.shtml
13,2019-04-11,home,SDP,L,Craig Stammen,/players/s/stammcr01.shtml,Archie Bradley,/players/b/bradlar01.shtml
14,2019-04-12,home,SDP,L,Gerardo Reyes,/players/r/reyesge01.shtml,Luke Weaver,/players/w/weavelu01.shtml
15,2019-04-13,home,SDP,L,Craig Stammen,/players/s/stammcr01.shtml,Matt Andriese,/players/a/andrima01.shtml
16,2019-04-14,home,SDP,W,Zack Greinke,/players/g/greinza01.shtml,Eric Lauer,/players/l/lauerer01.shtml
17,2019-04-16,away,ATL,W,Yoshihisa Hirano,/players/h/hiranyo01.shtml,A.J. Minter,/players/m/minteaj01.shtml
18,2019-04-17,away,ATL,W,Archie Bradley,/players/b/bradlar01.shtml,Jesse Biddle,/players/b/biddlje01.shtml
19,2019-04-18,away,ATL,W,Luke Weaver,/players/w/weavelu01.shtml,Mike Soroka,/players/s/sorokmi01.shtml
20,2019-04-19,away,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
21,2019-04-20,away,CHC,W,Zack Greinke,/players/g/greinza01.shtml,Yu Darvish,/players/d/darviyu01.shtml
22,2019-04-21,away,CHC,L,Pedro Strop,/players/s/stroppe01.shtml,Archie Bradley,/players/b/bradlar01.shtml
23,2019-04-22,away,PIT,W,Matt Andriese,/players/a/andrima01.shtml,Kyle Crick,/players/c/crickky01.shtml
24,2019-04-23,away,PIT,W,Luke Weaver,/players/w/weavelu01.shtml,Trevor Williams,/players/w/willitr01.shtml
25,2019-04-24,away,PIT,W,Merrill Kelly,/players/k/kellyme01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
26,2019-04-25,away,PIT,W,Zack Greinke,/players/g/greinza01.shtml,Jameson Taillon,/players/t/taillja01.shtml
27,2019-04-26,home,CHC,W,Robbie Ray,/players/r/rayro02.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
28,2019-04-27,home,CHC,L,Yu Darvish,/players/d/darviyu01.shtml,Zack Godley,/players/g/godleza01.shtml
29,2019-04-28,home,CHC,L,Tyler Chatwood,/players/c/chatwty01.shtml,Matt Andriese,/players/a/andrima01.shtml
30,2019-04-30,home,NYY,W,Zack Greinke,/players/g/greinza01.shtml,CC Sabathia,/players/s/sabatc.01.shtml
31,2019-05-01,home,NYY,W,Merrill Kelly,/players/k/kellyme01.shtml,Masahiro Tanaka,/players/t/tanakma01.shtml
32,2019-05-03,away,COL,W,Robbie Ray,/players/r/rayro02.shtml,Tyler Anderson,/players/a/anderty01.shtml
33,2019-05-04,away,COL,W,Luke Weaver,/players/w/weavelu01.shtml,Kyle Freeland,/players/f/freelky01.shtml
34,2019-05-05,away,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Archie Bradley,/players/b/bradlar01.shtml
35,2019-05-06,away,TBR,L,Blake Snell,/players/s/snellbl01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
36,2019-05-07,away,TBR,L,Jalen Beeks,/players/b/beeksja02.shtml,Taylor Clarke,/players/c/clarkta01.shtml
37,2019-05-08,away,TBR,W,Archie Bradley,/players/b/bradlar01.shtml,Adam Kolarek,/players/k/kolarad01.shtml
38,2019-05-09,home,ATL,W,Jon Duplantier,/players/d/duplajo01.shtml,A.J. Minter,/players/m/minteaj01.shtml
39,2019-05-10,home,ATL,L,Dan Winkler,/players/w/winklda01.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
40,2019-05-11,home,ATL,L,Kevin Gausman,/players/g/gausmke01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
41,2019-05-12,home,ATL,L,Max Fried,/players/f/friedma01.shtml,Zack Godley,/players/g/godleza01.shtml
42,2019-05-13,home,PIT,W,Robbie Ray,/players/r/rayro02.shtml,Nick Kingham,/players/k/kinghni01.shtml
43,2019-05-14,home,PIT,L,Joe Musgrove,/players/m/musgrjo01.shtml,Luke Weaver,/players/w/weavelu01.shtml
44,2019-05-15,home,PIT,W,Zack Greinke,/players/g/greinza01.shtml,Chris Archer,/players/a/archech01.shtml
45,2019-05-17,home,SFG,W,Merrill Kelly,/players/k/kellyme01.shtml,Jeff Samardzija,/players/s/samarje01.shtml
46,2019-05-18,home,SFG,L,Madison Bumgarner,/players/b/bumgama01.shtml,Zack Godley,/players/g/godleza01.shtml
47,2019-05-19,home,SFG,L,Sam Dyson,/players/d/dysonsa01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
48,2019-05-20,away,SDP,L,Chris Paddack,/players/p/paddach01.shtml,Luke Weaver,/players/w/weavelu01.shtml
49,2019-05-21,away,SDP,L,Matt Strahm,/players/s/strahma01.shtml,Zack Greinke,/players/g/greinza01.shtml
50,2019-05-22,away,SDP,L,Eric Lauer,/players/l/lauerer01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
51,2019-05-24,away,SFG,W,Robbie Ray,/players/r/rayro02.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
52,2019-05-25,away,SFG,W,Taylor Clarke,/players/c/clarkta01.shtml,Andrew Suarez,/players/s/suarean01.shtml
53,2019-05-26,away,SFG,W,Luke Weaver,/players/w/weavelu01.shtml,Shaun Anderson,/players/a/andersh01.shtml
54,2019-05-27,away,COL,L,Seunghwan Oh,/players/o/ohse01.shtml,Matt Andriese,/players/a/andrima01.shtml
55,2019-05-28,away,COL,L,Jairo Diaz,/players/d/diazja01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
56,2019-05-29,away,COL,L,Jeff Hoffman,/players/h/hoffmje02.shtml,Robbie Ray,/players/r/rayro02.shtml
57,2019-05-30,away,COL,L,Seunghwan Oh,/players/o/ohse01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
58,2019-05-31,home,NYM,L,Zack Wheeler,/players/w/wheelza01.shtml,Matt Andriese,/players/a/andrima01.shtml
59,2019-06-01,home,NYM,W,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Tyler Bashlor,/players/b/bashlty01.shtml
60,2019-06-02,home,NYM,W,Merrill Kelly,/players/k/kellyme01.shtml,Steven Matz,/players/m/matzst01.shtml
61,2019-06-03,home,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Robbie Ray,/players/r/rayro02.shtml
62,2019-06-04,home,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Taylor Clarke,/players/c/clarkta01.shtml
63,2019-06-05,home,LAD,W,Zack Godley,/players/g/godleza01.shtml,Scott Alexander,/players/a/alexasc02.shtml
64,2019-06-07,away,TOR,W,Merrill Kelly,/players/k/kellyme01.shtml,Marcus Stroman,/players/s/stromma01.shtml
65,2019-06-08,away,TOR,W,Zack Greinke,/players/g/greinza01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
66,2019-06-09,away,TOR,W,Robbie Ray,/players/r/rayro02.shtml,Clayton Richard,/players/r/richacl01.shtml
67,2019-06-10,away,PHI,W,Zack Godley,/players/g/godleza01.shtml,Jerad Eickhoff,/players/e/eickhje01.shtml
68,2019-06-11,away,PHI,L,Jake Arrieta,/players/a/arrieja01.shtml,Jon Duplantier,/players/d/duplajo01.shtml
69,2019-06-12,away,PHI,W,Merrill Kelly,/players/k/kellyme01.shtml,Zach Eflin,/players/e/eflinza01.shtml
70,2019-06-13,away,WSN,W,Zack Greinke,/players/g/greinza01.shtml,Erick Fedde,/players/f/feddeer01.shtml
71,2019-06-14,away,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Robbie Ray,/players/r/rayro02.shtml
72,2019-06-15,away,WSN,W,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
73,2019-06-16,away,WSN,L,Anibal Sanchez,/players/s/sanchan01.shtml,Archie Bradley,/players/b/bradlar01.shtml
74,2019-06-18,home,COL,L,Antonio Senzatela,/players/s/senzaan01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
75,2019-06-19,home,COL,L,Jon Gray,/players/g/grayjo02.shtml,Zack Greinke,/players/g/greinza01.shtml
76,2019-06-20,home,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
77,2019-06-21,home,SFG,L,Jeff Samardzija,/players/s/samarje01.shtml,Taylor Clarke,/players/c/clarkta01.shtml
78,2019-06-22,home,SFG,L,Trevor Gott,/players/g/gotttr01.shtml,Zack Godley,/players/g/godleza01.shtml
79,2019-06-23,home,SFG,W,Matt Andriese,/players/a/andrima01.shtml,Mark Melancon,/players/m/melanma01.shtml
80,2019-06-24,home,LAD,W,Yoan Lopez,/players/l/lopezyo01.shtml,Dylan Floro,/players/f/florody01.shtml
81,2019-06-25,home,LAD,L,Julio Urias,/players/u/uriasju01.shtml,Robbie Ray,/players/r/rayro02.shtml
82,2019-06-26,home,LAD,W,Taylor Clarke,/players/c/clarkta01.shtml,Tony Gonsolin,/players/g/gonsoto01.shtml
83,2019-06-27,away,SFG,W,Alex Young,/players/y/youngal01.shtml,Tyler Beede,/players/b/beedety01.shtml
84,2019-06-28,away,SFG,L,Shaun Anderson,/players/a/andersh01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
85,2019-06-29,away,SFG,W,Zack Greinke,/players/g/greinza01.shtml,Sam Dyson,/players/d/dysonsa01.shtml
86,2019-06-30,away,SFG,L,Madison Bumgarner,/players/b/bumgama01.shtml,Robbie Ray,/players/r/rayro02.shtml
87,2019-07-02,away,LAD,L,Yimi Garcia,/players/g/garciyi01.shtml,Greg Holland,/players/h/hollagr01.shtml
88,2019-07-03,away,LAD,L,Joe Kelly,/players/k/kellyjo05.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
89,2019-07-05,home,COL,W,Zack Greinke,/players/g/greinza01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
90,2019-07-06,home,COL,W,Robbie Ray,/players/r/rayro02.shtml,Jon Gray,/players/g/grayjo02.shtml
91,2019-07-07,home,COL,W,Alex Young,/players/y/youngal01.shtml,German Marquez,/players/m/marquge01.shtml
92,2019-07-12,away,STL,W,Robbie Ray,/players/r/rayro02.shtml,Andrew Miller,/players/m/millean01.shtml
93,2019-07-13,away,STL,L,Dakota Hudson,/players/h/hudsoda02.shtml,Merrill Kelly,/players/k/kellyme01.shtml
94,2019-07-14,away,STL,L,Adam Wainwright,/players/w/wainwad01.shtml,Zack Greinke,/players/g/greinza01.shtml
95,2019-07-16,away,TEX,W,Alex Young,/players/y/youngal01.shtml,Lance Lynn,/players/l/lynnla01.shtml
96,2019-07-17,away,TEX,W,Robbie Ray,/players/r/rayro02.shtml,Jesse Chavez,/players/c/chaveje01.shtml
97,2019-07-18,home,MIL,L,Zach Davies,/players/d/davieza02.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
98,2019-07-19,home,MIL,W,Archie Bradley,/players/b/bradlar01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
99,2019-07-20,home,MIL,L,Adrian Houser,/players/h/housead01.shtml,Andrew Chafin,/players/c/chafian01.shtml
100,2019-07-21,home,MIL,L,Freddy Peralta,/players/p/peralfr01.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
101,2019-07-22,home,BAL,W,Robbie Ray,/players/r/rayro02.shtml,Aaron Brooks,/players/b/brookaa01.shtml
102,2019-07-23,home,BAL,L,Dylan Bundy,/players/b/bundydy01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
103,2019-07-24,home,BAL,W,Taylor Clarke,/players/c/clarkta01.shtml,John Means,/players/m/meansjo01.shtml
104,2019-07-26,away,MIA,L,Jose Quijada,/players/q/quijajo01.shtml,Greg Holland,/players/h/hollagr01.shtml
105,2019-07-27,away,MIA,W,Alex Young,/players/y/youngal01.shtml,Jordan Yamamoto,/players/y/yamamjo01.shtml
106,2019-07-28,away,MIA,L,Jose Quijada,/players/q/quijajo01.shtml,Robbie Ray,/players/r/rayro02.shtml
107,2019-07-29,away,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Merrill Kelly,/players/k/kellyme01.shtml
108,2019-07-30,away,NYY,W,Taylor Clarke,/players/c/clarkta01.shtml,J.A. Happ,/players/h/happja01.shtml
109,2019-07-31,away,NYY,L,Adam Ottavino,/players/o/ottavad01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
110,2019-08-02,home,WSN,L,Joe Ross,/players/r/rossjo01.shtml,Alex Young,/players/y/youngal01.shtml
111,2019-08-03,home,WSN,W,Robbie Ray,/players/r/rayro02.shtml,Stephen Strasburg,/players/s/strasst01.shtml
112,2019-08-04,home,WSN,W,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Wander Suero,/players/s/suerowa01.shtml
113,2019-08-05,home,PHI,L,Vince Velasquez,/players/v/velasvi01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
114,2019-08-06,home,PHI,W,Andrew Chafin,/players/c/chafian01.shtml,Ranger Suarez,/players/s/suarera01.shtml
115,2019-08-07,home,PHI,W,Zac Gallen,/players/g/galleza01.shtml,Jason Vargas,/players/v/vargaja01.shtml
116,2019-08-09,away,LAD,W,Andrew Chafin,/players/c/chafian01.shtml,Julio Urias,/players/u/uriasju01.shtml
117,2019-08-10,away,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Alex Young,/players/y/youngal01.shtml
118,2019-08-11,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Mike Leake,/players/l/leakemi01.shtml
119,2019-08-12,away,COL,W,Merrill Kelly,/players/k/kellyme01.shtml,Chad Bettis,/players/b/bettich01.shtml
120,2019-08-13,away,COL,W,Kevin Ginkel,/players/g/ginkeke01.shtml,Jeff Hoffman,/players/h/hoffmje02.shtml
121,2019-08-14,away,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Archie Bradley,/players/b/bradlar01.shtml
122,2019-08-15,home,SFG,L,Dereck Rodriguez,/players/r/rodride01.shtml,Alex Young,/players/y/youngal01.shtml
123,2019-08-16,home,SFG,L,Will Smith,/players/s/smithwi04.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
124,2019-08-17,home,SFG,L,Logan Webb,/players/w/webblo01.shtml,Taylor Clarke,/players/c/clarkta01.shtml
125,2019-08-18,home,SFG,W,Merrill Kelly,/players/k/kellyme01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
126,2019-08-19,home,COL,W,Yoan Lopez,/players/l/lopezyo01.shtml,Wade Davis,/players/d/daviswa01.shtml
127,2019-08-20,home,COL,W,Alex Young,/players/y/youngal01.shtml,Kyle Freeland,/players/f/freelky01.shtml
128,2019-08-21,home,COL,L,Tim Melville,/players/m/melviti01.shtml,Mike Leake,/players/l/leakemi01.shtml
129,2019-08-23,away,MIL,L,Jordan Lyles,/players/l/lylesjo01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
130,2019-08-24,away,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Zac Gallen,/players/g/galleza01.shtml
131,2019-08-25,away,MIL,W,Robbie Ray,/players/r/rayro02.shtml,Zach Davies,/players/d/davieza02.shtml
132,2019-08-26,away,SFG,W,Alex Young,/players/y/youngal01.shtml,Tyler Beede,/players/b/beedety01.shtml
133,2019-08-27,away,SFG,W,Mike Leake,/players/l/leakemi01.shtml,Sam Coonrod,/players/c/coonrsa01.shtml
134,2019-08-29,home,LAD,W,Matt Andriese,/players/a/andrima01.shtml,Hyun-Jin Ryu,/players/r/ryuhy01.shtml
135,2019-08-30,home,LAD,W,Archie Bradley,/players/b/bradlar01.shtml,Yimi Garcia,/players/g/garciyi01.shtml
136,2019-08-31,home,LAD,W,Robbie Ray,/players/r/rayro02.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
137,2019-09-01,home,LAD,L,Casey Sadler,/players/s/sadleca02.shtml,Taylor Clarke,/players/c/clarkta01.shtml
138,2019-09-02,home,SDP,W,Mike Leake,/players/l/leakemi01.shtml,Cal Quantrill,/players/q/quantca01.shtml
139,2019-09-03,home,SDP,W,Merrill Kelly,/players/k/kellyme01.shtml,Ronald Bolanos,/players/b/bolanro01.shtml
140,2019-09-04,home,SDP,W,Zac Gallen,/players/g/galleza01.shtml,Craig Stammen,/players/s/stammcr01.shtml
141,2019-09-06,away,CIN,W,Kevin Ginkel,/players/g/ginkeke01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
142,2019-09-07,away,CIN,W,Alex Young,/players/y/youngal01.shtml,Luis Castillo,/players/c/castilu02.shtml
143,2019-09-08,away,CIN,L,Raisel Iglesias,/players/i/iglesra01.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
144,2019-09-09,away,NYM,L,Jacob deGrom,/players/d/degroja01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
145,2019-09-10,away,NYM,L,Zack Wheeler,/players/w/wheelza01.shtml,Zac Gallen,/players/g/galleza01.shtml
146,2019-09-11,away,NYM,L,Steven Matz,/players/m/matzst01.shtml,Robbie Ray,/players/r/rayro02.shtml
147,2019-09-12,away,NYM,L,Marcus Stroman,/players/s/stromma01.shtml,Alex Young,/players/y/youngal01.shtml
148,2019-09-13,home,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Mike Leake,/players/l/leakemi01.shtml
149,2019-09-14,home,CIN,W,Merrill Kelly,/players/k/kellyme01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
