Overall W-L%, Home W-L%, Away W-L%
.599,.617,.580

Opponent, W-L%
ARI,.429
CHC,.714
CHW,1.000
CIN,.429
CLE,.667
COL,.500
DET,.667
KCR,.250
LAD,.333
MIA,.789
MIL,.500
MIN,.667
NYM,.579
PHI,.474
PIT,.714
SDP,.714
SFG,.714
STL,.667
TOR,.750
WSN,.579

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Julio Teheran,/players/t/teherju01.shtml
2,2019-03-30,away,PHI,L,Adam Morgan,/players/m/morgaad01.shtml,Wes Parsons,/players/p/parsowe01.shtml
3,2019-03-31,away,PHI,L,Jake Arrieta,/players/a/arrieja01.shtml,Kyle Wright,/players/w/wrighky01.shtml
4,2019-04-01,home,CHC,W,Wes Parsons,/players/p/parsowe01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
5,2019-04-03,home,CHC,W,Luke Jackson,/players/j/jackslu01.shtml,Steve Cishek,/players/c/cishest01.shtml
6,2019-04-04,home,CHC,W,Max Fried,/players/f/friedma01.shtml,Yu Darvish,/players/d/darviyu01.shtml
7,2019-04-05,home,MIA,W,Kevin Gausman,/players/g/gausmke01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
8,2019-04-06,home,MIA,L,Sergio Romo,/players/r/romose01.shtml,A.J. Minter,/players/m/minteaj01.shtml
9,2019-04-07,home,MIA,W,Arodys Vizcaino,/players/v/vizcaar01.shtml,Adam Conley,/players/c/conlead01.shtml
10,2019-04-08,away,COL,W,Julio Teheran,/players/t/teherju01.shtml,Kyle Freeland,/players/f/freelky01.shtml
11,2019-04-09,away,COL,W,Max Fried,/players/f/friedma01.shtml,German Marquez,/players/m/marquge01.shtml
12,2019-04-11,home,NYM,L,Steven Matz,/players/m/matzst01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
13,2019-04-12,home,NYM,L,Zack Wheeler,/players/w/wheelza01.shtml,Kyle Wright,/players/w/wrighky01.shtml
14,2019-04-13,home,NYM,W,Touki Toussaint,/players/t/toussto01.shtml,Corey Oswalt,/players/o/oswalco01.shtml
15,2019-04-14,home,NYM,W,Julio Teheran,/players/t/teherju01.shtml,Jacob deGrom,/players/d/degroja01.shtml
16,2019-04-16,home,ARI,L,Yoshihisa Hirano,/players/h/hiranyo01.shtml,A.J. Minter,/players/m/minteaj01.shtml
17,2019-04-17,home,ARI,L,Archie Bradley,/players/b/bradlar01.shtml,Jesse Biddle,/players/b/biddlje01.shtml
18,2019-04-18,home,ARI,L,Luke Weaver,/players/w/weavelu01.shtml,Mike Soroka,/players/s/sorokmi01.shtml
19,2019-04-20,away,CLE,L,Corey Kluber,/players/k/klubeco01.shtml,Julio Teheran,/players/t/teherju01.shtml
20,2019-04-20,away,CLE,W,Luke Jackson,/players/j/jackslu01.shtml,Adam Cimber,/players/c/cimbead01.shtml
21,2019-04-21,away,CLE,W,Max Fried,/players/f/friedma01.shtml,Shane Bieber,/players/b/biebesh01.shtml
22,2019-04-23,away,CIN,L,Robert Stephenson,/players/s/stephro01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
23,2019-04-24,away,CIN,W,Mike Soroka,/players/s/sorokmi01.shtml,Tanner Roark,/players/r/roarkta01.shtml
24,2019-04-25,away,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Julio Teheran,/players/t/teherju01.shtml
25,2019-04-26,home,COL,L,Antonio Senzatela,/players/s/senzaan01.shtml,Max Fried,/players/f/friedma01.shtml
26,2019-04-27,home,COL,L,Bryan Shaw,/players/s/shawbr01.shtml,A.J. Minter,/players/m/minteaj01.shtml
27,2019-04-28,home,COL,W,Jacob Webb,/players/w/webbja01.shtml,Seunghwan Oh,/players/o/ohse01.shtml
28,2019-04-29,home,SDP,W,Mike Soroka,/players/s/sorokmi01.shtml,Nick Margevicius,/players/m/margeni01.shtml
29,2019-04-30,home,SDP,L,Chris Paddack,/players/p/paddach01.shtml,Julio Teheran,/players/t/teherju01.shtml
30,2019-05-01,home,SDP,W,Max Fried,/players/f/friedma01.shtml,Cal Quantrill,/players/q/quantca01.shtml
31,2019-05-02,home,SDP,L,Matt Strahm,/players/s/strahma01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
32,2019-05-03,away,MIA,W,Touki Toussaint,/players/t/toussto01.shtml,Jose Urena,/players/u/urenajo01.shtml
33,2019-05-04,away,MIA,W,Mike Soroka,/players/s/sorokmi01.shtml,Nick Anderson,/players/a/anderni01.shtml
34,2019-05-05,away,MIA,W,Josh Tomlin,/players/t/tomlijo01.shtml,Tayron Guerrero,/players/g/guerrta01.shtml
35,2019-05-06,away,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
36,2019-05-07,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Max Fried,/players/f/friedma01.shtml
37,2019-05-08,away,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
38,2019-05-09,away,ARI,L,Jon Duplantier,/players/d/duplajo01.shtml,A.J. Minter,/players/m/minteaj01.shtml
39,2019-05-10,away,ARI,W,Dan Winkler,/players/w/winklda01.shtml,Yoan Lopez,/players/l/lopezyo01.shtml
