Overall W-L%, Home W-L%, Away W-L%
.333,.309,.358

Opponent, W-L%
ARI,.333
BOS,.368
CHW,.500
CLE,.429
COL,.333
DET,.429
HOU,.333
KCR,.500
LAA,.571
LAD,.333
MIN,.000
NYY,.105
OAK,.143
SDP,.250
SEA,.429
SFG,.333
TBR,.368
TEX,.143
TOR,.421
WSN,.500

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
2,2019-03-30,away,NYY,W,Jimmy Yacabonis,/players/y/yacabji01.shtml,James Paxton,/players/p/paxtoja01.shtml
3,2019-03-31,away,NYY,W,John Means,/players/m/meansjo01.shtml,J.A. Happ,/players/h/happja01.shtml
4,2019-04-01,away,TOR,W,David Hess,/players/h/hessda01.shtml,Sean Reid-Foley,/players/r/reidfse01.shtml
5,2019-04-02,away,TOR,W,Andrew Cashner,/players/c/cashnan01.shtml,Marcus Stroman,/players/s/stromma01.shtml
6,2019-04-03,away,TOR,L,Matt Shoemaker,/players/s/shoemma01.shtml,Nate Karns,/players/k/karnsna01.shtml
7,2019-04-04,home,NYY,L,James Paxton,/players/p/paxtoja01.shtml,Mike Wright,/players/w/wrighmi01.shtml
8,2019-04-06,home,NYY,L,Adam Ottavino,/players/o/ottavad01.shtml,Miguel Castro,/players/c/castrmi01.shtml
9,2019-04-07,home,NYY,L,Domingo German,/players/g/germado01.shtml,David Hess,/players/h/hessda01.shtml
10,2019-04-08,home,OAK,W,Andrew Cashner,/players/c/cashnan01.shtml,Marco Estrada,/players/e/estrama01.shtml
11,2019-04-09,home,OAK,L,Brett Anderson,/players/a/anderbr04.shtml,John Means,/players/m/meansjo01.shtml
12,2019-04-10,home,OAK,L,Frankie Montas,/players/m/montafr02.shtml,Dan Straily,/players/s/straida01.shtml
13,2019-04-11,home,OAK,L,Aaron Brooks,/players/b/brookaa01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
14,2019-04-12,away,BOS,L,Eduardo Rodriguez,/players/r/rodried05.shtml,David Hess,/players/h/hessda01.shtml
15,2019-04-13,away,BOS,W,Andrew Cashner,/players/c/cashnan01.shtml,Rick Porcello,/players/p/porceri01.shtml
16,2019-04-14,away,BOS,L,David Price,/players/p/priceda01.shtml,John Means,/players/m/meansjo01.shtml
17,2019-04-15,away,BOS,W,Dan Straily,/players/s/straida01.shtml,Hector Velazquez,/players/v/velazhe01.shtml
18,2019-04-16,away,TBR,L,Tyler Glasnow,/players/g/glasnty01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
19,2019-04-17,away,TBR,L,Yonny Chirinos,/players/c/chiriyo01.shtml,David Hess,/players/h/hessda01.shtml
20,2019-04-18,away,TBR,W,John Means,/players/m/meansjo01.shtml,Diego Castillo,/players/c/castidi01.shtml
21,2019-04-20,home,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Jimmy Yacabonis,/players/y/yacabji01.shtml
22,2019-04-20,home,MIN,L,Martin Perez,/players/p/perezma02.shtml,Alex Cobb,/players/c/cobbal01.shtml
23,2019-04-21,home,MIN,L,Kyle Gibson,/players/g/gibsoky01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
24,2019-04-22,home,CHW,L,Jace Fry,/players/f/fryja01.shtml,David Hess,/players/h/hessda01.shtml
25,2019-04-23,home,CHW,W,Andrew Cashner,/players/c/cashnan01.shtml,Ivan Nova,/players/n/novaiv01.shtml
26,2019-04-24,home,CHW,W,John Means,/players/m/meansjo01.shtml,Ervin Santana,/players/s/santaer01.shtml
27,2019-04-26,away,MIN,L,Martin Perez,/players/p/perezma02.shtml,Alex Cobb,/players/c/cobbal01.shtml
28,2019-04-27,away,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Paul Fry,/players/f/frypa01.shtml
29,2019-04-28,away,MIN,L,Kyle Gibson,/players/g/gibsoky01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
30,2019-04-29,away,CHW,L,Manny Banuelos,/players/b/banuema01.shtml,John Means,/players/m/meansjo01.shtml
31,2019-05-01,away,CHW,W,Branden Kline,/players/k/klinebr01.shtml,Kelvin Herrera,/players/h/herreke01.shtml
32,2019-05-01,away,CHW,L,Thyago Vieira,/players/v/vieirth01.shtml,Evan Phillips,/players/p/phillev01.shtml
33,2019-05-03,home,TBR,L,Tyler Glasnow,/players/g/glasnty01.shtml,Dan Straily,/players/s/straida01.shtml
34,2019-05-04,home,TBR,W,Dylan Bundy,/players/b/bundydy01.shtml,Yonny Chirinos,/players/c/chiriyo01.shtml
35,2019-05-06,home,BOS,W,John Means,/players/m/meansjo01.shtml,Josh Smith,/players/s/smithjo07.shtml
36,2019-05-07,home,BOS,L,Marcus Walden,/players/w/waldema01.shtml,Branden Kline,/players/k/klinebr01.shtml
37,2019-05-08,home,BOS,L,Ryan Brasier,/players/b/brasiry01.shtml,Yefry Ramirez,/players/r/ramirye01.shtml
38,2019-05-10,home,LAA,L,Trevor Cahill,/players/c/cahiltr01.shtml,Dan Straily,/players/s/straida01.shtml
39,2019-05-11,home,LAA,L,Luke Bard,/players/b/bardlu01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
40,2019-05-12,home,LAA,W,John Means,/players/m/meansjo01.shtml,Griffin Canning,/players/c/cannigr01.shtml
41,2019-05-15,away,NYY,L,J.A. Happ,/players/h/happja01.shtml,David Hess,/players/h/hessda01.shtml
42,2019-05-15,away,NYY,L,Domingo German,/players/g/germado01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
43,2019-05-16,away,CLE,L,A.J. Cole,/players/c/coleaj01.shtml,Gabriel Ynoa,/players/y/ynoaga01.shtml
44,2019-05-17,away,CLE,W,Dylan Bundy,/players/b/bundydy01.shtml,Jefry Rodriguez,/players/r/rodrije01.shtml
45,2019-05-18,away,CLE,L,Adam Plutko,/players/p/plutkad01.shtml,John Means,/players/m/meansjo01.shtml
46,2019-05-19,away,CLE,L,Shane Bieber,/players/b/biebesh01.shtml,Yefry Ramirez,/players/r/ramirye01.shtml
47,2019-05-20,home,NYY,L,Zack Britton,/players/b/brittza01.shtml,Mychal Givens,/players/g/givenmy01.shtml
48,2019-05-21,home,NYY,L,Domingo German,/players/g/germado01.shtml,David Hess,/players/h/hessda01.shtml
49,2019-05-22,home,NYY,L,CC Sabathia,/players/s/sabatc.01.shtml,Dan Straily,/players/s/straida01.shtml
50,2019-05-23,home,NYY,L,Tommy Kahnle,/players/k/kahnlto01.shtml,Mychal Givens,/players/g/givenmy01.shtml
51,2019-05-24,away,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Mychal Givens,/players/g/givenmy01.shtml
52,2019-05-25,away,COL,W,Andrew Cashner,/players/c/cashnan01.shtml,Kyle Freeland,/players/f/freelky01.shtml
53,2019-05-26,away,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Paul Fry,/players/f/frypa01.shtml
54,2019-05-27,home,DET,W,Dan Straily,/players/s/straida01.shtml,Daniel Norris,/players/n/norrida01.shtml
55,2019-05-28,home,DET,L,Matthew Boyd,/players/b/boydma01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
56,2019-05-29,home,DET,L,Nick Ramirez,/players/r/ramirni01.shtml,Branden Kline,/players/k/klinebr01.shtml
57,2019-05-31,home,SFG,W,Andrew Cashner,/players/c/cashnan01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
58,2019-06-01,home,SFG,L,Shaun Anderson,/players/a/andersh01.shtml,David Hess,/players/h/hessda01.shtml
59,2019-06-02,home,SFG,L,Jeff Samardzija,/players/s/samarje01.shtml,Gabriel Ynoa,/players/y/ynoaga01.shtml
60,2019-06-04,away,TEX,W,Dylan Bundy,/players/b/bundydy01.shtml,Drew Smyly,/players/s/smylydr01.shtml
61,2019-06-05,away,TEX,L,Jeffrey Springs,/players/s/sprinje01.shtml,Paul Fry,/players/f/frypa01.shtml
62,2019-06-06,away,TEX,L,Ariel Jurado,/players/j/juradar01.shtml,David Hess,/players/h/hessda01.shtml
63,2019-06-07,away,HOU,L,Cionel Perez,/players/p/perezci01.shtml,Branden Kline,/players/k/klinebr01.shtml
