Overall W-L%, Home W-L%, Away W-L%
.667,.704,.630

Opponent, W-L%
ATL,.833
BAL,.842
CHW,.429
CLE,.429
DET,.667
HOU,.429
KCR,.833
LAA,1.000
MIA,1.000
MIN,.571
NYM,.667
NYY,.526
OAK,.333
PHI,.500
SEA,.571
TBR,.579
TEX,.857
TOR,.789
WSN,1.000

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,TBR,L,Austin Pruitt,/players/p/pruitau01.shtml,Carson Smith,/players/s/smithca02.shtml
2,2018-03-30,away,TBR,W,David Price,/players/p/priceda01.shtml,Chaz Roe,/players/r/roech01.shtml
3,2018-03-31,away,TBR,W,Rick Porcello,/players/p/porceri01.shtml,Andrew Kittredge,/players/k/kittran01.shtml
4,2018-04-01,away,TBR,W,Hector Velazquez,/players/v/velazhe01.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
5,2018-04-02,away,MIA,W,Brian Johnson,/players/j/johnsbr02.shtml,Trevor Richards,/players/r/richatr01.shtml
6,2018-04-03,away,MIA,W,Heath Hembree,/players/h/hembrhe01.shtml,Tayron Guerrero,/players/g/guerrta01.shtml
7,2018-04-05,home,TBR,W,Bobby Poyner,/players/p/poynebo01.shtml,Andrew Kittredge,/players/k/kittran01.shtml
8,2018-04-07,home,TBR,W,Rick Porcello,/players/p/porceri01.shtml,Jake Faria,/players/f/fariaja01.shtml
9,2018-04-08,home,TBR,W,Carson Smith,/players/s/smithca02.shtml,Alex Colome,/players/c/colomal01.shtml
10,2018-04-10,home,NYY,W,Chris Sale,/players/s/salech01.shtml,Luis Severino,/players/s/severlu01.shtml
11,2018-04-11,home,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,David Price,/players/p/priceda01.shtml
12,2018-04-12,home,NYY,W,Rick Porcello,/players/p/porceri01.shtml,Sonny Gray,/players/g/grayso01.shtml
13,2018-04-13,home,BAL,W,Eduardo Rodriguez,/players/r/rodried05.shtml,Chris Tillman,/players/t/tillmch01.shtml
14,2018-04-14,home,BAL,W,Hector Velazquez,/players/v/velazhe01.shtml,Alex Cobb,/players/c/cobbal01.shtml
15,2018-04-15,home,BAL,W,Heath Hembree,/players/h/hembrhe01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
16,2018-04-17,away,LAA,W,David Price,/players/p/priceda01.shtml,Shohei Ohtani,/players/o/ohtansh01.shtml
17,2018-04-18,away,LAA,W,Rick Porcello,/players/p/porceri01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
18,2018-04-19,away,LAA,W,Eduardo Rodriguez,/players/r/rodried05.shtml,Nick Tropeano,/players/t/tropeni01.shtml
19,2018-04-20,away,OAK,W,Hector Velazquez,/players/v/velazhe01.shtml,Kendall Graveman,/players/g/graveke01.shtml
20,2018-04-21,away,OAK,L,Sean Manaea,/players/m/manaese01.shtml,Chris Sale,/players/s/salech01.shtml
21,2018-04-22,away,OAK,L,Blake Treinen,/players/t/treinbl01.shtml,David Price,/players/p/priceda01.shtml
22,2018-04-24,away,TOR,L,Tyler Clippard,/players/c/clippty01.shtml,Craig Kimbrel,/players/k/kimbrcr01.shtml
23,2018-04-25,away,TOR,W,Eduardo Rodriguez,/players/r/rodried05.shtml,Danny Barnes,/players/b/barneda02.shtml
24,2018-04-26,away,TOR,W,Chris Sale,/players/s/salech01.shtml,Marco Estrada,/players/e/estrama01.shtml
