Overall W-L%, Home W-L%, Away W-L%
.519,.469,.568

Opponent, W-L%
ARI,.333
BAL,.632
CHW,.714
CLE,.500
COL,.750
DET,.714
HOU,.333
KCR,.833
LAA,.571
LAD,.333
MIN,.500
NYY,.263
OAK,.571
PHI,.500
SDP,.667
SEA,.571
SFG,.333
TBR,.368
TEX,.571
TOR,.579

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,SEA,L,Marco Gonzales,/players/g/gonzama02.shtml,Chris Sale,/players/s/salech01.shtml
2,2019-03-29,away,SEA,W,Brian Johnson,/players/j/johnsbr02.shtml,Hunter Strickland,/players/s/strichu01.shtml
3,2019-03-30,away,SEA,L,Mike Leake,/players/l/leakemi01.shtml,Eduardo Rodriguez,/players/r/rodried05.shtml
4,2019-03-31,away,SEA,L,Wade LeBlanc,/players/l/leblawa01.shtml,Rick Porcello,/players/p/porceri01.shtml
5,2019-04-01,away,OAK,L,Aaron Brooks,/players/b/brookaa01.shtml,David Price,/players/p/priceda01.shtml
6,2019-04-02,away,OAK,L,Mike Fiers,/players/f/fiersmi01.shtml,Chris Sale,/players/s/salech01.shtml
7,2019-04-03,away,OAK,W,Matt Barnes,/players/b/barnema01.shtml,Fernando Rodney,/players/r/rodnefe01.shtml
8,2019-04-04,away,OAK,L,Brett Anderson,/players/a/anderbr04.shtml,Eduardo Rodriguez,/players/r/rodried05.shtml
9,2019-04-05,away,ARI,L,Zack Godley,/players/g/godleza01.shtml,Rick Porcello,/players/p/porceri01.shtml
10,2019-04-06,away,ARI,L,Greg Holland,/players/h/hollagr01.shtml,Colten Brewer,/players/b/breweco01.shtml
11,2019-04-07,away,ARI,W,Marcus Walden,/players/w/waldema01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
12,2019-04-09,home,TOR,L,Matt Shoemaker,/players/s/shoemma01.shtml,Chris Sale,/players/s/salech01.shtml
13,2019-04-11,home,TOR,W,Marcus Walden,/players/w/waldema01.shtml,Ken Giles,/players/g/gileske01.shtml
14,2019-04-12,home,BAL,W,Eduardo Rodriguez,/players/r/rodried05.shtml,David Hess,/players/h/hessda01.shtml
15,2019-04-13,home,BAL,L,Andrew Cashner,/players/c/cashnan01.shtml,Rick Porcello,/players/p/porceri01.shtml
16,2019-04-14,home,BAL,W,David Price,/players/p/priceda01.shtml,John Means,/players/m/meansjo01.shtml
17,2019-04-15,home,BAL,L,Dan Straily,/players/s/straida01.shtml,Hector Velazquez,/players/v/velazhe01.shtml
18,2019-04-16,away,NYY,L,James Paxton,/players/p/paxtoja01.shtml,Chris Sale,/players/s/salech01.shtml
19,2019-04-17,away,NYY,L,Tommy Kahnle,/players/k/kahnlto01.shtml,Brandon Workman,/players/w/workmbr01.shtml
20,2019-04-19,away,TBR,W,Brandon Workman,/players/w/workmbr01.shtml,Diego Castillo,/players/c/castidi01.shtml
21,2019-04-20,away,TBR,W,Matt Barnes,/players/b/barnema01.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
22,2019-04-21,away,TBR,W,Marcus Walden,/players/w/waldema01.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
23,2019-04-23,home,DET,L,Matthew Boyd,/players/b/boydma01.shtml,Colten Brewer,/players/b/breweco01.shtml
24,2019-04-23,home,DET,L,Spencer Turnbull,/players/t/turnbsp01.shtml,Hector Velazquez,/players/v/velazhe01.shtml
25,2019-04-24,home,DET,W,Eduardo Rodriguez,/players/r/rodried05.shtml,Tyson Ross,/players/r/rossty01.shtml
26,2019-04-25,home,DET,W,Rick Porcello,/players/p/porceri01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
27,2019-04-27,home,TBR,L,Charlie Morton,/players/m/mortoch02.shtml,David Price,/players/p/priceda01.shtml
28,2019-04-28,home,TBR,L,Tyler Glasnow,/players/g/glasnty01.shtml,Chris Sale,/players/s/salech01.shtml
29,2019-04-29,home,OAK,W,Ryan Brasier,/players/b/brasiry01.shtml,Frankie Montas,/players/m/montafr02.shtml
30,2019-04-30,home,OAK,W,Rick Porcello,/players/p/porceri01.shtml,Aaron Brooks,/players/b/brookaa01.shtml
