Overall W-L%, Home W-L%, Away W-L%
.583,.622,.543

Opponent, W-L%
ARI,.571
ATL,.500
CHW,.667
CIN,.579
CLE,.250
COL,.500
DET,.750
KCR,.667
LAD,.571
MIA,.714
MIL,.550
MIN,1.000
NYM,.857
PHI,.667
PIT,.526
SDP,.714
SFG,.500
STL,.474
WSN,.571

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,MIA,W,Steve Cishek,/players/c/cishest01.shtml,Jose Urena,/players/u/urenajo01.shtml
2,2018-03-30,away,MIA,L,Odrisamer Despaigne,/players/d/despaod01.shtml,Eddie Butler,/players/b/butleed01.shtml
3,2018-03-31,away,MIA,W,Pedro Strop,/players/s/stroppe01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
4,2018-04-01,away,MIA,L,Dillon Peters,/players/p/peterdi01.shtml,Jose Quintana,/players/q/quintjo01.shtml
5,2018-04-02,away,CIN,L,Tyler Mahle,/players/m/mahlety01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
6,2018-04-05,away,MIL,W,Jon Lester,/players/l/lestejo01.shtml,Brent Suter,/players/s/suterbr01.shtml
7,2018-04-06,away,MIL,L,Matt Albers,/players/a/alberma01.shtml,Mike Montgomery,/players/m/montgmi01.shtml
8,2018-04-07,away,MIL,W,Pedro Strop,/players/s/stroppe01.shtml,Jacob Barnes,/players/b/barneja01.shtml
9,2018-04-08,away,MIL,W,Jose Quintana,/players/q/quintjo01.shtml,Chase Anderson,/players/a/anderch01.shtml
10,2018-04-10,home,PIT,L,Ivan Nova,/players/n/novaiv01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
11,2018-04-11,home,PIT,W,Brian Duensing,/players/d/duensbr01.shtml,Tyler Glasnow,/players/g/glasnty01.shtml
12,2018-04-12,home,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
13,2018-04-13,home,ATL,L,Anibal Sanchez,/players/s/sanchan01.shtml,Yu Darvish,/players/d/darviyu01.shtml
14,2018-04-14,home,ATL,W,Justin Wilson,/players/w/wilsoju10.shtml,Jose Ramirez,/players/r/ramirjo02.shtml
15,2018-04-17,home,STL,L,Adam Wainwright,/players/w/wainwad01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
16,2018-04-19,home,STL,W,Jon Lester,/players/l/lestejo01.shtml,Luke Weaver,/players/w/weavelu01.shtml
17,2018-04-20,away,COL,W,Kyle Hendricks,/players/h/hendrky01.shtml,Jon Gray,/players/g/grayjo02.shtml
18,2018-04-21,away,COL,L,Tyler Anderson,/players/a/anderty01.shtml,Yu Darvish,/players/d/darviyu01.shtml
19,2018-04-22,away,COL,W,Jose Quintana,/players/q/quintjo01.shtml,German Marquez,/players/m/marquge01.shtml
20,2018-04-24,away,CLE,W,Tyler Chatwood,/players/c/chatwty01.shtml,Josh Tomlin,/players/t/tomlijo01.shtml
21,2018-04-25,away,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Jon Lester,/players/l/lestejo01.shtml
22,2018-04-26,home,MIL,W,Kyle Hendricks,/players/h/hendrky01.shtml,Chase Anderson,/players/a/anderch01.shtml
23,2018-04-27,home,MIL,W,Pedro Strop,/players/s/stroppe01.shtml,Dan Jennings,/players/j/jennida01.shtml
24,2018-04-28,home,MIL,W,Jose Quintana,/players/q/quintjo01.shtml,Junior Guerra,/players/g/guerrju02.shtml
25,2018-04-29,home,MIL,W,Tyler Chatwood,/players/c/chatwty01.shtml,Zach Davies,/players/d/davieza02.shtml
26,2018-04-30,home,COL,W,Luke Farrell,/players/f/farrelu01.shtml,Kyle Freeland,/players/f/freelky01.shtml
