Overall W-L%, Home W-L%, Away W-L%
.519,.630,.407

Opponent, W-L%
ARI,.667
ATL,.286
CHW,.500
CIN,.421
COL,.500
HOU,.333
LAA,.667
LAD,.429
MIA,.857
MIL,.474
NYM,.714
OAK,.667
PHI,.286
PIT,.579
SDP,.571
SEA,1.000
SFG,.667
STL,.474
TEX,.333
WSN,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,TEX,W,Jon Lester,/players/l/lestejo01.shtml,Mike Minor,/players/m/minormi01.shtml
2,2019-03-30,away,TEX,L,Shawn Kelley,/players/k/kellesh01.shtml,Carl Edwards,/players/e/edwarca01.shtml
3,2019-03-31,away,TEX,L,Jose Leclerc,/players/l/leclejo01.shtml,Pedro Strop,/players/s/stroppe01.shtml
4,2019-04-01,away,ATL,L,Wes Parsons,/players/p/parsowe01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
5,2019-04-03,away,ATL,L,Luke Jackson,/players/j/jackslu01.shtml,Steve Cishek,/players/c/cishest01.shtml
6,2019-04-04,away,ATL,L,Max Fried,/players/f/friedma01.shtml,Yu Darvish,/players/d/darviyu01.shtml
7,2019-04-05,away,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Jose Quintana,/players/q/quintjo01.shtml
8,2019-04-06,away,MIL,W,Cole Hamels,/players/h/hamelco01.shtml,Corbin Burnes,/players/b/burneco01.shtml
9,2019-04-07,away,MIL,L,Zach Davies,/players/d/davieza02.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
10,2019-04-08,home,PIT,W,Brad Brach,/players/b/brachbr01.shtml,Jameson Taillon,/players/t/taillja01.shtml
11,2019-04-10,home,PIT,L,Jordan Lyles,/players/l/lylesjo01.shtml,Yu Darvish,/players/d/darviyu01.shtml
12,2019-04-11,home,PIT,W,Jose Quintana,/players/q/quintjo01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
13,2019-04-12,home,LAA,W,Cole Hamels,/players/h/hamelco01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
14,2019-04-13,home,LAA,L,Ty Buttrey,/players/b/buttrty01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
15,2019-04-15,away,MIA,W,Yu Darvish,/players/d/darviyu01.shtml,Trevor Richards,/players/r/richatr01.shtml
16,2019-04-16,away,MIA,W,Jose Quintana,/players/q/quintjo01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
17,2019-04-17,away,MIA,W,Cole Hamels,/players/h/hamelco01.shtml,Sandy Alcantara,/players/a/alcansa01.shtml
