Overall W-L%, Home W-L%, Away W-L%
.383,.370,.395

Opponent, W-L%
BAL,.571
BOS,.571
CHC,.333
CIN,.333
CLE,.263
DET,.368
HOU,.000
KCR,.579
LAA,.286
MIL,.667
MIN,.368
NYY,.333
OAK,.286
PIT,.000
SEA,.333
STL,.250
TBR,.667
TEX,.571
TOR,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,KCR,W,James Shields,/players/s/shielja02.shtml,Danny Duffy,/players/d/duffyda01.shtml
2,2018-03-31,away,KCR,W,Danny Farquhar,/players/f/farquda01.shtml,Brandon Maurer,/players/m/maurebr01.shtml
3,2018-04-02,away,TOR,L,Seunghwan Oh,/players/o/ohse01.shtml,Danny Farquhar,/players/f/farquda01.shtml
4,2018-04-03,away,TOR,L,J.A. Happ,/players/h/happja01.shtml,Miguel Gonzalez,/players/g/gonzami03.shtml
5,2018-04-04,away,TOR,W,Nate Jones,/players/j/jonesna01.shtml,Ryan Tepera,/players/t/teperry01.shtml
6,2018-04-05,home,DET,L,Joe Jimenez,/players/j/jimenjo02.shtml,Gregory Infante,/players/i/infangr01.shtml
7,2018-04-07,home,DET,L,Michael Fulmer,/players/f/fulmemi01.shtml,Lucas Giolito,/players/g/giolilu01.shtml
8,2018-04-08,home,DET,L,Mike Fiers,/players/f/fiersmi01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
9,2018-04-09,home,TBR,L,Chris Archer,/players/a/archech01.shtml,Miguel Gonzalez,/players/g/gonzami03.shtml
10,2018-04-10,home,TBR,L,Blake Snell,/players/s/snellbl01.shtml,Carson Fulmer,/players/f/fulmeca01.shtml
11,2018-04-11,home,TBR,W,Bruce Rondon,/players/r/rondobr01.shtml,Austin Pruitt,/players/p/pruitau01.shtml
12,2018-04-12,away,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Lucas Giolito,/players/g/giolilu01.shtml
13,2018-04-16,away,OAK,L,Daniel Mengden,/players/m/mengdda01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
14,2018-04-17,away,OAK,L,Trevor Cahill,/players/c/cahiltr01.shtml,Miguel Gonzalez,/players/g/gonzami03.shtml
15,2018-04-18,away,OAK,L,Lou Trivino,/players/t/trivilo01.shtml,James Shields,/players/s/shielja02.shtml
