gm#, date, location, opp, w/l
1,2019-03-28,away,KCR,L
2,2019-03-30,away,KCR,L
3,2019-03-31,away,KCR,W
4,2019-04-01,away,CLE,L
5,2019-04-03,away,CLE,W
6,2019-04-05,home,SEA,W
7,2019-04-06,home,SEA,L
8,2019-04-07,home,SEA,L
9,2019-04-08,home,TBR,L
10,2019-04-09,home,TBR,L
11,2019-04-10,home,TBR,L
12,2019-04-12,away,NYY,W
13,2019-04-13,away,NYY,L
14,2019-04-14,away,NYY,W
15,2019-04-15,home,KCR,W
16,2019-04-16,home,KCR,W
17,2019-04-17,home,KCR,L
18,2019-04-18,away,DET,L
19,2019-04-19,away,DET,W
20,2019-04-21,away,DET,L
21,2019-04-22,away,BAL,W
22,2019-04-23,away,BAL,L
23,2019-04-24,away,BAL,L
24,2019-04-26,home,DET,W
25,2019-04-28,home,DET,W
26,2019-04-29,home,BAL,W
27,2019-05-01,home,BAL,L
28,2019-05-01,home,BAL,W
29,2019-05-02,home,BOS,W
30,2019-05-03,home,BOS,L
31,2019-05-04,home,BOS,L
32,2019-05-05,home,BOS,L
33,2019-05-06,away,CLE,W
34,2019-05-07,away,CLE,W
35,2019-05-08,away,CLE,L
36,2019-05-09,away,CLE,L
37,2019-05-10,away,TOR,L
38,2019-05-11,away,TOR,W
39,2019-05-12,away,TOR,W
40,2019-05-13,home,CLE,W
41,2019-05-14,home,CLE,L
42,2019-05-16,home,TOR,W
43,2019-05-17,home,TOR,L
44,2019-05-18,home,TOR,W
45,2019-05-19,home,TOR,L
46,2019-05-20,away,HOU,L
47,2019-05-21,away,HOU,L
48,2019-05-22,away,HOU,W
49,2019-05-23,away,HOU,W
50,2019-05-24,away,MIN,L
51,2019-05-25,away,MIN,L
52,2019-05-26,away,MIN,L
53,2019-05-27,home,KCR,W
54,2019-05-28,home,KCR,W
55,2019-05-29,home,KCR,W
56,2019-05-30,home,CLE,W
57,2019-05-31,home,CLE,W
58,2019-06-01,home,CLE,L
59,2019-06-02,home,CLE,W
60,2019-06-04,away,WSN,L
61,2019-06-05,away,WSN,L
62,2019-06-07,away,KCR,L
63,2019-06-08,away,KCR,W
64,2019-06-09,away,KCR,W
65,2019-06-10,home,WSN,L
66,2019-06-11,home,WSN,W
67,2019-06-13,home,NYY,W
68,2019-06-14,home,NYY,W
69,2019-06-15,home,NYY,L
70,2019-06-16,home,NYY,L
71,2019-06-18,away,CHC,W
72,2019-06-19,away,CHC,L
73,2019-06-21,away,TEX,W
74,2019-06-22,away,TEX,L
75,2019-06-23,away,TEX,L
76,2019-06-24,away,BOS,L
77,2019-06-25,away,BOS,L
78,2019-06-26,away,BOS,W
79,2019-06-28,home,MIN,W
80,2019-06-29,home,MIN,L
81,2019-06-30,home,MIN,W
82,2019-07-03,home,DET,W
83,2019-07-03,home,DET,W
84,2019-07-04,home,DET,L
85,2019-07-06,home,CHC,L
86,2019-07-07,home,CHC,W
87,2019-07-12,away,OAK,L
88,2019-07-13,away,OAK,L
89,2019-07-14,away,OAK,L
90,2019-07-15,away,KCR,L
91,2019-07-16,away,KCR,L
92,2019-07-17,away,KCR,L
93,2019-07-18,away,KCR,L
94,2019-07-19,away,TBR,W
95,2019-07-20,away,TBR,W
96,2019-07-21,away,TBR,L
97,2019-07-22,home,MIA,W
98,2019-07-23,home,MIA,L
99,2019-07-24,home,MIA,L
100,2019-07-25,home,MIN,L
101,2019-07-26,home,MIN,L
102,2019-07-27,home,MIN,W
103,2019-07-28,home,MIN,L
104,2019-07-30,home,NYM,L
105,2019-07-31,home,NYM,L
106,2019-08-01,home,NYM,L
107,2019-08-02,away,PHI,W
108,2019-08-03,away,PHI,L
109,2019-08-04,away,PHI,W
110,2019-08-05,away,DET,W
111,2019-08-06,away,DET,W
112,2019-08-06,away,DET,L
113,2019-08-07,away,DET,W
114,2019-08-09,home,OAK,L
115,2019-08-10,home,OAK,W
116,2019-08-11,home,OAK,L
117,2019-08-13,home,HOU,L
118,2019-08-13,home,HOU,W
119,2019-08-14,home,HOU,W
120,2019-08-15,away,LAA,L
121,2019-08-16,away,LAA,W
122,2019-08-17,away,LAA,L
123,2019-08-18,away,LAA,L
124,2019-08-19,away,MIN,W
125,2019-08-20,away,MIN,L
126,2019-08-21,away,MIN,W
127,2019-08-22,home,TEX,W
128,2019-08-23,home,TEX,W
129,2019-08-24,home,TEX,L
130,2019-08-25,home,TEX,W
131,2019-08-27,home,MIN,L
132,2019-08-28,home,MIN,L
133,2019-08-29,home,MIN,L
134,2019-08-30,away,ATL,L
135,2019-08-31,away,ATL,L
136,2019-09-01,away,ATL,L
137,2019-09-02,away,CLE,L
138,2019-09-03,away,CLE,W
139,2019-09-04,away,CLE,L
140,2019-09-05,away,CLE,W
141,2019-09-06,home,LAA,L
142,2019-09-07,home,LAA,L
143,2019-09-08,home,LAA,W
144,2019-09-10,home,KCR,W
145,2019-09-11,home,KCR,L
146,2019-09-12,home,KCR,L
147,2019-09-13,away,SEA,W
148,2019-09-14,away,SEA,L
149,2019-09-15,away,SEA,L
150,2019-09-16,away,MIN,L
151,2019-09-17,away,MIN,L
152,2019-09-18,away,MIN,W
153,2019-09-20,away,DET,W
154,2019-09-21,away,DET,W
155,2019-09-22,away,DET,L
156,2019-09-24,home,CLE,L
157,2019-09-25,home,CLE,W
158,2019-09-26,home,CLE,W
159,2019-09-28,home,DET,W
160,2019-09-28,home,DET,L
161,2019-09-29,home,DET,W
