Overall W-L%, Home W-L%, Away W-L%
.414,.457,.370

Opponent, W-L%
ARI,.500
ATL,.571
CHC,.421
CHW,.667
CLE,.333
COL,.333
DET,.500
KCR,.500
LAD,.857
MIA,.286
MIL,.316
MIN,.667
NYM,.500
PHI,.429
PIT,.263
SDP,.429
SFG,.667
STL,.368
WSN,.143

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-30,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Homer Bailey,/players/b/baileho02.shtml
2,2018-03-31,home,WSN,L,Stephen Strasburg,/players/s/strasst01.shtml,Luis Castillo,/players/c/castilu02.shtml
3,2018-04-01,home,WSN,L,Gio Gonzalez,/players/g/gonzagi01.shtml,Sal Romano,/players/r/romansa01.shtml
4,2018-04-02,home,CHC,W,Tyler Mahle,/players/m/mahlety01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
5,2018-04-05,away,PIT,L,Steven Brault,/players/b/braulst01.shtml,Homer Bailey,/players/b/baileho02.shtml
6,2018-04-06,away,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Luis Castillo,/players/c/castilu02.shtml
7,2018-04-07,away,PIT,W,Wandy Peralta,/players/p/peralwa01.shtml,George Kontos,/players/k/kontoge01.shtml
8,2018-04-08,away,PIT,L,Jameson Taillon,/players/t/taillja01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
9,2018-04-09,away,PHI,L,Luis Garcia,/players/g/garcilu03.shtml,Kevin Quackenbush,/players/q/quackke01.shtml
10,2018-04-10,away,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Jared Hughes,/players/h/hugheja02.shtml
11,2018-04-11,away,PHI,L,Yacksel Rios,/players/r/riosya01.shtml,Austin Brice,/players/b/briceau01.shtml
12,2018-04-12,home,STL,L,Michael Wacha,/players/w/wachami01.shtml,Austin Brice,/players/b/briceau01.shtml
13,2018-04-13,home,STL,L,Luke Weaver,/players/w/weavelu01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
