Overall W-L%, Home W-L%, Away W-L%
.463,.506,.420

Opponent, W-L%
ARI,.500
ATL,.571
CHC,.579
CLE,.250
COL,.500
HOU,1.000
LAA,.500
LAD,.167
MIA,.857
MIL,.421
NYM,.429
OAK,.333
PHI,.429
PIT,.368
SDP,.714
SEA,.333
SFG,.571
STL,.368
TEX,.333
WSN,.167

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,PIT,W,Zach Duke,/players/d/dukeza01.shtml,Jameson Taillon,/players/t/taillja01.shtml
2,2019-03-31,home,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Sonny Gray,/players/g/grayso01.shtml
3,2019-04-01,home,MIL,L,Alex Wilson,/players/w/wilsoal01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
4,2019-04-02,home,MIL,L,Jhoulys Chacin,/players/c/chacijh01.shtml,Zach Duke,/players/d/dukeza01.shtml
5,2019-04-03,home,MIL,L,Freddy Peralta,/players/p/peralfr01.shtml,Luis Castillo,/players/c/castilu02.shtml
6,2019-04-04,away,PIT,L,Nick Kingham,/players/k/kinghni01.shtml,David Hernandez,/players/h/hernada01.shtml
7,2019-04-05,away,PIT,L,Joe Musgrove,/players/m/musgrjo01.shtml,Sonny Gray,/players/g/grayso01.shtml
8,2019-04-06,away,PIT,L,Francisco Liriano,/players/l/liriafr01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
9,2019-04-07,away,PIT,L,Chris Archer,/players/a/archech01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
10,2019-04-09,home,MIA,W,Luis Castillo,/players/c/castilu02.shtml,Jose Urena,/players/u/urenajo01.shtml
11,2019-04-10,home,MIA,W,Amir Garrett,/players/g/garream01.shtml,Drew Steckenrider,/players/s/steckdr01.shtml
12,2019-04-11,home,MIA,W,Robert Stephenson,/players/s/stephro01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
13,2019-04-13,home,STL,W,Jared Hughes,/players/h/hugheja02.shtml,Adam Wainwright,/players/w/wainwad01.shtml
14,2019-04-14,home,STL,L,John Gant,/players/g/gantjo01.shtml,Amir Garrett,/players/g/garream01.shtml
15,2019-04-15,away,LAD,L,Kenley Jansen,/players/j/janseke01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
16,2019-04-16,away,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
17,2019-04-17,away,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Sonny Gray,/players/g/grayso01.shtml
18,2019-04-18,away,SDP,W,Tanner Roark,/players/r/roarkta01.shtml,Chris Paddack,/players/p/paddach01.shtml
19,2019-04-19,away,SDP,W,Jared Hughes,/players/h/hugheja02.shtml,Craig Stammen,/players/s/stammcr01.shtml
20,2019-04-20,away,SDP,W,Luis Castillo,/players/c/castilu02.shtml,Eric Lauer,/players/l/lauerer01.shtml
21,2019-04-21,away,SDP,L,Joey Lucchesi,/players/l/lucchjo01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
22,2019-04-23,home,ATL,W,Robert Stephenson,/players/s/stephro01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
23,2019-04-24,home,ATL,L,Mike Soroka,/players/s/sorokmi01.shtml,Tanner Roark,/players/r/roarkta01.shtml
24,2019-04-25,home,ATL,W,Luis Castillo,/players/c/castilu02.shtml,Julio Teheran,/players/t/teherju01.shtml
25,2019-04-26,away,STL,W,Anthony DeSclafani,/players/d/desclan01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
26,2019-04-27,away,STL,L,Dakota Hudson,/players/h/hudsoda02.shtml,Tyler Mahle,/players/m/mahlety01.shtml
27,2019-04-28,away,STL,L,Jack Flaherty,/players/f/flaheja01.shtml,Sonny Gray,/players/g/grayso01.shtml
28,2019-04-29,away,NYM,W,Raisel Iglesias,/players/i/iglesra01.shtml,Edwin Diaz,/players/d/diazed04.shtml
29,2019-04-30,away,NYM,L,Drew Gagnon,/players/g/gagnodr01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
30,2019-05-01,away,NYM,W,Zach Duke,/players/d/dukeza01.shtml,Edwin Diaz,/players/d/diazed04.shtml
31,2019-05-02,away,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
32,2019-05-03,home,SFG,L,Reyes Moronta,/players/m/moronre01.shtml,Jared Hughes,/players/h/hugheja02.shtml
33,2019-05-04,home,SFG,W,Tanner Roark,/players/r/roarkta01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
34,2019-05-05,home,SFG,L,Tony Watson,/players/w/watsoto01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
35,2019-05-06,home,SFG,W,Anthony DeSclafani,/players/d/desclan01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
36,2019-05-07,away,OAK,L,Mike Fiers,/players/f/fiersmi01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
37,2019-05-08,away,OAK,L,Liam Hendriks,/players/h/hendrli01.shtml,Robert Stephenson,/players/s/stephro01.shtml
38,2019-05-09,away,OAK,W,Tanner Roark,/players/r/roarkta01.shtml,Chris Bassitt,/players/b/bassich01.shtml
39,2019-05-10,away,SFG,W,Luis Castillo,/players/c/castilu02.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
40,2019-05-11,away,SFG,W,Amir Garrett,/players/g/garream01.shtml,Reyes Moronta,/players/m/moronre01.shtml
41,2019-05-12,away,SFG,L,Tony Watson,/players/w/watsoto01.shtml,David Hernandez,/players/h/hernada01.shtml
42,2019-05-14,home,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Tanner Roark,/players/r/roarkta01.shtml
43,2019-05-15,home,CHC,W,Amir Garrett,/players/g/garream01.shtml,Brad Brach,/players/b/brachbr01.shtml
44,2019-05-16,home,CHC,W,Luis Castillo,/players/c/castilu02.shtml,Jose Quintana,/players/q/quintjo01.shtml
45,2019-05-17,home,LAD,L,Rich Hill,/players/h/hillri01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
46,2019-05-18,home,LAD,W,Tyler Mahle,/players/m/mahlety01.shtml,Walker Buehler,/players/b/buehlwa01.shtml
47,2019-05-19,home,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Tanner Roark,/players/r/roarkta01.shtml
48,2019-05-21,away,MIL,W,Sonny Gray,/players/g/grayso01.shtml,Gio Gonzalez,/players/g/gonzagi01.shtml
49,2019-05-22,away,MIL,L,Junior Guerra,/players/g/guerrju02.shtml,Wandy Peralta,/players/p/peralwa01.shtml
50,2019-05-24,away,CHC,W,David Hernandez,/players/h/hernada01.shtml,Steve Cishek,/players/c/cishest01.shtml
51,2019-05-25,away,CHC,L,Dillon Maples,/players/m/mapledi01.shtml,Jared Hughes,/players/h/hugheja02.shtml
52,2019-05-26,away,CHC,W,Tanner Roark,/players/r/roarkta01.shtml,Jose Quintana,/players/q/quintjo01.shtml
53,2019-05-27,home,PIT,L,Kyle Crick,/players/c/crickky01.shtml,David Hernandez,/players/h/hernada01.shtml
54,2019-05-27,home,PIT,W,Sonny Gray,/players/g/grayso01.shtml,Mitch Keller,/players/k/kellemi03.shtml
55,2019-05-28,home,PIT,W,Lucas Sims,/players/s/simslu01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
56,2019-05-29,home,PIT,L,Steven Brault,/players/b/braulst01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
57,2019-05-31,home,WSN,W,Tyler Mahle,/players/m/mahlety01.shtml,Patrick Corbin,/players/c/corbipa01.shtml
58,2019-06-01,home,WSN,L,Tanner Rainey,/players/r/raineta01.shtml,Tanner Roark,/players/r/roarkta01.shtml
59,2019-06-02,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Sonny Gray,/players/g/grayso01.shtml
60,2019-06-04,away,STL,W,Luis Castillo,/players/c/castilu02.shtml,Genesis Cabrera,/players/c/cabrege01.shtml
61,2019-06-06,away,STL,L,John Gant,/players/g/gantjo01.shtml,Michael Lorenzen,/players/l/lorenmi01.shtml
62,2019-06-07,away,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
63,2019-06-08,away,PHI,L,Nick Pivetta,/players/p/pivetni01.shtml,Tanner Roark,/players/r/roarkta01.shtml
64,2019-06-09,away,PHI,W,Zach Duke,/players/d/dukeza01.shtml,Jose Alvarez,/players/a/alvarjo02.shtml
65,2019-06-11,away,CLE,L,Brad Hand,/players/h/handbr01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
66,2019-06-12,away,CLE,W,Anthony DeSclafani,/players/d/desclan01.shtml,Zach Plesac,/players/p/plesaza01.shtml
67,2019-06-14,home,TEX,L,Brett Martin,/players/m/martibr01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
68,2019-06-15,home,TEX,L,Mike Minor,/players/m/minormi01.shtml,Tanner Roark,/players/r/roarkta01.shtml
69,2019-06-16,home,TEX,W,Sonny Gray,/players/g/grayso01.shtml,Ariel Jurado,/players/j/juradar01.shtml
70,2019-06-17,home,HOU,W,Luis Castillo,/players/c/castilu02.shtml,Wade Miley,/players/m/mileywa01.shtml
71,2019-06-18,home,HOU,W,Anthony DeSclafani,/players/d/desclan01.shtml,Justin Verlander,/players/v/verlaju01.shtml
72,2019-06-19,home,HOU,W,Matt Bowman,/players/b/bowmama01.shtml,Roberto Osuna,/players/o/osunaro01.shtml
73,2019-06-20,away,MIL,W,Tanner Roark,/players/r/roarkta01.shtml,Jimmy Nelson,/players/n/nelsoji02.shtml
74,2019-06-21,away,MIL,W,David Hernandez,/players/h/hernada01.shtml,Chase Anderson,/players/a/anderch01.shtml
75,2019-06-22,away,MIL,L,Matt Albers,/players/a/alberma01.shtml,Luis Castillo,/players/c/castilu02.shtml
76,2019-06-23,away,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
77,2019-06-25,away,LAA,L,Andrew Heaney,/players/h/heanean01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
78,2019-06-26,away,LAA,L,Cam Bedrosian,/players/b/bedroca01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
79,2019-06-28,home,CHC,W,Sonny Gray,/players/g/grayso01.shtml,Cole Hamels,/players/h/hamelco01.shtml
80,2019-06-29,home,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Luis Castillo,/players/c/castilu02.shtml
81,2019-06-30,home,CHC,W,Anthony DeSclafani,/players/d/desclan01.shtml,Jon Lester,/players/l/lestejo01.shtml
82,2019-07-01,home,MIL,L,Alex Claudio,/players/c/claudal01.shtml,David Hernandez,/players/h/hernada01.shtml
83,2019-07-02,home,MIL,W,Raisel Iglesias,/players/i/iglesra01.shtml,Corbin Burnes,/players/b/burneco01.shtml
84,2019-07-03,home,MIL,W,Sonny Gray,/players/g/grayso01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
85,2019-07-04,home,MIL,W,Luis Castillo,/players/c/castilu02.shtml,Brandon Woodruff,/players/w/woodrbr01.shtml
86,2019-07-06,home,CLE,L,Shane Bieber,/players/b/biebesh01.shtml,Michael Lorenzen,/players/l/lorenmi01.shtml
87,2019-07-07,home,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
88,2019-07-12,away,COL,L,Jairo Diaz,/players/d/diazja01.shtml,David Hernandez,/players/h/hernada01.shtml
89,2019-07-13,away,COL,W,Jared Hughes,/players/h/hugheja02.shtml,Chad Bettis,/players/b/bettich01.shtml
90,2019-07-14,away,COL,L,Antonio Senzatela,/players/s/senzaan01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
91,2019-07-15,away,CHC,W,Luis Castillo,/players/c/castilu02.shtml,Steve Cishek,/players/c/cishest01.shtml
92,2019-07-16,away,CHC,L,Steve Cishek,/players/c/cishest01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
93,2019-07-17,away,CHC,L,Yu Darvish,/players/d/darviyu01.shtml,Sonny Gray,/players/g/grayso01.shtml
94,2019-07-18,home,STL,L,Dakota Hudson,/players/h/hudsoda02.shtml,Robert Stephenson,/players/s/stephro01.shtml
95,2019-07-19,home,STL,L,Michael Wacha,/players/w/wachami01.shtml,Jared Hughes,/players/h/hugheja02.shtml
96,2019-07-20,home,STL,W,Amir Garrett,/players/g/garream01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
97,2019-07-21,home,STL,L,Giovanny Gallegos,/players/g/gallegi01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
98,2019-07-22,away,MIL,W,Wandy Peralta,/players/p/peralwa01.shtml,Jeremy Jeffress,/players/j/jeffrje01.shtml
99,2019-07-23,away,MIL,W,Tanner Roark,/players/r/roarkta01.shtml,Zach Davies,/players/d/davieza02.shtml
100,2019-07-24,away,MIL,L,Matt Albers,/players/a/alberma01.shtml,Lucas Sims,/players/s/simslu01.shtml
101,2019-07-26,home,COL,L,German Marquez,/players/m/marquge01.shtml,Luis Castillo,/players/c/castilu02.shtml
102,2019-07-27,home,COL,W,Anthony DeSclafani,/players/d/desclan01.shtml,Chi Chi Gonzalez,/players/g/gonzach01.shtml
103,2019-07-28,home,COL,W,Lucas Sims,/players/s/simslu01.shtml,Jake McGee,/players/m/mcgeeja01.shtml
104,2019-07-29,home,PIT,W,Sonny Gray,/players/g/grayso01.shtml,Alex McRae,/players/m/mcraeal01.shtml
105,2019-07-30,home,PIT,L,Joe Musgrove,/players/m/musgrjo01.shtml,Tanner Roark,/players/r/roarkta01.shtml
106,2019-07-31,home,PIT,W,Luis Castillo,/players/c/castilu02.shtml,Dario Agrazal,/players/a/agrazda01.shtml
107,2019-08-01,away,ATL,L,Max Fried,/players/f/friedma01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
