Overall W-L%, Home W-L%, Away W-L%
.562,.605,.519

Opponent, W-L%
BAL,.714
BOS,.571
CHC,.750
CHW,.737
CIN,.667
DET,.684
HOU,.429
KCR,.632
LAA,.500
MIL,.750
MIN,.526
NYY,.286
OAK,.333
PIT,.333
SEA,.286
STL,.333
TBR,.333
TEX,.667
TOR,.429

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,SEA,L,Felix Hernandez,/players/h/hernafe02.shtml,Corey Kluber,/players/k/klubeco01.shtml
2,2018-03-31,away,SEA,W,Carlos Carrasco,/players/c/carraca01.shtml,James Paxton,/players/p/paxtoja01.shtml
3,2018-04-01,away,SEA,L,Mike Leake,/players/l/leakemi01.shtml,Dan Otero,/players/o/oteroda01.shtml
4,2018-04-02,away,LAA,W,Mike Clevinger,/players/c/clevimi01.shtml,JC Ramirez,/players/r/ramirjc01.shtml
5,2018-04-03,away,LAA,L,Garrett Richards,/players/r/richaga01.shtml,Josh Tomlin,/players/t/tomlijo01.shtml
6,2018-04-04,away,LAA,L,Noe Ramirez,/players/r/ramirno01.shtml,Zach McAllister,/players/m/mcallza01.shtml
7,2018-04-06,home,KCR,W,Carlos Carrasco,/players/c/carraca01.shtml,Danny Duffy,/players/d/duffyda01.shtml
8,2018-04-07,home,KCR,L,Ian Kennedy,/players/k/kenneia01.shtml,Trevor Bauer,/players/b/bauertr01.shtml
9,2018-04-08,home,KCR,W,Cody Allen,/players/a/allenco01.shtml,Brandon Maurer,/players/m/maurebr01.shtml
10,2018-04-09,home,DET,W,Corey Kluber,/players/k/klubeco01.shtml,Francisco Liriano,/players/l/liriafr01.shtml
11,2018-04-10,home,DET,W,Andrew Miller,/players/m/millean01.shtml,Alex Wilson,/players/w/wilsoal01.shtml
12,2018-04-11,home,DET,W,Carlos Carrasco,/players/c/carraca01.shtml,Daniel Norris,/players/n/norrida01.shtml
13,2018-04-12,home,DET,W,Trevor Bauer,/players/b/bauertr01.shtml,Michael Fulmer,/players/f/fulmemi01.shtml
14,2018-04-13,home,TOR,L,Danny Barnes,/players/b/barneda02.shtml,Zach McAllister,/players/m/mcallza01.shtml
15,2018-04-17,away,MIN,W,Corey Kluber,/players/k/klubeco01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
