Overall W-L%, Home W-L%, Away W-L%
.574,.605,.543

Opponent, W-L%
ATL,.333
BAL,.571
BOS,.500
CHW,.421
CIN,.750
DET,.947
HOU,.429
KCR,.632
LAA,1.000
MIA,.500
MIN,.526
NYM,.000
NYY,.571
OAK,.167
PHI,.667
SEA,.833
TBR,.143
TEX,.571
TOR,.857
WSN,.000

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Corey Kluber,/players/k/klubeco01.shtml
2,2019-03-30,away,MIN,W,Jon Edwards,/players/e/edwarjo02.shtml,Blake Parker,/players/p/parkebl01.shtml
3,2019-03-31,away,MIN,L,Martin Perez,/players/p/perezma02.shtml,Carlos Carrasco,/players/c/carraca01.shtml
4,2019-04-01,home,CHW,W,Jon Edwards,/players/e/edwarjo02.shtml,Dylan Covey,/players/c/coveydy01.shtml
5,2019-04-03,home,CHW,L,Carlos Rodon,/players/r/rodonca01.shtml,Corey Kluber,/players/k/klubeco01.shtml
6,2019-04-04,home,TOR,W,Trevor Bauer,/players/b/bauertr01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
7,2019-04-05,home,TOR,W,Adam Cimber,/players/c/cimbead01.shtml,Joe Biagini,/players/b/biagijo01.shtml
8,2019-04-06,home,TOR,W,Carlos Carrasco,/players/c/carraca01.shtml,Thomas Pannone,/players/p/pannoth01.shtml
9,2019-04-07,home,TOR,W,Mike Clevinger,/players/c/clevimi01.shtml,Marcus Stroman,/players/s/stromma01.shtml
10,2019-04-09,away,DET,W,Corey Kluber,/players/k/klubeco01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
11,2019-04-10,away,DET,L,Matthew Boyd,/players/b/boydma01.shtml,Trevor Bauer,/players/b/bauertr01.shtml
12,2019-04-11,away,DET,W,Shane Bieber,/players/b/biebesh01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
13,2019-04-12,away,KCR,L,Brad Keller,/players/k/kellebr01.shtml,Carlos Carrasco,/players/c/carraca01.shtml
14,2019-04-13,away,KCR,L,Homer Bailey,/players/b/baileho02.shtml,Jefry Rodriguez,/players/r/rodrije01.shtml
15,2019-04-14,away,KCR,L,Wily Peralta,/players/p/peralwi01.shtml,Brad Hand,/players/h/handbr01.shtml
16,2019-04-15,away,SEA,W,Trevor Bauer,/players/b/bauertr01.shtml,Yusei Kikuchi,/players/k/kikucyu01.shtml
17,2019-04-16,away,SEA,W,Shane Bieber,/players/b/biebesh01.shtml,Mike Leake,/players/l/leakemi01.shtml
18,2019-04-17,away,SEA,W,Carlos Carrasco,/players/c/carraca01.shtml,Erik Swanson,/players/s/swanser01.shtml
19,2019-04-20,home,ATL,W,Corey Kluber,/players/k/klubeco01.shtml,Julio Teheran,/players/t/teherju01.shtml
20,2019-04-20,home,ATL,L,Luke Jackson,/players/j/jackslu01.shtml,Adam Cimber,/players/c/cimbead01.shtml
21,2019-04-21,home,ATL,L,Max Fried,/players/f/friedma01.shtml,Shane Bieber,/players/b/biebesh01.shtml
22,2019-04-23,home,MIA,L,Pablo Lopez,/players/l/lopezpa01.shtml,Neil Ramirez,/players/r/ramirne01.shtml
23,2019-04-24,home,MIA,W,Nick Wittgren,/players/w/wittgni01.shtml,Adam Conley,/players/c/conlead01.shtml
24,2019-04-25,away,HOU,W,Trevor Bauer,/players/b/bauertr01.shtml,Gerrit Cole,/players/c/colege01.shtml
25,2019-04-26,away,HOU,W,Adam Cimber,/players/c/cimbead01.shtml,Hector Rondon,/players/r/rondohe01.shtml
26,2019-04-27,away,HOU,L,Roberto Osuna,/players/o/osunaro01.shtml,Adam Cimber,/players/c/cimbead01.shtml
27,2019-04-28,away,HOU,L,Framber Valdez,/players/v/valdefr01.shtml,Carlos Carrasco,/players/c/carraca01.shtml
28,2019-04-30,away,MIA,W,Trevor Bauer,/players/b/bauertr01.shtml,Sandy Alcantara,/players/a/alcansa01.shtml
29,2019-05-01,away,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Corey Kluber,/players/k/klubeco01.shtml
30,2019-05-03,home,SEA,W,Brad Hand,/players/h/handbr01.shtml,Anthony Swarzak,/players/s/swarzan01.shtml
31,2019-05-04,home,SEA,W,Tyler Olson,/players/o/olsonty01.shtml,Connor Sadzeck,/players/s/sadzeco01.shtml
32,2019-05-05,home,SEA,L,Erik Swanson,/players/s/swanser01.shtml,Cody Anderson,/players/a/anderco01.shtml
33,2019-05-06,home,CHW,L,Ivan Nova,/players/n/novaiv01.shtml,Trevor Bauer,/players/b/bauertr01.shtml
34,2019-05-07,home,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Jefry Rodriguez,/players/r/rodrije01.shtml
35,2019-05-08,home,CHW,W,Brad Hand,/players/h/handbr01.shtml,Jace Fry,/players/f/fryja01.shtml
36,2019-05-09,home,CHW,W,Carlos Carrasco,/players/c/carraca01.shtml,Manny Banuelos,/players/b/banuema01.shtml
37,2019-05-10,away,OAK,L,Joakim Soria,/players/s/soriajo01.shtml,Brad Hand,/players/h/handbr01.shtml
