Overall W-L%, Home W-L%, Away W-L%
.558,.580,.537

Opponent, W-L%
ARI,.579
ATL,.714
CHC,.500
CIN,.667
HOU,.500
LAA,.500
LAD,.350
MIA,.333
MIL,.286
NYM,.857
OAK,1.000
PHI,.714
PIT,.500
SDP,.579
SEA,.833
SFG,.632
STL,.286
TEX,.333
WSN,.714

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,ARI,L,Patrick Corbin,/players/c/corbipa01.shtml,Jon Gray,/players/g/grayjo02.shtml
2,2018-03-30,away,ARI,L,Robbie Ray,/players/r/rayro02.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
3,2018-03-31,away,ARI,W,Bryan Shaw,/players/s/shawbr01.shtml,Fernando Salas,/players/s/salasfe01.shtml
4,2018-04-02,away,SDP,W,Chad Bettis,/players/b/bettich01.shtml,Bryan Mitchell,/players/m/mitchbr01.shtml
5,2018-04-03,away,SDP,L,Tyson Ross,/players/r/rossty01.shtml,Kyle Freeland,/players/f/freelky01.shtml
6,2018-04-04,away,SDP,W,Jon Gray,/players/g/grayjo02.shtml,Clayton Richard,/players/r/richacl01.shtml
7,2018-04-05,away,SDP,W,Adam Ottavino,/players/o/ottavad01.shtml,Brad Hand,/players/h/handbr01.shtml
8,2018-04-06,home,ATL,L,Brandon McCarthy,/players/m/mccarbr01.shtml,German Marquez,/players/m/marquge01.shtml
9,2018-04-07,home,ATL,W,Adam Ottavino,/players/o/ottavad01.shtml,Arodys Vizcaino,/players/v/vizcaar01.shtml
10,2018-04-08,home,ATL,L,Sean Newcomb,/players/n/newcose01.shtml,Kyle Freeland,/players/f/freelky01.shtml
11,2018-04-09,home,SDP,L,Clayton Richard,/players/r/richacl01.shtml,Jon Gray,/players/g/grayjo02.shtml
12,2018-04-10,home,SDP,L,Joey Lucchesi,/players/l/lucchjo01.shtml,Bryan Shaw,/players/s/shawbr01.shtml
13,2018-04-11,home,SDP,W,Antonio Senzatela,/players/s/senzaan01.shtml,Buddy Baumann,/players/b/baumabu01.shtml
14,2018-04-12,away,WSN,W,Chad Bettis,/players/b/bettich01.shtml,Gio Gonzalez,/players/g/gonzagi01.shtml
15,2018-04-13,away,WSN,W,Scott Oberg,/players/o/obergsc01.shtml,Tanner Roark,/players/r/roarkta01.shtml
16,2018-04-14,away,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Jon Gray,/players/g/grayjo02.shtml
17,2018-04-15,away,WSN,W,Adam Ottavino,/players/o/ottavad01.shtml,Sean Doolittle,/players/d/doolise01.shtml
18,2018-04-16,away,PIT,W,German Marquez,/players/m/marquge01.shtml,Steven Brault,/players/b/braulst01.shtml
19,2018-04-17,away,PIT,W,Chad Bettis,/players/b/bettich01.shtml,Trevor Williams,/players/w/willitr01.shtml
20,2018-04-18,away,PIT,L,Chad Kuhl,/players/k/kuhlch01.shtml,Kyle Freeland,/players/f/freelky01.shtml
21,2018-04-20,home,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Jon Gray,/players/g/grayjo02.shtml
22,2018-04-21,home,CHC,W,Tyler Anderson,/players/a/anderty01.shtml,Yu Darvish,/players/d/darviyu01.shtml
23,2018-04-22,home,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,German Marquez,/players/m/marquge01.shtml
24,2018-04-23,home,SDP,L,Robbie Erlin,/players/e/erlinro01.shtml,Jake McGee,/players/m/mcgeeja01.shtml
25,2018-04-24,home,SDP,W,Kyle Freeland,/players/f/freelky01.shtml,Eric Lauer,/players/l/lauerer01.shtml
26,2018-04-25,home,SDP,W,Jon Gray,/players/g/grayjo02.shtml,Tyson Ross,/players/r/rossty01.shtml
27,2018-04-27,away,MIA,W,Antonio Senzatela,/players/s/senzaan01.shtml,Jose Urena,/players/u/urenajo01.shtml
