Overall W-L%, Home W-L%, Away W-L%
.438,.531,.346

Opponent, W-L%
ARI,.526
ATL,.500
BAL,.667
BOS,.250
CHC,.500
CIN,.500
HOU,.000
LAD,.211
MIA,.714
MIL,.714
NYM,.333
NYY,.333
PHI,.429
PIT,.286
SDP,.579
SFG,.368
STL,.286
TBR,.333
TOR,1.000
WSN,.429

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,MIA,W,Kyle Freeland,/players/f/freelky01.shtml,Jose Urena,/players/u/urenajo01.shtml
2,2019-03-29,away,MIA,W,German Marquez,/players/m/marquge01.shtml,Adam Conley,/players/c/conlead01.shtml
3,2019-03-30,away,MIA,L,Pablo Lopez,/players/l/lopezpa01.shtml,Tyler Anderson,/players/a/anderty01.shtml
4,2019-03-31,away,MIA,L,Sandy Alcantara,/players/a/alcansa01.shtml,Jon Gray,/players/g/grayjo02.shtml
5,2019-04-01,away,TBR,L,Ryan Yarbrough,/players/y/yarbrry01.shtml,Chad Bettis,/players/b/bettich01.shtml
6,2019-04-02,away,TBR,L,Blake Snell,/players/s/snellbl01.shtml,Kyle Freeland,/players/f/freelky01.shtml
7,2019-04-03,away,TBR,W,Wade Davis,/players/d/daviswa01.shtml,Chaz Roe,/players/r/roech01.shtml
8,2019-04-05,home,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Tyler Anderson,/players/a/anderty01.shtml
9,2019-04-06,home,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Jon Gray,/players/g/grayjo02.shtml
10,2019-04-07,home,LAD,L,Joe Kelly,/players/k/kellyjo05.shtml,Chad Bettis,/players/b/bettich01.shtml
11,2019-04-08,home,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Kyle Freeland,/players/f/freelky01.shtml
12,2019-04-09,home,ATL,L,Max Fried,/players/f/friedma01.shtml,German Marquez,/players/m/marquge01.shtml
13,2019-04-11,away,SFG,L,Jeff Samardzija,/players/s/samarje01.shtml,Jon Gray,/players/g/grayjo02.shtml
14,2019-04-12,away,SFG,L,Travis Bergen,/players/b/bergetr01.shtml,DJ Johnson,/players/j/johnsdj01.shtml
15,2019-04-13,away,SFG,L,Madison Bumgarner,/players/b/bumgama01.shtml,Kyle Freeland,/players/f/freelky01.shtml
16,2019-04-14,away,SFG,W,German Marquez,/players/m/marquge01.shtml,Derek Holland,/players/h/hollade01.shtml
17,2019-04-15,away,SDP,W,Antonio Senzatela,/players/s/senzaan01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
18,2019-04-16,away,SDP,W,Jon Gray,/players/g/grayjo02.shtml,Nick Margevicius,/players/m/margeni01.shtml
19,2019-04-18,home,PHI,W,Kyle Freeland,/players/f/freelky01.shtml,Zach Eflin,/players/e/eflinza01.shtml
20,2019-04-19,home,PHI,W,Chad Bettis,/players/b/bettich01.shtml,Juan Nicasio,/players/n/nicasju01.shtml
21,2019-04-20,home,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
22,2019-04-21,home,PHI,W,Jon Gray,/players/g/grayjo02.shtml,Jerad Eickhoff,/players/e/eickhje01.shtml
23,2019-04-22,home,WSN,W,Seunghwan Oh,/players/o/ohse01.shtml,Wander Suero,/players/s/suerowa01.shtml
24,2019-04-23,home,WSN,L,Patrick Corbin,/players/c/corbipa01.shtml,Jeff Hoffman,/players/h/hoffmje02.shtml
25,2019-04-24,home,WSN,W,German Marquez,/players/m/marquge01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
26,2019-04-26,away,ATL,W,Antonio Senzatela,/players/s/senzaan01.shtml,Max Fried,/players/f/friedma01.shtml
27,2019-04-27,away,ATL,W,Bryan Shaw,/players/s/shawbr01.shtml,A.J. Minter,/players/m/minteaj01.shtml
28,2019-04-28,away,ATL,L,Jacob Webb,/players/w/webbja01.shtml,Seunghwan Oh,/players/o/ohse01.shtml
29,2019-04-29,away,MIL,L,Zach Davies,/players/d/davieza02.shtml,Kyle Freeland,/players/f/freelky01.shtml
30,2019-04-30,away,MIL,L,Jhoulys Chacin,/players/c/chacijh01.shtml,German Marquez,/players/m/marquge01.shtml
31,2019-05-01,away,MIL,W,Carlos Estevez,/players/e/estevca01.shtml,Corbin Burnes,/players/b/burneco01.shtml
32,2019-05-02,away,MIL,W,Jon Gray,/players/g/grayjo02.shtml,Freddy Peralta,/players/p/peralfr01.shtml
33,2019-05-03,home,ARI,L,Robbie Ray,/players/r/rayro02.shtml,Tyler Anderson,/players/a/anderty01.shtml
34,2019-05-04,home,ARI,L,Luke Weaver,/players/w/weavelu01.shtml,Kyle Freeland,/players/f/freelky01.shtml
35,2019-05-05,home,ARI,W,Scott Oberg,/players/o/obergsc01.shtml,Archie Bradley,/players/b/bradlar01.shtml
36,2019-05-07,home,SFG,L,Madison Bumgarner,/players/b/bumgama01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
37,2019-05-09,home,SFG,W,Bryan Shaw,/players/s/shawbr01.shtml,Tyler Beede,/players/b/beedety01.shtml
38,2019-05-10,home,SDP,W,German Marquez,/players/m/marquge01.shtml,Eric Lauer,/players/l/lauerer01.shtml
39,2019-05-11,home,SDP,L,Craig Stammen,/players/s/stammcr01.shtml,Wade Davis,/players/d/daviswa01.shtml
40,2019-05-12,home,SDP,W,Antonio Senzatela,/players/s/senzaan01.shtml,Nick Margevicius,/players/m/margeni01.shtml
41,2019-05-14,away,BOS,W,Mike Dunn,/players/d/dunnmi01.shtml,Ryan Brasier,/players/b/brasiry01.shtml
42,2019-05-15,away,BOS,L,Brandon Workman,/players/w/workmbr01.shtml,Chad Bettis,/players/b/bettich01.shtml
43,2019-05-17,away,PHI,L,Cole Irvin,/players/i/irvinco01.shtml,Jon Gray,/players/g/grayjo02.shtml
44,2019-05-18,away,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
45,2019-05-19,away,PHI,L,Edgar Garcia,/players/g/garcied01.shtml,Bryan Shaw,/players/s/shawbr01.shtml
46,2019-05-21,away,PIT,W,German Marquez,/players/m/marquge01.shtml,Chris Archer,/players/a/archech01.shtml
47,2019-05-22,away,PIT,W,Jon Gray,/players/g/grayjo02.shtml,Montana DuRapau,/players/d/durapmo01.shtml
48,2019-05-23,away,PIT,L,Jordan Lyles,/players/l/lylesjo01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
49,2019-05-24,home,BAL,W,Scott Oberg,/players/o/obergsc01.shtml,Mychal Givens,/players/g/givenmy01.shtml
50,2019-05-25,home,BAL,L,Andrew Cashner,/players/c/cashnan01.shtml,Kyle Freeland,/players/f/freelky01.shtml
51,2019-05-26,home,BAL,W,Scott Oberg,/players/o/obergsc01.shtml,Paul Fry,/players/f/frypa01.shtml
52,2019-05-27,home,ARI,W,Seunghwan Oh,/players/o/ohse01.shtml,Matt Andriese,/players/a/andrima01.shtml
53,2019-05-28,home,ARI,W,Jairo Diaz,/players/d/diazja01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
54,2019-05-29,home,ARI,W,Jeff Hoffman,/players/h/hoffmje02.shtml,Robbie Ray,/players/r/rayro02.shtml
55,2019-05-30,home,ARI,W,Seunghwan Oh,/players/o/ohse01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
56,2019-05-31,home,TOR,W,German Marquez,/players/m/marquge01.shtml,Edwin Jackson,/players/j/jacksed01.shtml
57,2019-06-01,home,TOR,W,Jon Gray,/players/g/grayjo02.shtml,Marcus Stroman,/players/s/stromma01.shtml
58,2019-06-02,home,TOR,W,Antonio Senzatela,/players/s/senzaan01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
59,2019-06-04,away,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Jeff Hoffman,/players/h/hoffmje02.shtml
60,2019-06-05,away,CHC,L,Brandon Kintzler,/players/k/kintzbr01.shtml,German Marquez,/players/m/marquge01.shtml
61,2019-06-06,away,CHC,W,Peter Lambert,/players/l/lambepe01.shtml,Jose Quintana,/players/q/quintjo01.shtml
62,2019-06-07,away,NYM,W,Antonio Senzatela,/players/s/senzaan01.shtml,Jacob deGrom,/players/d/degroja01.shtml
63,2019-06-08,away,NYM,L,Steven Matz,/players/m/matzst01.shtml,Jon Gray,/players/g/grayjo02.shtml
64,2019-06-09,away,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Jeff Hoffman,/players/h/hoffmje02.shtml
65,2019-06-10,home,CHC,W,Scott Oberg,/players/o/obergsc01.shtml,Steve Cishek,/players/c/cishest01.shtml
