Overall W-L%, Home W-L%, Away W-L%
.395,.469,.321

Opponent, W-L%
BAL,.667
BOS,.333
CHC,.250
CHW,.632
CIN,.500
CLE,.316
HOU,.167
KCR,.421
LAA,.429
MIL,.000
MIN,.368
NYY,.429
OAK,.000
PIT,.167
SEA,.429
STL,.667
TBR,.333
TEX,.429
TOR,.571

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-30,home,PIT,L,Steven Brault,/players/b/braulst01.shtml,Alex Wilson,/players/w/wilsoal01.shtml
2,2018-04-01,home,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Michael Fulmer,/players/f/fulmemi01.shtml
3,2018-04-01,home,PIT,L,Chad Kuhl,/players/k/kuhlch01.shtml,Buck Farmer,/players/f/farmebu01.shtml
4,2018-04-02,home,KCR,W,Francisco Liriano,/players/l/liriafr01.shtml,Jason Hammel,/players/h/hammeja01.shtml
5,2018-04-03,home,KCR,L,Jakob Junis,/players/j/junisja01.shtml,Matthew Boyd,/players/b/boydma01.shtml
6,2018-04-05,away,CHW,W,Joe Jimenez,/players/j/jimenjo02.shtml,Gregory Infante,/players/i/infangr01.shtml
7,2018-04-07,away,CHW,W,Michael Fulmer,/players/f/fulmemi01.shtml,Lucas Giolito,/players/g/giolilu01.shtml
8,2018-04-08,away,CHW,W,Mike Fiers,/players/f/fiersmi01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
9,2018-04-09,away,CLE,L,Corey Kluber,/players/k/klubeco01.shtml,Francisco Liriano,/players/l/liriafr01.shtml
10,2018-04-10,away,CLE,L,Andrew Miller,/players/m/millean01.shtml,Alex Wilson,/players/w/wilsoal01.shtml
11,2018-04-11,away,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,Daniel Norris,/players/n/norrida01.shtml
12,2018-04-12,away,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Michael Fulmer,/players/f/fulmemi01.shtml
13,2018-04-13,home,NYY,L,Jordan Montgomery,/players/m/montgjo01.shtml,Mike Fiers,/players/f/fiersmi01.shtml
14,2018-04-17,home,BAL,W,Francisco Liriano,/players/l/liriafr01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
15,2018-04-18,home,BAL,W,Shane Greene,/players/g/greensh02.shtml,Pedro Araujo,/players/a/araujpe01.shtml
16,2018-04-19,home,BAL,W,Jordan Zimmermann,/players/z/zimmejo02.shtml,Alex Cobb,/players/c/cobbal01.shtml
17,2018-04-20,home,KCR,W,Joe Jimenez,/players/j/jimenjo02.shtml,Brad Keller,/players/k/kellebr01.shtml
18,2018-04-20,home,KCR,L,Jakob Junis,/players/j/junisja01.shtml,Shane Greene,/players/g/greensh02.shtml
19,2018-04-21,home,KCR,W,Mike Fiers,/players/f/fiersmi01.shtml,Danny Duffy,/players/d/duffyda01.shtml
20,2018-04-22,home,KCR,L,Kevin McCarthy,/players/m/mccarke01.shtml,Drew VerHagen,/players/v/verhadr01.shtml
21,2018-04-25,away,PIT,W,Daniel Stumpf,/players/s/stumpda01.shtml,Jameson Taillon,/players/t/taillja01.shtml
22,2018-04-25,away,PIT,L,Chad Kuhl,/players/k/kuhlch01.shtml,Matthew Boyd,/players/b/boydma01.shtml
23,2018-04-26,away,PIT,L,Felipe Vazquez,/players/r/riverfe01.shtml,Alex Wilson,/players/w/wilsoal01.shtml
24,2018-04-27,away,BAL,L,Chris Tillman,/players/t/tillmch01.shtml,Mike Fiers,/players/f/fiersmi01.shtml
25,2018-04-28,away,BAL,W,Francisco Liriano,/players/l/liriafr01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
26,2018-04-29,away,BAL,L,Kevin Gausman,/players/g/gausmke01.shtml,Daniel Norris,/players/n/norrida01.shtml
27,2018-04-30,home,TBR,L,Jake Faria,/players/f/fariaja01.shtml,Shane Greene,/players/g/greensh02.shtml
28,2018-05-01,home,TBR,W,Matthew Boyd,/players/b/boydma01.shtml,Chris Archer,/players/a/archech01.shtml
29,2018-05-02,home,TBR,W,Warwick Saupold,/players/s/saupowa01.shtml,Matt Andriese,/players/a/andrima01.shtml
30,2018-05-03,away,KCR,L,Kevin McCarthy,/players/m/mccarke01.shtml,Chad Bell,/players/b/bellch02.shtml
31,2018-05-04,away,KCR,L,Blaine Boyer,/players/b/boyerbl01.shtml,Daniel Stumpf,/players/s/stumpda01.shtml
32,2018-05-05,away,KCR,W,Jordan Zimmermann,/players/z/zimmejo02.shtml,Jason Hammel,/players/h/hammeja01.shtml
33,2018-05-06,away,KCR,L,Jakob Junis,/players/j/junisja01.shtml,Matthew Boyd,/players/b/boydma01.shtml
34,2018-05-07,away,TEX,L,Jose Leclerc,/players/l/leclejo01.shtml,Daniel Stumpf,/players/s/stumpda01.shtml
35,2018-05-08,away,TEX,W,Mike Fiers,/players/f/fiersmi01.shtml,Mike Minor,/players/m/minormi01.shtml
36,2018-05-09,away,TEX,L,Keone Kela,/players/k/kelake01.shtml,Warwick Saupold,/players/s/saupowa01.shtml
37,2018-05-12,home,SEA,W,Matthew Boyd,/players/b/boydma01.shtml,Marco Gonzales,/players/g/gonzama02.shtml
38,2018-05-12,home,SEA,L,Felix Hernandez,/players/h/hernafe02.shtml,Michael Fulmer,/players/f/fulmemi01.shtml
