Overall W-L%, Home W-L%, Away W-L%
.292,.272,.313

Opponent, W-L%
ATL,.333
BAL,.571
BOS,.286
CHW,.333
CLE,.053
HOU,.143
KCR,.526
LAA,.500
MIA,.000
MIN,.263
NYM,.333
NYY,.500
OAK,.143
PHI,.250
PIT,.250
SEA,.143
TBR,.333
TEX,.000
TOR,.429
WSN,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,TOR,W,Victor Alcantara,/players/a/alcanvi01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
2,2019-03-29,away,TOR,L,Matt Shoemaker,/players/s/shoemma01.shtml,Matthew Boyd,/players/b/boydma01.shtml
3,2019-03-30,away,TOR,L,Aaron Sanchez,/players/s/sanchaa01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
4,2019-03-31,away,TOR,W,Daniel Stumpf,/players/s/stumpda01.shtml,Thomas Pannone,/players/p/pannoth01.shtml
5,2019-04-01,away,NYY,L,Domingo German,/players/g/germado01.shtml,Tyson Ross,/players/r/rossty01.shtml
6,2019-04-02,away,NYY,W,Joe Jimenez,/players/j/jimenjo02.shtml,Aroldis Chapman,/players/c/chapmar01.shtml
7,2019-04-03,away,NYY,W,Buck Farmer,/players/f/farmebu01.shtml,Chad Green,/players/g/greench03.shtml
8,2019-04-04,home,KCR,W,Blaine Hardy,/players/h/hardybl01.shtml,Kyle Zimmer,/players/z/zimmeky01.shtml
9,2019-04-06,home,KCR,W,Victor Alcantara,/players/a/alcanvi01.shtml,Kevin McCarthy,/players/m/mccarke01.shtml
10,2019-04-07,home,KCR,W,Tyson Ross,/players/r/rossty01.shtml,Brad Keller,/players/k/kellebr01.shtml
11,2019-04-09,home,CLE,L,Corey Kluber,/players/k/klubeco01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
12,2019-04-10,home,CLE,W,Matthew Boyd,/players/b/boydma01.shtml,Trevor Bauer,/players/b/bauertr01.shtml
13,2019-04-11,home,CLE,L,Shane Bieber,/players/b/biebesh01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
14,2019-04-13,away,MIN,L,Michael Pineda,/players/p/pinedmi01.shtml,Tyson Ross,/players/r/rossty01.shtml
15,2019-04-14,away,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
16,2019-04-16,home,PIT,L,Keone Kela,/players/k/kelake01.shtml,Shane Greene,/players/g/greensh02.shtml
17,2019-04-17,home,PIT,L,Nick Burdi,/players/b/burdini01.shtml,Buck Farmer,/players/f/farmebu01.shtml
18,2019-04-18,home,CHW,W,Drew VerHagen,/players/v/verhadr01.shtml,Carson Fulmer,/players/f/fulmeca01.shtml
19,2019-04-19,home,CHW,L,Carlos Rodon,/players/r/rodonca01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
20,2019-04-21,home,CHW,W,Daniel Norris,/players/n/norrida01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
21,2019-04-23,away,BOS,W,Matthew Boyd,/players/b/boydma01.shtml,Colten Brewer,/players/b/breweco01.shtml
22,2019-04-23,away,BOS,W,Spencer Turnbull,/players/t/turnbsp01.shtml,Hector Velazquez,/players/v/velazhe01.shtml
23,2019-04-24,away,BOS,L,Eduardo Rodriguez,/players/r/rodried05.shtml,Tyson Ross,/players/r/rossty01.shtml
24,2019-04-25,away,BOS,L,Rick Porcello,/players/p/porceri01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
25,2019-04-26,away,CHW,L,Alex Colome,/players/c/colomal01.shtml,Joe Jimenez,/players/j/jimenjo02.shtml
26,2019-04-28,away,CHW,L,Reynaldo Lopez,/players/l/lopezre01.shtml,Matthew Boyd,/players/b/boydma01.shtml
27,2019-04-30,away,PHI,W,Spencer Turnbull,/players/t/turnbsp01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
28,2019-05-01,away,PHI,L,Seranthony Dominguez,/players/d/dominse01.shtml,Buck Farmer,/players/f/farmebu01.shtml
29,2019-05-03,home,KCR,W,Matthew Boyd,/players/b/boydma01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
30,2019-05-04,home,KCR,L,Homer Bailey,/players/b/baileho02.shtml,Tyson Ross,/players/r/rossty01.shtml
31,2019-05-05,home,KCR,W,Buck Farmer,/players/f/farmebu01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
32,2019-05-07,home,LAA,L,Griffin Canning,/players/c/cannigr01.shtml,Daniel Norris,/players/n/norrida01.shtml
33,2019-05-08,home,LAA,W,Matthew Boyd,/players/b/boydma01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
34,2019-05-09,home,LAA,L,Felix Pena,/players/p/penafe01.shtml,Ryan Carpenter,/players/c/carpery01.shtml
35,2019-05-10,away,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Tyson Ross,/players/r/rossty01.shtml
36,2019-05-11,away,MIN,W,Joe Jimenez,/players/j/jimenjo02.shtml,Trevor Hildenberger,/players/h/hildetr01.shtml
37,2019-05-11,away,MIN,L,Kohl Stewart,/players/s/stewako01.shtml,Gregory Soto,/players/s/sotogr01.shtml
38,2019-05-12,away,MIN,W,Daniel Norris,/players/n/norrida01.shtml,Martin Perez,/players/p/perezma02.shtml
39,2019-05-13,home,HOU,L,Brad Peacock,/players/p/peacobr01.shtml,Matthew Boyd,/players/b/boydma01.shtml
40,2019-05-14,home,HOU,L,Wade Miley,/players/m/mileywa01.shtml,Ryan Carpenter,/players/c/carpery01.shtml
41,2019-05-15,home,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Gregory Soto,/players/s/sotogr01.shtml
42,2019-05-16,home,OAK,L,Chris Bassitt,/players/b/bassich01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
43,2019-05-17,home,OAK,L,Frankie Montas,/players/m/montafr02.shtml,Daniel Norris,/players/n/norrida01.shtml
44,2019-05-18,home,OAK,L,Daniel Mengden,/players/m/mengdda01.shtml,Matthew Boyd,/players/b/boydma01.shtml
45,2019-05-19,home,OAK,L,Mike Fiers,/players/f/fiersmi01.shtml,Zac Reininger,/players/r/reiniza01.shtml
46,2019-05-21,home,MIA,L,Nick Anderson,/players/a/anderni01.shtml,Joe Jimenez,/players/j/jimenjo02.shtml
47,2019-05-22,home,MIA,L,Jose Urena,/players/u/urenajo01.shtml,Buck Farmer,/players/f/farmebu01.shtml
48,2019-05-23,home,MIA,L,Tyler Kinley,/players/k/kinlety01.shtml,Shane Greene,/players/g/greensh02.shtml
49,2019-05-24,away,NYM,W,Buck Farmer,/players/f/farmebu01.shtml,Drew Gagnon,/players/g/gagnodr01.shtml
50,2019-05-25,away,NYM,L,Hector Santiago,/players/s/santihe01.shtml,Buck Farmer,/players/f/farmebu01.shtml
51,2019-05-26,away,NYM,L,Zack Wheeler,/players/w/wheelza01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
52,2019-05-27,away,BAL,L,Dan Straily,/players/s/straida01.shtml,Daniel Norris,/players/n/norrida01.shtml
53,2019-05-28,away,BAL,W,Matthew Boyd,/players/b/boydma01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
54,2019-05-29,away,BAL,W,Nick Ramirez,/players/r/ramirni01.shtml,Branden Kline,/players/k/klinebr01.shtml
55,2019-05-31,away,ATL,W,Spencer Turnbull,/players/t/turnbsp01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
56,2019-06-01,away,ATL,L,Mike Soroka,/players/s/sorokmi01.shtml,Daniel Norris,/players/n/norrida01.shtml
57,2019-06-02,away,ATL,L,Touki Toussaint,/players/t/toussto01.shtml,Joe Jimenez,/players/j/jimenjo02.shtml
58,2019-06-04,home,TBR,W,Ryan Carpenter,/players/c/carpery01.shtml,Blake Snell,/players/s/snellbl01.shtml
59,2019-06-05,home,TBR,L,Charlie Morton,/players/m/mortoch02.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
60,2019-06-06,home,TBR,L,Jalen Beeks,/players/b/beeksja02.shtml,Daniel Norris,/players/n/norrida01.shtml
