Overall W-L%, Home W-L%, Away W-L%
.636,.568,.704

Opponent, W-L%
ARI,.500
BAL,.857
BOS,.571
CHW,1.000
CLE,.571
COL,.500
DET,.833
KCR,.833
LAA,.684
LAD,.667
MIN,.667
NYY,.286
OAK,.632
SDP,.667
SEA,.474
SFG,1.000
TBR,.429
TEX,.632
TOR,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,TEX,W,Justin Verlander,/players/v/verlaju01.shtml,Cole Hamels,/players/h/hamelco01.shtml
2,2018-03-30,away,TEX,L,Doug Fister,/players/f/fistedo01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
3,2018-03-31,away,TEX,W,Lance McCullers,/players/m/mcculla02.shtml,Matt Moore,/players/m/moorema02.shtml
4,2018-04-01,away,TEX,W,Gerrit Cole,/players/c/colege01.shtml,Mike Minor,/players/m/minormi01.shtml
5,2018-04-02,home,BAL,W,Charlie Morton,/players/m/mortoch02.shtml,Chris Tillman,/players/t/tillmch01.shtml
6,2018-04-03,home,BAL,W,Hector Rondon,/players/r/rondohe01.shtml,Pedro Araujo,/players/a/araujpe01.shtml
7,2018-04-04,home,BAL,W,Brad Peacock,/players/p/peacobr01.shtml,Miguel Castro,/players/c/castrmi01.shtml
8,2018-04-06,home,SDP,L,Luis Perdomo,/players/p/perdolu02.shtml,Lance McCullers,/players/m/mcculla02.shtml
9,2018-04-07,home,SDP,W,Chris Devenski,/players/d/devench02.shtml,Robbie Erlin,/players/e/erlinro01.shtml
10,2018-04-08,home,SDP,W,Charlie Morton,/players/m/mortoch02.shtml,Tyson Ross,/players/r/rossty01.shtml
11,2018-04-09,away,MIN,W,Justin Verlander,/players/v/verlaju01.shtml,Taylor Rogers,/players/r/rogerta01.shtml
12,2018-04-10,away,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
13,2018-04-11,away,MIN,L,Fernando Rodney,/players/r/rodnefe01.shtml,Brad Peacock,/players/p/peacobr01.shtml
14,2018-04-13,home,TEX,W,Joe Smith,/players/s/smithjo05.shtml,Kevin Jepsen,/players/j/jepseke01.shtml
15,2018-04-14,home,TEX,L,Keone Kela,/players/k/kelake01.shtml,Will Harris,/players/h/harriwi10.shtml
16,2018-04-15,home,TEX,L,Keone Kela,/players/k/kelake01.shtml,Hector Rondon,/players/r/rondohe01.shtml
17,2018-04-16,away,SEA,L,James Paxton,/players/p/paxtoja01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
18,2018-04-17,away,SEA,W,Lance McCullers,/players/m/mcculla02.shtml,Dan Altavilla,/players/a/altavda01.shtml
19,2018-04-18,away,SEA,W,Gerrit Cole,/players/c/colege01.shtml,Mike Leake,/players/l/leakemi01.shtml
20,2018-04-19,away,SEA,W,Charlie Morton,/players/m/mortoch02.shtml,Marco Gonzales,/players/g/gonzama02.shtml
21,2018-04-20,away,CHW,W,Justin Verlander,/players/v/verlaju01.shtml,James Shields,/players/s/shielja02.shtml
22,2018-04-21,away,CHW,W,Dallas Keuchel,/players/k/keuchda01.shtml,Lucas Giolito,/players/g/giolilu01.shtml
23,2018-04-22,away,CHW,W,Lance McCullers,/players/m/mcculla02.shtml,Aaron Bummer,/players/b/bummeaa01.shtml
24,2018-04-23,home,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Gerrit Cole,/players/c/colege01.shtml
25,2018-04-24,home,LAA,L,Jim Johnson,/players/j/johnsji04.shtml,Joe Smith,/players/s/smithjo05.shtml
26,2018-04-25,home,LAA,W,Justin Verlander,/players/v/verlaju01.shtml,Nick Tropeano,/players/t/tropeni01.shtml
