Overall W-L%, Home W-L%, Away W-L%
.660,.741,.580

Opponent, W-L%
BAL,.667
BOS,.667
CHC,.667
CHW,.429
CIN,.000
CLE,.571
COL,1.000
DET,.857
KCR,.833
LAA,.737
MIL,.500
MIN,.429
NYY,.571
OAK,.579
PIT,.333
SEA,.947
STL,.667
TBR,.429
TEX,.684
TOR,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,TBR,W,Justin Verlander,/players/v/verlaju01.shtml,Blake Snell,/players/s/snellbl01.shtml
2,2019-03-29,away,TBR,L,Charlie Morton,/players/m/mortoch02.shtml,Gerrit Cole,/players/c/colege01.shtml
3,2019-03-30,away,TBR,L,Tyler Glasnow,/players/g/glasnty01.shtml,Collin McHugh,/players/m/mchugco01.shtml
4,2019-03-31,away,TBR,L,Yonny Chirinos,/players/c/chiriyo01.shtml,Wade Miley,/players/m/mileywa01.shtml
5,2019-04-01,away,TEX,W,Brad Peacock,/players/p/peacobr01.shtml,Adrian Sampson,/players/s/sampsad01.shtml
6,2019-04-02,away,TEX,L,Shawn Kelley,/players/k/kellesh01.shtml,Framber Valdez,/players/v/valdefr01.shtml
7,2019-04-03,away,TEX,L,Mike Minor,/players/m/minormi01.shtml,Gerrit Cole,/players/c/colege01.shtml
8,2019-04-05,home,OAK,W,Collin McHugh,/players/m/mchugco01.shtml,Frankie Montas,/players/m/montafr02.shtml
9,2019-04-06,home,OAK,W,Wade Miley,/players/m/mileywa01.shtml,Aaron Brooks,/players/b/brookaa01.shtml
10,2019-04-07,home,OAK,W,Roberto Osuna,/players/o/osunaro01.shtml,Blake Treinen,/players/t/treinbl01.shtml
11,2019-04-08,home,NYY,W,Ryan Pressly,/players/p/pressry01.shtml,Adam Ottavino,/players/o/ottavad01.shtml
12,2019-04-09,home,NYY,W,Hector Rondon,/players/r/rondohe01.shtml,Chad Green,/players/g/greench03.shtml
13,2019-04-10,home,NYY,W,Collin McHugh,/players/m/mchugco01.shtml,James Paxton,/players/p/paxtoja01.shtml
14,2019-04-12,away,SEA,W,Brad Peacock,/players/p/peacobr01.shtml,Shawn Armstrong,/players/a/armstsh01.shtml
15,2019-04-13,away,SEA,W,Justin Verlander,/players/v/verlaju01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
16,2019-04-14,away,SEA,W,Gerrit Cole,/players/c/colege01.shtml,Brandon Brennan,/players/b/brennbr01.shtml
17,2019-04-16,away,OAK,W,Collin McHugh,/players/m/mchugco01.shtml,Marco Estrada,/players/e/estrama01.shtml
18,2019-04-17,away,OAK,L,Frankie Montas,/players/m/montafr02.shtml,Wade Miley,/players/m/mileywa01.shtml
19,2019-04-19,away,TEX,W,Justin Verlander,/players/v/verlaju01.shtml,Drew Smyly,/players/s/smylydr01.shtml
20,2019-04-20,away,TEX,L,Shawn Kelley,/players/k/kellesh01.shtml,Gerrit Cole,/players/c/colege01.shtml
21,2019-04-21,away,TEX,L,Shelby Miller,/players/m/millesh01.shtml,Collin McHugh,/players/m/mchugco01.shtml
22,2019-04-22,home,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Brad Peacock,/players/p/peacobr01.shtml
23,2019-04-23,home,MIN,W,Hector Rondon,/players/r/rondohe01.shtml,Trevor Hildenberger,/players/h/hildetr01.shtml
24,2019-04-24,home,MIN,W,Justin Verlander,/players/v/verlaju01.shtml,Kohl Stewart,/players/s/stewako01.shtml
25,2019-04-25,home,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Gerrit Cole,/players/c/colege01.shtml
26,2019-04-26,home,CLE,L,Adam Cimber,/players/c/cimbead01.shtml,Hector Rondon,/players/r/rondohe01.shtml
27,2019-04-27,home,CLE,W,Roberto Osuna,/players/o/osunaro01.shtml,Adam Cimber,/players/c/cimbead01.shtml
28,2019-04-28,home,CLE,W,Framber Valdez,/players/v/valdefr01.shtml,Carlos Carrasco,/players/c/carraca01.shtml
29,2019-04-29,away,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Justin Verlander,/players/v/verlaju01.shtml
30,2019-04-30,away,MIN,W,Gerrit Cole,/players/c/colege01.shtml,Michael Pineda,/players/p/pinedmi01.shtml
31,2019-05-01,away,MIN,L,Martin Perez,/players/p/perezma02.shtml,Collin McHugh,/players/m/mchugco01.shtml
32,2019-05-02,away,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Brad Peacock,/players/p/peacobr01.shtml
33,2019-05-04,away,LAA,W,Wade Miley,/players/m/mileywa01.shtml,Trevor Cahill,/players/c/cahiltr01.shtml
34,2019-05-05,away,LAA,W,Justin Verlander,/players/v/verlaju01.shtml,Matt Harvey,/players/h/harvema01.shtml
35,2019-05-06,home,KCR,W,Gerrit Cole,/players/c/colege01.shtml,Jakob Junis,/players/j/junisja01.shtml
36,2019-05-07,home,KCR,L,Danny Duffy,/players/d/duffyda01.shtml,Collin McHugh,/players/m/mchugco01.shtml
37,2019-05-08,home,KCR,W,Brad Peacock,/players/p/peacobr01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
38,2019-05-09,home,TEX,W,Wade Miley,/players/m/mileywa01.shtml,Mike Minor,/players/m/minormi01.shtml
39,2019-05-10,home,TEX,W,Justin Verlander,/players/v/verlaju01.shtml,Lance Lynn,/players/l/lynnla01.shtml
40,2019-05-11,home,TEX,W,Gerrit Cole,/players/c/colege01.shtml,Drew Smyly,/players/s/smylydr01.shtml
41,2019-05-12,home,TEX,W,Corbin Martin,/players/m/martico02.shtml,Adrian Sampson,/players/s/sampsad01.shtml
42,2019-05-13,away,DET,W,Brad Peacock,/players/p/peacobr01.shtml,Matthew Boyd,/players/b/boydma01.shtml
43,2019-05-14,away,DET,W,Wade Miley,/players/m/mileywa01.shtml,Ryan Carpenter,/players/c/carpery01.shtml
44,2019-05-15,away,DET,W,Justin Verlander,/players/v/verlaju01.shtml,Gregory Soto,/players/s/sotogr01.shtml
45,2019-05-17,away,BOS,W,Will Harris,/players/h/harriwi10.shtml,Rick Porcello,/players/p/porceri01.shtml
46,2019-05-18,away,BOS,W,Josh James,/players/j/jamesjo02.shtml,Hector Velazquez,/players/v/velazhe01.shtml
47,2019-05-19,away,BOS,L,Marcus Walden,/players/w/waldema01.shtml,Framber Valdez,/players/v/valdefr01.shtml
48,2019-05-20,home,CHW,W,Brad Peacock,/players/p/peacobr01.shtml,Ryan Burr,/players/b/burrry01.shtml
49,2019-05-21,home,CHW,W,Justin Verlander,/players/v/verlaju01.shtml,Dylan Covey,/players/c/coveydy01.shtml
50,2019-05-22,home,CHW,L,Ivan Nova,/players/n/novaiv01.shtml,Gerrit Cole,/players/c/colege01.shtml
51,2019-05-23,home,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Corbin Martin,/players/m/martico02.shtml
52,2019-05-24,home,BOS,W,Wade Miley,/players/m/mileywa01.shtml,Chris Sale,/players/s/salech01.shtml
53,2019-05-25,home,BOS,W,Roberto Osuna,/players/o/osunaro01.shtml,Matt Barnes,/players/b/barnema01.shtml
54,2019-05-26,home,BOS,L,Eduardo Rodriguez,/players/r/rodried05.shtml,Justin Verlander,/players/v/verlaju01.shtml
55,2019-05-27,home,CHC,W,Gerrit Cole,/players/c/colege01.shtml,Cole Hamels,/players/h/hamelco01.shtml
56,2019-05-28,home,CHC,W,Josh James,/players/j/jamesjo02.shtml,Jon Lester,/players/l/lestejo01.shtml
57,2019-05-29,home,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Wade Miley,/players/m/mileywa01.shtml
58,2019-05-31,away,OAK,W,Hector Rondon,/players/r/rondohe01.shtml,Lou Trivino,/players/t/trivilo01.shtml
59,2019-06-01,away,OAK,W,Justin Verlander,/players/v/verlaju01.shtml,Brett Anderson,/players/a/anderbr04.shtml
60,2019-06-02,away,OAK,W,Josh James,/players/j/jamesjo02.shtml,Lou Trivino,/players/t/trivilo01.shtml
61,2019-06-03,away,SEA,W,Framber Valdez,/players/v/valdefr01.shtml,Cory Gearrin,/players/g/gearrco01.shtml
62,2019-06-04,away,SEA,W,Reymin Guduan,/players/g/guduare01.shtml,Brandon Brennan,/players/b/brennbr01.shtml
63,2019-06-05,away,SEA,L,Mike Leake,/players/l/leakemi01.shtml,Brad Peacock,/players/p/peacobr01.shtml
64,2019-06-06,away,SEA,W,Chris Devenski,/players/d/devench02.shtml,Matt Festa,/players/f/festama01.shtml
65,2019-06-07,home,BAL,W,Cionel Perez,/players/p/perezci01.shtml,Branden Kline,/players/k/klinebr01.shtml
66,2019-06-08,home,BAL,L,Paul Fry,/players/f/frypa01.shtml,Will Harris,/players/h/harriwi10.shtml
67,2019-06-09,home,BAL,W,Wade Miley,/players/m/mileywa01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
68,2019-06-11,home,MIL,W,Brad Peacock,/players/p/peacobr01.shtml,Freddy Peralta,/players/p/peralfr01.shtml
