Overall W-L%, Home W-L%, Away W-L%
.358,.395,.321

Opponent, W-L%
BAL,.667
BOS,.167
CHC,.333
CHW,.421
CIN,.500
CLE,.368
DET,.579
HOU,.167
LAA,.143
MIL,.250
MIN,.526
NYY,.286
OAK,.286
PIT,.000
SEA,.167
STL,.333
TBR,.000
TEX,.286
TOR,.286

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,CHW,L,James Shields,/players/s/shielja02.shtml,Danny Duffy,/players/d/duffyda01.shtml
2,2018-03-31,home,CHW,L,Danny Farquhar,/players/f/farquda01.shtml,Brandon Maurer,/players/m/maurebr01.shtml
3,2018-04-02,away,DET,L,Francisco Liriano,/players/l/liriafr01.shtml,Jason Hammel,/players/h/hammeja01.shtml
4,2018-04-03,away,DET,W,Jakob Junis,/players/j/junisja01.shtml,Matthew Boyd,/players/b/boydma01.shtml
5,2018-04-06,away,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,Danny Duffy,/players/d/duffyda01.shtml
6,2018-04-07,away,CLE,W,Ian Kennedy,/players/k/kenneia01.shtml,Trevor Bauer,/players/b/bauertr01.shtml
7,2018-04-08,away,CLE,L,Cody Allen,/players/a/allenco01.shtml,Brandon Maurer,/players/m/maurebr01.shtml
8,2018-04-09,home,SEA,W,Jakob Junis,/players/j/junisja01.shtml,Marco Gonzales,/players/g/gonzama02.shtml
9,2018-04-10,home,SEA,L,Felix Hernandez,/players/h/hernafe02.shtml,Eric Skoglund,/players/s/skogler01.shtml
10,2018-04-11,home,SEA,L,Nick Vincent,/players/v/vinceni01.shtml,Justin Grimm,/players/g/grimmju01.shtml
11,2018-04-12,home,LAA,L,Nick Tropeano,/players/t/tropeni01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
12,2018-04-13,home,LAA,L,Blake Wood,/players/w/woodbl01.shtml,Justin Grimm,/players/g/grimmju01.shtml
13,2018-04-14,home,LAA,L,Garrett Richards,/players/r/richaga01.shtml,Jakob Junis,/players/j/junisja01.shtml
14,2018-04-17,away,TOR,L,Jaime Garcia,/players/g/garcija02.shtml,Eric Skoglund,/players/s/skogler01.shtml
15,2018-04-17,away,TOR,L,Tyler Clippard,/players/c/clippty01.shtml,Brian Flynn,/players/f/flynnbr01.shtml
16,2018-04-18,away,TOR,L,J.A. Happ,/players/h/happja01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
17,2018-04-20,away,DET,L,Joe Jimenez,/players/j/jimenjo02.shtml,Brad Keller,/players/k/kellebr01.shtml
