Overall W-L%, Home W-L%, Away W-L%
.364,.383,.346

Opponent, W-L%
ATL,.750
BAL,.500
BOS,.167
CHW,.526
CLE,.368
DET,.474
HOU,.167
LAA,.333
MIA,.667
MIN,.263
NYM,.333
NYY,.286
OAK,.286
PHI,.333
SEA,.286
STL,.250
TBR,.429
TEX,.286
TOR,.143
WSN,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,CHW,W,Brad Keller,/players/k/kellebr01.shtml,Carlos Rodon,/players/r/rodonca01.shtml
2,2019-03-30,home,CHW,W,Jakob Junis,/players/j/junisja01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
3,2019-03-31,home,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
4,2019-04-02,home,MIN,L,Trevor Hildenberger,/players/h/hildetr01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
5,2019-04-03,home,MIN,L,Trevor May,/players/m/maytr01.shtml,Wily Peralta,/players/p/peralwi01.shtml
6,2019-04-04,away,DET,L,Blaine Hardy,/players/h/hardybl01.shtml,Kyle Zimmer,/players/z/zimmeky01.shtml
7,2019-04-06,away,DET,L,Victor Alcantara,/players/a/alcanvi01.shtml,Kevin McCarthy,/players/m/mccarke01.shtml
8,2019-04-07,away,DET,L,Tyson Ross,/players/r/rossty01.shtml,Brad Keller,/players/k/kellebr01.shtml
9,2019-04-08,home,SEA,L,Roenis Elias,/players/e/eliasro01.shtml,Homer Bailey,/players/b/baileho02.shtml
10,2019-04-09,home,SEA,L,Marco Gonzales,/players/g/gonzama02.shtml,Jakob Junis,/players/j/junisja01.shtml
11,2019-04-10,home,SEA,L,Anthony Swarzak,/players/s/swarzan01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
12,2019-04-11,home,SEA,L,Brandon Brennan,/players/b/brennbr01.shtml,Glenn Sparkman,/players/s/sparkgl01.shtml
13,2019-04-12,home,CLE,W,Brad Keller,/players/k/kellebr01.shtml,Carlos Carrasco,/players/c/carraca01.shtml
14,2019-04-13,home,CLE,W,Homer Bailey,/players/b/baileho02.shtml,Jefry Rodriguez,/players/r/rodrije01.shtml
15,2019-04-14,home,CLE,W,Wily Peralta,/players/p/peralwi01.shtml,Brad Hand,/players/h/handbr01.shtml
16,2019-04-15,away,CHW,L,Manny Banuelos,/players/b/banuema01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
17,2019-04-16,away,CHW,L,Reynaldo Lopez,/players/l/lopezre01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
18,2019-04-17,away,CHW,W,Wily Peralta,/players/p/peralwi01.shtml,Nate Jones,/players/j/jonesna01.shtml
19,2019-04-18,away,NYY,W,Homer Bailey,/players/b/baileho02.shtml,Domingo German,/players/g/germado01.shtml
20,2019-04-19,away,NYY,L,CC Sabathia,/players/s/sabatc.01.shtml,Jakob Junis,/players/j/junisja01.shtml
21,2019-04-20,away,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,Heath Fillmyer,/players/f/fillmhe01.shtml
22,2019-04-21,away,NYY,L,Zack Britton,/players/b/brittza01.shtml,Jake Diekman,/players/d/diekmja01.shtml
23,2019-04-22,away,TBR,L,Wilmer Font,/players/f/fontwi01.shtml,Brad Keller,/players/k/kellebr01.shtml
24,2019-04-23,away,TBR,L,Jalen Beeks,/players/b/beeksja02.shtml,Homer Bailey,/players/b/baileho02.shtml
25,2019-04-24,away,TBR,W,Jakob Junis,/players/j/junisja01.shtml,Blake Snell,/players/s/snellbl01.shtml
26,2019-04-26,home,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Danny Duffy,/players/d/duffyda01.shtml
27,2019-04-27,home,LAA,W,Scott Barlow,/players/b/barlosc01.shtml,Jaime Barria,/players/b/barrija01.shtml
28,2019-04-28,home,LAA,L,Matt Harvey,/players/h/harvema01.shtml,Homer Bailey,/players/b/baileho02.shtml
29,2019-04-29,home,TBR,L,Yonny Chirinos,/players/c/chiriyo01.shtml,Brad Keller,/players/k/kellebr01.shtml
30,2019-05-01,home,TBR,W,Jakob Junis,/players/j/junisja01.shtml,Ryne Stanek,/players/s/stanery01.shtml
31,2019-05-01,home,TBR,W,Glenn Sparkman,/players/s/sparkgl01.shtml,Blake Snell,/players/s/snellbl01.shtml
32,2019-05-02,home,TBR,L,Adam Kolarek,/players/k/kolarad01.shtml,Wily Peralta,/players/p/peralwi01.shtml
33,2019-05-03,away,DET,L,Matthew Boyd,/players/b/boydma01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
34,2019-05-04,away,DET,W,Homer Bailey,/players/b/baileho02.shtml,Tyson Ross,/players/r/rossty01.shtml
35,2019-05-05,away,DET,L,Buck Farmer,/players/f/farmebu01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
36,2019-05-06,away,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Jakob Junis,/players/j/junisja01.shtml
37,2019-05-07,away,HOU,W,Danny Duffy,/players/d/duffyda01.shtml,Collin McHugh,/players/m/mchugco01.shtml
38,2019-05-08,away,HOU,L,Brad Peacock,/players/p/peacobr01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
39,2019-05-10,home,PHI,W,Homer Bailey,/players/b/baileho02.shtml,Jake Arrieta,/players/a/arrieja01.shtml
40,2019-05-11,home,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Brad Keller,/players/k/kellebr01.shtml
41,2019-05-12,home,PHI,L,Cole Irvin,/players/i/irvinco01.shtml,Jakob Junis,/players/j/junisja01.shtml
42,2019-05-14,home,TEX,W,Danny Duffy,/players/d/duffyda01.shtml,Shelby Miller,/players/m/millesh01.shtml
43,2019-05-15,home,TEX,L,Mike Minor,/players/m/minormi01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
44,2019-05-16,home,TEX,L,Lance Lynn,/players/l/lynnla01.shtml,Homer Bailey,/players/b/baileho02.shtml
45,2019-05-17,away,LAA,L,Matt Harvey,/players/h/harvema01.shtml,Brad Keller,/players/k/kellebr01.shtml
46,2019-05-18,away,LAA,L,Griffin Canning,/players/c/cannigr01.shtml,Jakob Junis,/players/j/junisja01.shtml
47,2019-05-19,away,LAA,W,Danny Duffy,/players/d/duffyda01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
48,2019-05-22,away,STL,W,Brad Keller,/players/k/kellebr01.shtml,Michael Wacha,/players/w/wachami01.shtml
49,2019-05-22,away,STL,L,Adam Wainwright,/players/w/wainwad01.shtml,Homer Bailey,/players/b/baileho02.shtml
50,2019-05-25,home,NYY,L,J.A. Happ,/players/h/happja01.shtml,Scott Barlow,/players/b/barlosc01.shtml
51,2019-05-25,home,NYY,L,Chance Adams,/players/a/adamsch01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
52,2019-05-26,home,NYY,W,Kevin McCarthy,/players/m/mccarke01.shtml,Jonathan Holder,/players/h/holdejo02.shtml
53,2019-05-27,away,CHW,L,Alex Colome,/players/c/colomal01.shtml,Jake Diekman,/players/d/diekmja01.shtml
54,2019-05-28,away,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Brad Keller,/players/k/kellebr01.shtml
55,2019-05-29,away,CHW,L,Kelvin Herrera,/players/h/herreke01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
56,2019-05-30,away,TEX,W,Jakob Junis,/players/j/junisja01.shtml,Mike Minor,/players/m/minormi01.shtml
57,2019-05-31,away,TEX,L,Ariel Jurado,/players/j/juradar01.shtml,Danny Duffy,/players/d/duffyda01.shtml
58,2019-06-01,away,TEX,L,Lance Lynn,/players/l/lynnla01.shtml,Homer Bailey,/players/b/baileho02.shtml
59,2019-06-02,away,TEX,L,Adrian Sampson,/players/s/sampsad01.shtml,Brad Keller,/players/k/kellebr01.shtml
60,2019-06-04,home,BOS,L,Eduardo Rodriguez,/players/r/rodried05.shtml,Scott Barlow,/players/b/barlosc01.shtml
61,2019-06-05,home,BOS,L,Chris Sale,/players/s/salech01.shtml,Jakob Junis,/players/j/junisja01.shtml
62,2019-06-06,home,BOS,L,Colten Brewer,/players/b/breweco01.shtml,Danny Duffy,/players/d/duffyda01.shtml
63,2019-06-07,home,CHW,W,Brad Boxberger,/players/b/boxbebr01.shtml,Jace Fry,/players/f/fryja01.shtml
64,2019-06-08,home,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Brad Keller,/players/k/kellebr01.shtml
65,2019-06-09,home,CHW,L,Reynaldo Lopez,/players/l/lopezre01.shtml,Glenn Sparkman,/players/s/sparkgl01.shtml
66,2019-06-11,home,DET,W,Scott Barlow,/players/b/barlosc01.shtml,Victor Alcantara,/players/a/alcanvi01.shtml
67,2019-06-12,home,DET,L,Nick Ramirez,/players/r/ramirni01.shtml,Jake Diekman,/players/d/diekmja01.shtml
68,2019-06-13,home,DET,W,Homer Bailey,/players/b/baileho02.shtml,Matthew Boyd,/players/b/boydma01.shtml
69,2019-06-14,away,MIN,L,Kyle Gibson,/players/g/gibsoky01.shtml,Jake Diekman,/players/d/diekmja01.shtml
70,2019-06-15,away,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Glenn Sparkman,/players/s/sparkgl01.shtml
71,2019-06-16,away,MIN,W,Jorge Lopez,/players/l/lopezjo02.shtml,Martin Perez,/players/p/perezma02.shtml
72,2019-06-17,away,SEA,W,Brian Flynn,/players/f/flynnbr01.shtml,Anthony Bass,/players/b/bassan01.shtml
73,2019-06-18,away,SEA,W,Homer Bailey,/players/b/baileho02.shtml,Yusei Kikuchi,/players/k/kikucyu01.shtml
74,2019-06-19,away,SEA,L,Marco Gonzales,/players/g/gonzama02.shtml,Brad Keller,/players/k/kellebr01.shtml
75,2019-06-20,home,MIN,W,Glenn Sparkman,/players/s/sparkgl01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
76,2019-06-21,home,MIN,L,Ryne Harper,/players/h/harpery01.shtml,Jake Diekman,/players/d/diekmja01.shtml
77,2019-06-22,home,MIN,L,Trevor May,/players/m/maytr01.shtml,Wily Peralta,/players/p/peralwi01.shtml
78,2019-06-23,home,MIN,W,Homer Bailey,/players/b/baileho02.shtml,Michael Pineda,/players/p/pinedmi01.shtml
79,2019-06-24,away,CLE,L,Brad Hand,/players/h/handbr01.shtml,Wily Peralta,/players/p/peralwi01.shtml
80,2019-06-25,away,CLE,W,Kevin McCarthy,/players/m/mccarke01.shtml,Brad Hand,/players/h/handbr01.shtml
81,2019-06-26,away,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Jakob Junis,/players/j/junisja01.shtml
82,2019-06-28,away,TOR,L,Daniel Hudson,/players/h/hudsoda01.shtml,Danny Duffy,/players/d/duffyda01.shtml
83,2019-06-29,away,TOR,L,Daniel Hudson,/players/h/hudsoda01.shtml,Scott Barlow,/players/b/barlosc01.shtml
84,2019-06-30,away,TOR,W,Brad Keller,/players/k/kellebr01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
85,2019-07-01,away,TOR,L,Clayton Richard,/players/r/richacl01.shtml,Glenn Sparkman,/players/s/sparkgl01.shtml
86,2019-07-02,home,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Jakob Junis,/players/j/junisja01.shtml
87,2019-07-03,home,CLE,L,Mike Clevinger,/players/c/clevimi01.shtml,Danny Duffy,/players/d/duffyda01.shtml
88,2019-07-04,home,CLE,L,Adam Cimber,/players/c/cimbead01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
89,2019-07-05,away,WSN,W,Brian Flynn,/players/f/flynnbr01.shtml,Jonny Venters,/players/v/ventejo01.shtml
90,2019-07-06,away,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Glenn Sparkman,/players/s/sparkgl01.shtml
