Overall W-L%, Home W-L%, Away W-L%
.494,.519,.469

Opponent, W-L%
ARI,.250
BAL,.833
BOS,.000
CHW,.714
CLE,.500
COL,.500
DET,.571
HOU,.316
KCR,.857
LAD,.500
MIN,.571
NYY,.167
OAK,.526
SDP,1.000
SEA,.421
SFG,.333
TBR,.143
TEX,.684
TOR,.571

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,OAK,L,Chris Hatcher,/players/h/hatchch02.shtml,Noe Ramirez,/players/r/ramirno01.shtml
2,2018-03-30,away,OAK,W,Tyler Skaggs,/players/s/skaggty01.shtml,Sean Manaea,/players/m/manaese01.shtml
3,2018-03-31,away,OAK,W,Matt Shoemaker,/players/s/shoemma01.shtml,Daniel Mengden,/players/m/mengdda01.shtml
4,2018-04-01,away,OAK,W,Shohei Ohtani,/players/o/ohtansh01.shtml,Daniel Gossett,/players/g/gosseda01.shtml
5,2018-04-02,home,CLE,L,Mike Clevinger,/players/c/clevimi01.shtml,JC Ramirez,/players/r/ramirjc01.shtml
6,2018-04-03,home,CLE,W,Garrett Richards,/players/r/richaga01.shtml,Josh Tomlin,/players/t/tomlijo01.shtml
7,2018-04-04,home,CLE,W,Noe Ramirez,/players/r/ramirno01.shtml,Zach McAllister,/players/m/mcallza01.shtml
8,2018-04-06,home,OAK,W,Jim Johnson,/players/j/johnsji04.shtml,Blake Treinen,/players/t/treinbl01.shtml
9,2018-04-07,home,OAK,L,Andrew Triggs,/players/t/triggan01.shtml,JC Ramirez,/players/r/ramirjc01.shtml
10,2018-04-08,home,OAK,W,Shohei Ohtani,/players/o/ohtansh01.shtml,Kendall Graveman,/players/g/graveke01.shtml
11,2018-04-09,away,TEX,W,Jose Alvarez,/players/a/alvarjo02.shtml,Doug Fister,/players/f/fistedo01.shtml
12,2018-04-10,away,TEX,W,Tyler Skaggs,/players/s/skaggty01.shtml,Martin Perez,/players/p/perezma02.shtml
13,2018-04-11,away,TEX,W,Jaime Barria,/players/b/barrija01.shtml,Matt Moore,/players/m/moorema02.shtml
14,2018-04-12,away,KCR,W,Nick Tropeano,/players/t/tropeni01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
15,2018-04-13,away,KCR,W,Blake Wood,/players/w/woodbl01.shtml,Justin Grimm,/players/g/grimmju01.shtml
16,2018-04-14,away,KCR,W,Garrett Richards,/players/r/richaga01.shtml,Jakob Junis,/players/j/junisja01.shtml
17,2018-04-17,home,BOS,L,David Price,/players/p/priceda01.shtml,Shohei Ohtani,/players/o/ohtansh01.shtml
18,2018-04-18,home,BOS,L,Rick Porcello,/players/p/porceri01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
19,2018-04-19,home,BOS,L,Eduardo Rodriguez,/players/r/rodried05.shtml,Nick Tropeano,/players/t/tropeni01.shtml
20,2018-04-20,home,SFG,L,Jeff Samardzija,/players/s/samarje01.shtml,Andrew Heaney,/players/h/heanean01.shtml
21,2018-04-21,home,SFG,W,Garrett Richards,/players/r/richaga01.shtml,Derek Holland,/players/h/hollade01.shtml
22,2018-04-22,home,SFG,L,Johnny Cueto,/players/c/cuetojo01.shtml,Jaime Barria,/players/b/barrija01.shtml
23,2018-04-23,away,HOU,W,Tyler Skaggs,/players/s/skaggty01.shtml,Gerrit Cole,/players/c/colege01.shtml
24,2018-04-24,away,HOU,W,Jim Johnson,/players/j/johnsji04.shtml,Joe Smith,/players/s/smithjo05.shtml
25,2018-04-25,away,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Nick Tropeano,/players/t/tropeni01.shtml
26,2018-04-27,home,NYY,L,David Robertson,/players/r/roberda08.shtml,Blake Parker,/players/p/parkebl01.shtml
27,2018-04-28,home,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,Garrett Richards,/players/r/richaga01.shtml
28,2018-04-29,home,NYY,L,CC Sabathia,/players/s/sabatc.01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
29,2018-05-01,home,BAL,W,Cam Bedrosian,/players/b/bedroca01.shtml,Brad Brach,/players/b/brachbr01.shtml
30,2018-05-02,home,BAL,W,Andrew Heaney,/players/h/heanean01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
31,2018-05-03,home,BAL,W,Jaime Barria,/players/b/barrija01.shtml,Chris Tillman,/players/t/tillmch01.shtml
32,2018-05-04,away,SEA,W,Garrett Richards,/players/r/richaga01.shtml,Mike Leake,/players/l/leakemi01.shtml
