Overall W-L%, Home W-L%, Away W-L%
.444,.469,.420

Opponent, W-L%
BAL,.429
BOS,.429
CHC,.333
CHW,.714
CIN,.500
CLE,.000
DET,.500
HOU,.263
KCR,.667
LAD,1.000
MIL,1.000
MIN,.167
NYY,.286
OAK,.316
PIT,.333
SEA,.526
STL,.333
TBR,.429
TEX,.474
TOR,.857

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,OAK,L,Mike Fiers,/players/f/fiersmi01.shtml,Trevor Cahill,/players/c/cahiltr01.shtml
2,2019-03-29,away,OAK,W,Hansel Robles,/players/r/robleha01.shtml,Joakim Soria,/players/s/soriajo01.shtml
3,2019-03-30,away,OAK,L,Brett Anderson,/players/a/anderbr04.shtml,Felix Pena,/players/p/penafe01.shtml
4,2019-03-31,away,OAK,L,Frankie Montas,/players/m/montafr02.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
5,2019-04-01,away,SEA,L,Felix Hernandez,/players/h/hernafe02.shtml,Chris Stratton,/players/s/stratch01.shtml
6,2019-04-02,away,SEA,L,Marco Gonzales,/players/g/gonzama02.shtml,Luis Garcia,/players/g/garcilu03.shtml
7,2019-04-04,home,TEX,L,Jeffrey Springs,/players/s/sprinje01.shtml,Matt Harvey,/players/h/harvema01.shtml
8,2019-04-05,home,TEX,W,Justin Anderson,/players/a/anderju01.shtml,Lance Lynn,/players/l/lynnla01.shtml
9,2019-04-06,home,TEX,W,Tyler Skaggs,/players/s/skaggty01.shtml,Drew Smyly,/players/s/smylydr01.shtml
10,2019-04-07,home,TEX,W,Justin Anderson,/players/a/anderju01.shtml,Shelby Miller,/players/m/millesh01.shtml
11,2019-04-08,home,MIL,W,Trevor Cahill,/players/c/cahiltr01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
12,2019-04-09,home,MIL,W,Cam Bedrosian,/players/b/bedroca01.shtml,Alex Claudio,/players/c/claudal01.shtml
13,2019-04-10,home,MIL,W,Jaime Barria,/players/b/barrija01.shtml,Brandon Woodruff,/players/w/woodrbr01.shtml
14,2019-04-12,away,CHC,L,Cole Hamels,/players/h/hamelco01.shtml,Tyler Skaggs,/players/s/skaggty01.shtml
15,2019-04-13,away,CHC,W,Ty Buttrey,/players/b/buttrty01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
16,2019-04-15,away,TEX,L,Kyle Dowdy,/players/d/dowdyky01.shtml,Cam Bedrosian,/players/b/bedroca01.shtml
17,2019-04-16,away,TEX,L,Mike Minor,/players/m/minormi01.shtml,Jaime Barria,/players/b/barrija01.shtml
18,2019-04-17,away,TEX,L,Lance Lynn,/players/l/lynnla01.shtml,Matt Harvey,/players/h/harvema01.shtml
19,2019-04-18,home,SEA,L,Anthony Swarzak,/players/s/swarzan01.shtml,Cody Allen,/players/a/allenco01.shtml
