Overall W-L%, Home W-L%, Away W-L%
.564,.549,.580

Opponent, W-L%
ARI,.421
ATL,.714
CHC,.429
CIN,.143
COL,.650
HOU,.333
LAA,.500
MIA,.333
MIL,.571
NYM,.667
OAK,.500
PHI,.429
PIT,.833
SDP,.737
SEA,.667
SFG,.526
STL,.429
TEX,1.000
WSN,.833

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,SFG,L,Ty Blach,/players/b/blachty01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
2,2018-03-30,home,SFG,L,Tony Watson,/players/w/watsoto01.shtml,Kenley Jansen,/players/j/janseke01.shtml
3,2018-03-31,home,SFG,W,Kenta Maeda,/players/m/maedake01.shtml,Derek Holland,/players/h/hollade01.shtml
4,2018-04-01,home,SFG,W,Rich Hill,/players/h/hillri01.shtml,Chris Stratton,/players/s/stratch01.shtml
5,2018-04-02,away,ARI,L,Fernando Salas,/players/s/salasfe01.shtml,Wilmer Font,/players/f/fontwi01.shtml
6,2018-04-03,away,ARI,L,Zack Godley,/players/g/godleza01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
7,2018-04-04,away,ARI,L,Patrick Corbin,/players/c/corbipa01.shtml,Alex Wood,/players/w/woodal02.shtml
8,2018-04-07,away,SFG,L,Roberto Gomez,/players/g/gomezro01.shtml,Wilmer Font,/players/f/fontwi01.shtml
9,2018-04-08,away,SFG,W,Josh Fields,/players/f/fieldjo03.shtml,Pierce Johnson,/players/j/johnspi01.shtml
10,2018-04-10,home,OAK,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Sean Manaea,/players/m/manaese01.shtml
11,2018-04-11,home,OAK,L,Daniel Mengden,/players/m/mengdda01.shtml,Alex Wood,/players/w/woodal02.shtml
12,2018-04-13,home,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Kenta Maeda,/players/m/maedake01.shtml
13,2018-04-14,home,ARI,L,T.J. McFarland,/players/m/mcfartj01.shtml,Rich Hill,/players/h/hillri01.shtml
14,2018-04-15,home,ARI,W,Clayton Kershaw,/players/k/kershcl01.shtml,Zack Godley,/players/g/godleza01.shtml
15,2018-04-16,away,SDP,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Robbie Erlin,/players/e/erlinro01.shtml
16,2018-04-17,away,SDP,W,Scott Alexander,/players/a/alexasc02.shtml,Tyler Webb,/players/w/webbty01.shtml
17,2018-04-18,away,SDP,W,Kenta Maeda,/players/m/maedake01.shtml,Luis Perdomo,/players/p/perdolu02.shtml
18,2018-04-20,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
19,2018-04-21,home,WSN,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
20,2018-04-22,home,WSN,W,Josh Fields,/players/f/fieldjo03.shtml,Trevor Gott,/players/g/gotttr01.shtml
21,2018-04-23,home,MIA,W,Adam Liberatore,/players/l/liberad01.shtml,Kyle Barraclough,/players/b/barraky01.shtml
22,2018-04-24,home,MIA,L,Drew Steckenrider,/players/s/steckdr01.shtml,Pedro Baez,/players/b/baezpe01.shtml
23,2018-04-25,home,MIA,L,Merandy Gonzalez,/players/g/gonzame01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
24,2018-04-27,away,SFG,L,Sam Dyson,/players/d/dysonsa01.shtml,Tony Cingrani,/players/c/cingrto01.shtml
25,2018-04-28,away,SFG,W,Walker Buehler,/players/b/buehlwa01.shtml,Chris Stratton,/players/s/stratch01.shtml
26,2018-04-28,away,SFG,L,Johnny Cueto,/players/c/cuetojo01.shtml,Alex Wood,/players/w/woodal02.shtml
27,2018-04-29,away,SFG,L,Ty Blach,/players/b/blachty01.shtml,Kenta Maeda,/players/m/maedake01.shtml
28,2018-04-30,away,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Ross Stripling,/players/s/stripro01.shtml
29,2018-05-01,away,ARI,L,Silvino Bracho,/players/b/brachsi01.shtml,Adam Liberatore,/players/l/liberad01.shtml
30,2018-05-02,away,ARI,W,Daniel Hudson,/players/h/hudsoda01.shtml,Zack Godley,/players/g/godleza01.shtml
31,2018-05-03,away,ARI,W,JT Chargois,/players/c/chargjt01.shtml,Fernando Salas,/players/s/salasfe01.shtml
32,2018-05-04,away,SDP,W,Walker Buehler,/players/b/buehlwa01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
33,2018-05-05,away,SDP,L,Kirby Yates,/players/y/yateski01.shtml,Josh Fields,/players/f/fieldjo03.shtml
34,2018-05-06,away,SDP,L,Eric Lauer,/players/l/lauerer01.shtml,Tony Cingrani,/players/c/cingrto01.shtml
35,2018-05-08,home,ARI,L,T.J. McFarland,/players/m/mcfartj01.shtml,Yimi Garcia,/players/g/garciyi01.shtml
36,2018-05-09,home,ARI,W,Pedro Baez,/players/b/baezpe01.shtml,Fernando Salas,/players/s/salasfe01.shtml
37,2018-05-10,home,CIN,L,Tyler Mahle,/players/m/mahlety01.shtml,Walker Buehler,/players/b/buehlwa01.shtml
38,2018-05-11,home,CIN,L,Austin Brice,/players/b/briceau01.shtml,Kenta Maeda,/players/m/maedake01.shtml
39,2018-05-12,home,CIN,L,Homer Bailey,/players/b/baileho02.shtml,JT Chargois,/players/c/chargjt01.shtml
40,2018-05-13,home,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Rich Hill,/players/h/hillri01.shtml
41,2018-05-15,away,MIA,L,Nick Wittgren,/players/w/wittgni01.shtml,Alex Wood,/players/w/woodal02.shtml
42,2018-05-16,away,MIA,L,Drew Steckenrider,/players/s/steckdr01.shtml,Pedro Baez,/players/b/baezpe01.shtml
43,2018-05-17,away,MIA,W,Kenta Maeda,/players/m/maedake01.shtml,Caleb Smith,/players/s/smithca03.shtml
44,2018-05-19,away,WSN,W,Ross Stripling,/players/s/stripro01.shtml,Tanner Roark,/players/r/roarkta01.shtml
45,2018-05-19,away,WSN,W,Erik Goeddel,/players/g/goedder01.shtml,Sean Doolittle,/players/d/doolise01.shtml
46,2018-05-20,away,WSN,W,Alex Wood,/players/w/woodal02.shtml,Stephen Strasburg,/players/s/strasst01.shtml
47,2018-05-21,home,COL,L,German Marquez,/players/m/marquge01.shtml,Pedro Baez,/players/b/baezpe01.shtml
48,2018-05-22,home,COL,W,JT Chargois,/players/c/chargjt01.shtml,Bryan Shaw,/players/s/shawbr01.shtml
49,2018-05-23,home,COL,W,Kenta Maeda,/players/m/maedake01.shtml,Kyle Freeland,/players/f/freelky01.shtml
50,2018-05-25,home,SDP,W,Ross Stripling,/players/s/stripro01.shtml,Clayton Richard,/players/r/richacl01.shtml
51,2018-05-26,home,SDP,L,Craig Stammen,/players/s/stammcr01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
52,2018-05-27,home,SDP,W,Walker Buehler,/players/b/buehlwa01.shtml,Adam Cimber,/players/c/cimbead01.shtml
53,2018-05-28,home,PHI,W,Yimi Garcia,/players/g/garciyi01.shtml,Adam Morgan,/players/m/morgaad01.shtml
54,2018-05-29,home,PHI,L,Jake Arrieta,/players/a/arrieja01.shtml,Kenta Maeda,/players/m/maedake01.shtml
55,2018-05-30,home,PHI,W,Ross Stripling,/players/s/stripro01.shtml,Zach Eflin,/players/e/eflinza01.shtml
56,2018-05-31,home,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Josh Fields,/players/f/fieldjo03.shtml
57,2018-06-01,away,COL,W,Dennis Santana,/players/s/santade01.shtml,Brooks Pounders,/players/p/poundbr01.shtml
58,2018-06-02,away,COL,W,Pedro Baez,/players/b/baezpe01.shtml,Bryan Shaw,/players/s/shawbr01.shtml
59,2018-06-03,away,COL,W,Tony Cingrani,/players/c/cingrto01.shtml,Wade Davis,/players/d/daviswa01.shtml
60,2018-06-05,away,PIT,W,Ross Stripling,/players/s/stripro01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
61,2018-06-06,away,PIT,L,Steven Brault,/players/b/braulst01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
62,2018-06-07,away,PIT,W,Pedro Baez,/players/b/baezpe01.shtml,Jameson Taillon,/players/t/taillja01.shtml
63,2018-06-08,home,ATL,W,Walker Buehler,/players/b/buehlwa01.shtml,Brandon McCarthy,/players/m/mccarbr01.shtml
64,2018-06-09,home,ATL,L,Anibal Sanchez,/players/s/sanchan01.shtml,Alex Wood,/players/w/woodal02.shtml
65,2018-06-10,home,ATL,W,Ross Stripling,/players/s/stripro01.shtml,Sean Newcomb,/players/n/newcose01.shtml
66,2018-06-12,home,TEX,W,Edward Paredes,/players/p/pareded02.shtml,Bartolo Colon,/players/c/colonba01.shtml
67,2018-06-13,home,TEX,W,Adam Liberatore,/players/l/liberad01.shtml,Jesse Chavez,/players/c/chaveje01.shtml
68,2018-06-15,home,SFG,W,Ross Stripling,/players/s/stripro01.shtml,Derek Holland,/players/h/hollade01.shtml
69,2018-06-16,home,SFG,W,Alex Wood,/players/w/woodal02.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
70,2018-06-17,home,SFG,L,Chris Stratton,/players/s/stratch01.shtml,Caleb Ferguson,/players/f/ferguca01.shtml
71,2018-06-19,away,CHC,W,Edward Paredes,/players/p/pareded02.shtml,Justin Wilson,/players/w/wilsoju10.shtml
72,2018-06-19,away,CHC,L,Rob Zastryzny,/players/z/zastrro01.shtml,Brock Stewart,/players/s/stewabr01.shtml
73,2018-06-20,away,CHC,L,Jon Lester,/players/l/lestejo01.shtml,Ross Stripling,/players/s/stripro01.shtml
74,2018-06-22,away,NYM,W,Alex Wood,/players/w/woodal02.shtml,Zack Wheeler,/players/w/wheelza01.shtml
75,2018-06-23,away,NYM,W,Caleb Ferguson,/players/f/ferguca01.shtml,Jacob deGrom,/players/d/degroja01.shtml
76,2018-06-24,away,NYM,W,Daniel Hudson,/players/h/hudsoda01.shtml,Chris Flexen,/players/f/flexech01.shtml
77,2018-06-25,home,CHC,W,Kenta Maeda,/players/m/maedake01.shtml,Duane Underwood,/players/u/underdu01.shtml
