Overall W-L%, Home W-L%, Away W-L%
.654,.728,.580

Opponent, W-L%
ARI,.579
ATL,.667
BAL,.667
BOS,.667
CHC,.571
CIN,.833
COL,.789
LAA,.000
MIA,.833
MIL,.571
NYM,.714
NYY,.333
PHI,.714
PIT,1.000
SDP,.684
SFG,.632
STL,.429
TBR,.500
TOR,1.000
WSN,.571

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,ARI,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Zack Greinke,/players/g/greinza01.shtml
2,2019-03-29,home,ARI,L,Matt Andriese,/players/a/andrima01.shtml,Yimi Garcia,/players/g/garciyi01.shtml
3,2019-03-30,home,ARI,W,Kenta Maeda,/players/m/maedake01.shtml,Zack Godley,/players/g/godleza01.shtml
4,2019-03-31,home,ARI,W,Dylan Floro,/players/f/florody01.shtml,Yoshihisa Hirano,/players/h/hiranyo01.shtml
5,2019-04-01,home,SFG,L,Trevor Gott,/players/g/gotttr01.shtml,Joe Kelly,/players/k/kellyjo05.shtml
6,2019-04-02,home,SFG,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
7,2019-04-03,home,SFG,W,Scott Alexander,/players/a/alexasc02.shtml,Reyes Moronta,/players/m/moronre01.shtml
8,2019-04-05,away,COL,W,Kenta Maeda,/players/m/maedake01.shtml,Tyler Anderson,/players/a/anderty01.shtml
9,2019-04-06,away,COL,W,Walker Buehler,/players/b/buehlwa01.shtml,Jon Gray,/players/g/grayjo02.shtml
10,2019-04-07,away,COL,W,Joe Kelly,/players/k/kellyjo05.shtml,Chad Bettis,/players/b/bettich01.shtml
11,2019-04-08,away,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Joe Kelly,/players/k/kellyjo05.shtml
12,2019-04-09,away,STL,L,John Brebbia,/players/b/brebbjo01.shtml,Ross Stripling,/players/s/stripro01.shtml
13,2019-04-10,away,STL,L,Jack Flaherty,/players/f/flaheja01.shtml,Kenta Maeda,/players/m/maedake01.shtml
14,2019-04-11,away,STL,L,Giovanny Gallegos,/players/g/gallegi01.shtml,Pedro Baez,/players/b/baezpe01.shtml
15,2019-04-12,home,MIL,L,Matt Albers,/players/a/alberma01.shtml,Julio Urias,/players/u/uriasju01.shtml
16,2019-04-13,home,MIL,L,Zach Davies,/players/d/davieza02.shtml,Caleb Ferguson,/players/f/ferguca01.shtml
17,2019-04-14,home,MIL,W,Ross Stripling,/players/s/stripro01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
18,2019-04-15,home,CIN,W,Kenley Jansen,/players/j/janseke01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
19,2019-04-16,home,CIN,W,Kenta Maeda,/players/m/maedake01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
20,2019-04-17,home,CIN,W,Walker Buehler,/players/b/buehlwa01.shtml,Sonny Gray,/players/g/grayso01.shtml
21,2019-04-18,away,MIL,W,Julio Urias,/players/u/uriasju01.shtml,Matt Albers,/players/a/alberma01.shtml
22,2019-04-19,away,MIL,W,Pedro Baez,/players/b/baezpe01.shtml,Josh Hader,/players/h/haderjo01.shtml
23,2019-04-20,away,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Hyun-Jin Ryu,/players/r/ryuhy01.shtml
24,2019-04-21,away,MIL,W,Kenley Jansen,/players/j/janseke01.shtml,Josh Hader,/players/h/haderjo01.shtml
25,2019-04-23,away,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Kenta Maeda,/players/m/maedake01.shtml
26,2019-04-24,away,CHC,L,Brad Brach,/players/b/brachbr01.shtml,Scott Alexander,/players/a/alexasc02.shtml
27,2019-04-25,away,CHC,W,Pedro Baez,/players/b/baezpe01.shtml,Jon Lester,/players/l/lestejo01.shtml
28,2019-04-26,home,PIT,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Chris Archer,/players/a/archech01.shtml
29,2019-04-27,home,PIT,W,Clayton Kershaw,/players/k/kershcl01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
30,2019-04-28,home,PIT,W,Julio Urias,/players/u/uriasju01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
31,2019-04-29,away,SFG,L,Sam Dyson,/players/d/dysonsa01.shtml,Ross Stripling,/players/s/stripro01.shtml
32,2019-04-30,away,SFG,W,Walker Buehler,/players/b/buehlwa01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
33,2019-05-01,away,SFG,L,Will Smith,/players/s/smithwi04.shtml,Julio Urias,/players/u/uriasju01.shtml
34,2019-05-03,away,SDP,W,Scott Alexander,/players/a/alexasc02.shtml,Kirby Yates,/players/y/yateski01.shtml
35,2019-05-04,away,SDP,W,Ross Stripling,/players/s/stripro01.shtml,Kirby Yates,/players/y/yateski01.shtml
36,2019-05-05,away,SDP,L,Adam Warren,/players/w/warread01.shtml,Kenley Jansen,/players/j/janseke01.shtml
37,2019-05-06,home,ATL,W,Walker Buehler,/players/b/buehlwa01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
38,2019-05-07,home,ATL,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Max Fried,/players/f/friedma01.shtml
39,2019-05-08,home,ATL,W,Clayton Kershaw,/players/k/kershcl01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
40,2019-05-09,home,WSN,L,Patrick Corbin,/players/c/corbipa01.shtml,Rich Hill,/players/h/hillri01.shtml
41,2019-05-10,home,WSN,W,Kenta Maeda,/players/m/maedake01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
42,2019-05-11,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Pedro Baez,/players/b/baezpe01.shtml
43,2019-05-12,home,WSN,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
44,2019-05-14,home,SDP,W,Clayton Kershaw,/players/k/kershcl01.shtml,Chris Paddack,/players/p/paddach01.shtml
45,2019-05-15,home,SDP,W,Kenta Maeda,/players/m/maedake01.shtml,Matt Strahm,/players/s/strahma01.shtml
46,2019-05-17,away,CIN,W,Rich Hill,/players/h/hillri01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
47,2019-05-18,away,CIN,L,Tyler Mahle,/players/m/mahlety01.shtml,Walker Buehler,/players/b/buehlwa01.shtml
48,2019-05-19,away,CIN,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Tanner Roark,/players/r/roarkta01.shtml
49,2019-05-21,away,TBR,W,Clayton Kershaw,/players/k/kershcl01.shtml,Hunter Wood,/players/w/woodhu01.shtml
50,2019-05-22,away,TBR,L,Emilio Pagan,/players/p/paganem01.shtml,Dylan Floro,/players/f/florody01.shtml
51,2019-05-24,away,PIT,W,Walker Buehler,/players/b/buehlwa01.shtml,Michael Feliz,/players/f/felizmi01.shtml
52,2019-05-25,away,PIT,W,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
53,2019-05-26,away,PIT,W,Kenta Maeda,/players/m/maedake01.shtml,Chris Archer,/players/a/archech01.shtml
54,2019-05-27,home,NYM,W,Clayton Kershaw,/players/k/kershcl01.shtml,Tyler Bashlor,/players/b/bashlty01.shtml
