Overall W-L%, Home W-L%, Away W-L%
.391,.469,.313

Opponent, W-L%
ARI,.143
ATL,.263
BAL,.667
BOS,.000
CHC,.286
CIN,.714
COL,.667
LAD,.667
MIL,.286
NYM,.368
NYY,.500
PHI,.421
PIT,.200
SDP,.286
SFG,.571
STL,.500
TBR,.667
TOR,.333
WSN,.316

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,CHC,L,Steve Cishek,/players/c/cishest01.shtml,Jose Urena,/players/u/urenajo01.shtml
2,2018-03-30,home,CHC,W,Odrisamer Despaigne,/players/d/despaod01.shtml,Eddie Butler,/players/b/butleed01.shtml
3,2018-03-31,home,CHC,L,Pedro Strop,/players/s/stroppe01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
4,2018-04-01,home,CHC,W,Dillon Peters,/players/p/peterdi01.shtml,Jose Quintana,/players/q/quintjo01.shtml
5,2018-04-02,home,BOS,L,Brian Johnson,/players/j/johnsbr02.shtml,Trevor Richards,/players/r/richatr01.shtml
6,2018-04-03,home,BOS,L,Heath Hembree,/players/h/hembrhe01.shtml,Tayron Guerrero,/players/g/guerrta01.shtml
7,2018-04-05,away,PHI,L,Nick Pivetta,/players/p/pivetni01.shtml,Caleb Smith,/players/s/smithca03.shtml
8,2018-04-07,away,PHI,L,Vince Velasquez,/players/v/velasvi01.shtml,Dillon Peters,/players/p/peterdi01.shtml
9,2018-04-08,away,PHI,W,Odrisamer Despaigne,/players/d/despaod01.shtml,Luis Garcia,/players/g/garcilu03.shtml
10,2018-04-09,home,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Jose Urena,/players/u/urenajo01.shtml
11,2018-04-10,home,NYM,L,Hansel Robles,/players/r/robleha01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
12,2018-04-11,home,NYM,L,Zack Wheeler,/players/w/wheelza01.shtml,Chris O'Grady,/players/o/ogradch01.shtml
13,2018-04-13,home,PIT,W,Dillon Peters,/players/p/peterdi01.shtml,Chad Kuhl,/players/k/kuhlch01.shtml
14,2018-04-14,home,PIT,L,George Kontos,/players/k/kontoge01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
15,2018-04-15,home,PIT,L,Ivan Nova,/players/n/novaiv01.shtml,Jose Urena,/players/u/urenajo01.shtml
16,2018-04-16,away,NYY,L,Luis Severino,/players/s/severlu01.shtml,Caleb Smith,/players/s/smithca03.shtml
17,2018-04-17,away,NYY,W,Jarlin Garcia,/players/g/garcija04.shtml,Masahiro Tanaka,/players/t/tanakma01.shtml
18,2018-04-19,away,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Dillon Peters,/players/p/peterdi01.shtml
19,2018-04-20,away,MIL,L,Jhoulys Chacin,/players/c/chacijh01.shtml,Trevor Richards,/players/r/richatr01.shtml
20,2018-04-21,away,MIL,L,Jeremy Jeffress,/players/j/jeffrje01.shtml,Junichi Tazawa,/players/t/tazawju01.shtml
21,2018-04-22,away,MIL,L,Junior Guerra,/players/g/guerrju02.shtml,Caleb Smith,/players/s/smithca03.shtml
22,2018-04-23,away,LAD,L,Adam Liberatore,/players/l/liberad01.shtml,Kyle Barraclough,/players/b/barraky01.shtml
23,2018-04-24,away,LAD,W,Drew Steckenrider,/players/s/steckdr01.shtml,Pedro Baez,/players/b/baezpe01.shtml
