Overall W-L%, Home W-L%, Away W-L%
.352,.370,.333

Opponent, W-L%
ARI,.571
ATL,.211
CHC,.143
CHW,.667
CIN,.143
CLE,.500
COL,.286
DET,1.000
KCR,.333
LAD,.167
MIL,.286
MIN,.333
NYM,.316
PHI,.526
PIT,.500
SDP,.667
SFG,.500
STL,.429
TBR,.000
WSN,.211

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,COL,L,Kyle Freeland,/players/f/freelky01.shtml,Jose Urena,/players/u/urenajo01.shtml
2,2019-03-29,home,COL,L,German Marquez,/players/m/marquge01.shtml,Adam Conley,/players/c/conlead01.shtml
3,2019-03-30,home,COL,W,Pablo Lopez,/players/l/lopezpa01.shtml,Tyler Anderson,/players/a/anderty01.shtml
4,2019-03-31,home,COL,W,Sandy Alcantara,/players/a/alcansa01.shtml,Jon Gray,/players/g/grayjo02.shtml
5,2019-04-01,home,NYM,L,Jeurys Familia,/players/f/familje01.shtml,Drew Steckenrider,/players/s/steckdr01.shtml
6,2019-04-02,home,NYM,L,Jason Vargas,/players/v/vargaja01.shtml,Jose Urena,/players/u/urenajo01.shtml
7,2019-04-03,home,NYM,L,Jacob deGrom,/players/d/degroja01.shtml,Trevor Richards,/players/r/richatr01.shtml
8,2019-04-05,away,ATL,L,Kevin Gausman,/players/g/gausmke01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
9,2019-04-06,away,ATL,W,Sergio Romo,/players/r/romose01.shtml,A.J. Minter,/players/m/minteaj01.shtml
10,2019-04-07,away,ATL,L,Arodys Vizcaino,/players/v/vizcaar01.shtml,Adam Conley,/players/c/conlead01.shtml
11,2019-04-09,away,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Jose Urena,/players/u/urenajo01.shtml
12,2019-04-10,away,CIN,L,Amir Garrett,/players/g/garream01.shtml,Drew Steckenrider,/players/s/steckdr01.shtml
13,2019-04-11,away,CIN,L,Robert Stephenson,/players/s/stephro01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
14,2019-04-12,home,PHI,L,Jake Arrieta,/players/a/arrieja01.shtml,Sandy Alcantara,/players/a/alcansa01.shtml
15,2019-04-13,home,PHI,W,Caleb Smith,/players/s/smithca03.shtml,Zach Eflin,/players/e/eflinza01.shtml
16,2019-04-14,home,PHI,L,Victor Arano,/players/a/aranovi01.shtml,Wei-Yin Chen,/players/c/chenwe02.shtml
17,2019-04-15,home,CHC,L,Yu Darvish,/players/d/darviyu01.shtml,Trevor Richards,/players/r/richatr01.shtml
18,2019-04-16,home,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
19,2019-04-17,home,CHC,L,Cole Hamels,/players/h/hamelco01.shtml,Sandy Alcantara,/players/a/alcansa01.shtml
