Overall W-L%, Home W-L%, Away W-L%
.589,.630,.549

Opponent, W-L%
ARI,.833
ATL,.571
CHC,.450
CHW,.333
CIN,.684
CLE,.250
COL,.714
DET,1.000
KCR,.750
LAD,.429
MIA,.714
MIN,.833
NYM,.571
PHI,.500
PIT,.368
SDP,.667
SFG,.857
STL,.579
WSN,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,SDP,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Adam Cimber,/players/c/cimbead01.shtml
2,2018-03-30,away,SDP,W,Oliver Drake,/players/d/drakeol01.shtml,Brad Hand,/players/h/handbr01.shtml
3,2018-03-31,away,SDP,W,Brent Suter,/players/s/suterbr01.shtml,Luis Perdomo,/players/p/perdolu02.shtml
4,2018-04-02,home,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Zach Davies,/players/d/davieza02.shtml
5,2018-04-03,home,STL,W,Dan Jennings,/players/j/jennida01.shtml,Dominic Leone,/players/l/leonedo01.shtml
6,2018-04-04,home,STL,L,Carlos Martinez,/players/m/martica04.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
7,2018-04-05,home,CHC,L,Jon Lester,/players/l/lestejo01.shtml,Brent Suter,/players/s/suterbr01.shtml
8,2018-04-06,home,CHC,W,Matt Albers,/players/a/alberma01.shtml,Mike Montgomery,/players/m/montgmi01.shtml
9,2018-04-07,home,CHC,L,Pedro Strop,/players/s/stroppe01.shtml,Jacob Barnes,/players/b/barneja01.shtml
10,2018-04-08,home,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Chase Anderson,/players/a/anderch01.shtml
11,2018-04-09,away,STL,W,Matt Albers,/players/a/alberma01.shtml,Greg Holland,/players/h/hollagr01.shtml
12,2018-04-10,away,STL,L,Dominic Leone,/players/l/leonedo01.shtml,J.J. Hoover,/players/h/hoovejj01.shtml
13,2018-04-11,away,STL,W,Junior Guerra,/players/g/guerrju02.shtml,Adam Wainwright,/players/w/wainwad01.shtml
14,2018-04-13,away,NYM,L,Steven Matz,/players/m/matzst01.shtml,Zach Davies,/players/d/davieza02.shtml
15,2018-04-14,away,NYM,W,Chase Anderson,/players/a/anderch01.shtml,Matt Harvey,/players/h/harvema01.shtml
16,2018-04-15,away,NYM,L,Jeurys Familia,/players/f/familje01.shtml,Matt Albers,/players/a/alberma01.shtml
17,2018-04-16,home,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Brent Suter,/players/s/suterbr01.shtml
18,2018-04-17,home,CIN,W,Dan Jennings,/players/j/jennida01.shtml,Sal Romano,/players/r/romansa01.shtml
19,2018-04-18,home,CIN,W,Zach Davies,/players/d/davieza02.shtml,Tyler Mahle,/players/m/mahlety01.shtml
20,2018-04-19,home,MIA,W,Chase Anderson,/players/a/anderch01.shtml,Dillon Peters,/players/p/peterdi01.shtml
21,2018-04-20,home,MIA,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Trevor Richards,/players/r/richatr01.shtml
22,2018-04-21,home,MIA,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Junichi Tazawa,/players/t/tazawju01.shtml
23,2018-04-22,home,MIA,W,Junior Guerra,/players/g/guerrju02.shtml,Caleb Smith,/players/s/smithca03.shtml
24,2018-04-24,away,KCR,W,Zach Davies,/players/d/davieza02.shtml,Ian Kennedy,/players/k/kenneia01.shtml
25,2018-04-25,away,KCR,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Jason Hammel,/players/h/hammeja01.shtml
26,2018-04-26,away,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Chase Anderson,/players/a/anderch01.shtml
27,2018-04-27,away,CHC,L,Pedro Strop,/players/s/stroppe01.shtml,Dan Jennings,/players/j/jennida01.shtml
28,2018-04-28,away,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Junior Guerra,/players/g/guerrju02.shtml
29,2018-04-29,away,CHC,L,Tyler Chatwood,/players/c/chatwty01.shtml,Zach Davies,/players/d/davieza02.shtml
30,2018-04-30,away,CIN,W,Brandon Woodruff,/players/w/woodrbr01.shtml,Wandy Peralta,/players/p/peralwa01.shtml
31,2018-05-01,away,CIN,W,Chase Anderson,/players/a/anderch01.shtml,Homer Bailey,/players/b/baileho02.shtml
32,2018-05-02,away,CIN,W,Wade Miley,/players/m/mileywa01.shtml,Luis Castillo,/players/c/castilu02.shtml
33,2018-05-04,home,PIT,L,Nick Kingham,/players/k/kinghni01.shtml,Junior Guerra,/players/g/guerrju02.shtml
34,2018-05-05,home,PIT,W,Josh Hader,/players/h/haderjo01.shtml,George Kontos,/players/k/kontoge01.shtml
35,2018-05-06,home,PIT,L,Chad Kuhl,/players/k/kuhlch01.shtml,Chase Anderson,/players/a/anderch01.shtml
36,2018-05-08,home,CLE,W,Brent Suter,/players/s/suterbr01.shtml,Corey Kluber,/players/k/klubeco01.shtml
37,2018-05-09,home,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,Junior Guerra,/players/g/guerrju02.shtml
38,2018-05-10,away,COL,W,Jhoulys Chacin,/players/c/chacijh01.shtml,German Marquez,/players/m/marquge01.shtml
39,2018-05-11,away,COL,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Jake McGee,/players/m/mcgeeja01.shtml
40,2018-05-12,away,COL,L,Kyle Freeland,/players/f/freelky01.shtml,Brent Suter,/players/s/suterbr01.shtml
41,2018-05-13,away,COL,W,Freddy Peralta,/players/p/peralfr01.shtml,Jon Gray,/players/g/grayjo02.shtml
42,2018-05-14,away,ARI,W,Junior Guerra,/players/g/guerrju02.shtml,Patrick Corbin,/players/c/corbipa01.shtml
43,2018-05-15,away,ARI,L,Archie Bradley,/players/b/bradlar01.shtml,Taylor Williams,/players/w/willita01.shtml
44,2018-05-16,away,ARI,W,Brandon Woodruff,/players/w/woodrbr01.shtml,Matt Koch,/players/k/kochma01.shtml
45,2018-05-18,away,MIN,W,Brent Suter,/players/s/suterbr01.shtml,Kyle Gibson,/players/g/gibsoky01.shtml
46,2018-05-19,away,MIN,W,Josh Hader,/players/h/haderjo01.shtml,Addison Reed,/players/r/reedad01.shtml
47,2018-05-20,away,MIN,L,Addison Reed,/players/r/reedad01.shtml,Taylor Williams,/players/w/willita01.shtml
48,2018-05-21,home,ARI,W,Chase Anderson,/players/a/anderch01.shtml,Zack Greinke,/players/g/greinza01.shtml
49,2018-05-22,home,ARI,W,Matt Albers,/players/a/alberma01.shtml,Matt Koch,/players/k/kochma01.shtml
50,2018-05-23,home,ARI,W,Brent Suter,/players/s/suterbr01.shtml,Zack Godley,/players/g/godleza01.shtml
51,2018-05-24,home,NYM,L,Steven Matz,/players/m/matzst01.shtml,Zach Davies,/players/d/davieza02.shtml
52,2018-05-25,home,NYM,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Robert Gsellman,/players/g/gsellro01.shtml
53,2018-05-26,home,NYM,W,Dan Jennings,/players/j/jennida01.shtml,Jacob Rhame,/players/r/rhameja01.shtml
54,2018-05-27,home,NYM,W,Boone Logan,/players/l/loganbo02.shtml,Jerry Blevins,/players/b/blevije01.shtml
55,2018-05-28,home,STL,W,Brent Suter,/players/s/suterbr01.shtml,Luke Weaver,/players/w/weavelu01.shtml
56,2018-05-29,home,STL,L,Michael Wacha,/players/w/wachami01.shtml,Zach Davies,/players/d/davieza02.shtml
57,2018-05-30,home,STL,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Sam Tuivailala,/players/t/tuivasa01.shtml
58,2018-06-01,away,CHW,L,Luis Avilan,/players/a/avilalu01.shtml,Chase Anderson,/players/a/anderch01.shtml
59,2018-06-02,away,CHW,W,Jhoulys Chacin,/players/c/chacijh01.shtml,James Shields,/players/s/shielja02.shtml
60,2018-06-03,away,CHW,L,Chris Volstad,/players/v/volstch01.shtml,Brent Suter,/players/s/suterbr01.shtml
61,2018-06-05,away,CLE,L,Corey Kluber,/players/k/klubeco01.shtml,Junior Guerra,/players/g/guerrju02.shtml
62,2018-06-06,away,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,Chase Anderson,/players/a/anderch01.shtml
63,2018-06-08,away,PHI,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
64,2018-06-09,away,PHI,W,Brent Suter,/players/s/suterbr01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
65,2018-06-10,away,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Dan Jennings,/players/j/jennida01.shtml
66,2018-06-11,home,CHC,L,Randy Rosario,/players/r/rosarra01.shtml,Matt Albers,/players/a/alberma01.shtml
67,2018-06-12,home,CHC,W,Chase Anderson,/players/a/anderch01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
68,2018-06-13,home,CHC,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Mike Montgomery,/players/m/montgmi01.shtml
69,2018-06-15,home,PHI,W,Brent Suter,/players/s/suterbr01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
70,2018-06-16,home,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Junior Guerra,/players/g/guerrju02.shtml
71,2018-06-17,home,PHI,L,Tommy Hunter,/players/h/hunteto02.shtml,Chase Anderson,/players/a/anderch01.shtml
72,2018-06-18,away,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
73,2018-06-19,away,PIT,W,Freddy Peralta,/players/p/peralfr01.shtml,Jameson Taillon,/players/t/taillja01.shtml
74,2018-06-21,home,STL,W,Brent Suter,/players/s/suterbr01.shtml,Carlos Martinez,/players/m/martica04.shtml
75,2018-06-22,home,STL,W,Corey Knebel,/players/k/knebeco01.shtml,Bud Norris,/players/n/norribu01.shtml
76,2018-06-23,home,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Jeremy Jeffress,/players/j/jeffrje01.shtml
77,2018-06-24,home,STL,L,Luke Weaver,/players/w/weavelu01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
78,2018-06-26,home,KCR,W,Freddy Peralta,/players/p/peralfr01.shtml,Jakob Junis,/players/j/junisja01.shtml
79,2018-06-27,home,KCR,L,Danny Duffy,/players/d/duffyda01.shtml,Brent Suter,/players/s/suterbr01.shtml
80,2018-06-28,away,CIN,W,Junior Guerra,/players/g/guerrju02.shtml,Amir Garrett,/players/g/garream01.shtml
81,2018-06-29,away,CIN,W,Chase Anderson,/players/a/anderch01.shtml,Sal Romano,/players/r/romansa01.shtml
82,2018-06-30,away,CIN,L,David Hernandez,/players/h/hernada01.shtml,Mike Zagurski,/players/z/zagurmi01.shtml
83,2018-07-01,away,CIN,L,Matt Harvey,/players/h/harvema01.shtml,Freddy Peralta,/players/p/peralfr01.shtml
84,2018-07-02,home,MIN,W,Corey Knebel,/players/k/knebeco01.shtml,Zack Littell,/players/l/litteza01.shtml
85,2018-07-03,home,MIN,W,Junior Guerra,/players/g/guerrju02.shtml,Jake Odorizzi,/players/o/odorija01.shtml
86,2018-07-04,home,MIN,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Jose Berrios,/players/b/berrijo01.shtml
87,2018-07-05,home,ATL,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Max Fried,/players/f/friedma01.shtml
88,2018-07-06,home,ATL,W,Freddy Peralta,/players/p/peralfr01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
89,2018-07-07,home,ATL,L,Anibal Sanchez,/players/s/sanchan01.shtml,Aaron Wilkerson,/players/w/wilkeaa01.shtml
90,2018-07-08,home,ATL,W,Junior Guerra,/players/g/guerrju02.shtml,Sean Newcomb,/players/n/newcose01.shtml
91,2018-07-09,away,MIA,L,Brad Ziegler,/players/z/zieglbr01.shtml,Corey Knebel,/players/k/knebeco01.shtml
92,2018-07-10,away,MIA,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
93,2018-07-11,away,MIA,L,Elieser Hernandez,/players/h/hernael01.shtml,Jorge Lopez,/players/l/lopezjo02.shtml
94,2018-07-12,away,PIT,L,Jameson Taillon,/players/t/taillja01.shtml,Wade Miley,/players/m/mileywa01.shtml
95,2018-07-13,away,PIT,L,Nick Kingham,/players/k/kinghni01.shtml,Junior Guerra,/players/g/guerrju02.shtml
96,2018-07-14,away,PIT,L,Richard Rodriguez,/players/r/rodriri05.shtml,Chase Anderson,/players/a/anderch01.shtml
97,2018-07-14,away,PIT,L,Clay Holmes,/players/h/holmecl01.shtml,Brent Suter,/players/s/suterbr01.shtml
98,2018-07-15,away,PIT,L,Tanner Anderson,/players/a/anderta01.shtml,Dan Jennings,/players/j/jennida01.shtml
99,2018-07-20,home,LAD,L,Rich Hill,/players/h/hillri01.shtml,Taylor Williams,/players/w/willita01.shtml
100,2018-07-21,home,LAD,W,Corbin Burnes,/players/b/burneco01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
101,2018-07-22,home,LAD,L,Alex Wood,/players/w/woodal02.shtml,Brent Suter,/players/s/suterbr01.shtml
102,2018-07-23,home,WSN,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Gio Gonzalez,/players/g/gonzagi01.shtml
103,2018-07-24,home,WSN,W,Dan Jennings,/players/j/jennida01.shtml,Matt Grace,/players/g/gracema02.shtml
104,2018-07-25,home,WSN,L,Tanner Roark,/players/r/roarkta01.shtml,Freddy Peralta,/players/p/peralfr01.shtml
105,2018-07-26,away,SFG,W,Josh Hader,/players/h/haderjo01.shtml,Mark Melancon,/players/m/melanma01.shtml
106,2018-07-27,away,SFG,W,Chase Anderson,/players/a/anderch01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
107,2018-07-28,away,SFG,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Johnny Cueto,/players/c/cuetojo01.shtml
108,2018-07-29,away,SFG,L,Andrew Suarez,/players/s/suarean01.shtml,Junior Guerra,/players/g/guerrju02.shtml
109,2018-07-30,away,LAD,W,Josh Hader,/players/h/haderjo01.shtml,Kenta Maeda,/players/m/maedake01.shtml
110,2018-07-31,away,LAD,W,Wade Miley,/players/m/mileywa01.shtml,Walker Buehler,/players/b/buehlwa01.shtml
111,2018-08-01,away,LAD,L,Dylan Floro,/players/f/florody01.shtml,Matt Albers,/players/a/alberma01.shtml
112,2018-08-02,away,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
113,2018-08-03,home,COL,W,Corbin Burnes,/players/b/burneco01.shtml,Wade Davis,/players/d/daviswa01.shtml
114,2018-08-04,home,COL,W,Freddy Peralta,/players/p/peralfr01.shtml,Tyler Anderson,/players/a/anderty01.shtml
115,2018-08-05,home,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Corey Knebel,/players/k/knebeco01.shtml
116,2018-08-07,home,SDP,L,Matt Strahm,/players/s/strahma01.shtml,Josh Hader,/players/h/haderjo01.shtml
117,2018-08-08,home,SDP,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Brett Kennedy,/players/k/kennebr02.shtml
118,2018-08-09,home,SDP,L,Kirby Yates,/players/y/yateski01.shtml,Corey Knebel,/players/k/knebeco01.shtml
119,2018-08-10,away,ATL,L,Kevin Gausman,/players/g/gausmke01.shtml,Freddy Peralta,/players/p/peralfr01.shtml
120,2018-08-11,away,ATL,W,Corbin Burnes,/players/b/burneco01.shtml,Jesse Biddle,/players/b/biddlje01.shtml
121,2018-08-12,away,ATL,L,Jonny Venters,/players/v/ventejo01.shtml,Dan Jennings,/players/j/jennida01.shtml
122,2018-08-14,away,CHC,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Jose Quintana,/players/q/quintjo01.shtml
123,2018-08-15,away,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Junior Guerra,/players/g/guerrju02.shtml
124,2018-08-17,away,STL,L,Jack Flaherty,/players/f/flaheja01.shtml,Freddy Peralta,/players/p/peralfr01.shtml
125,2018-08-18,away,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Wade Miley,/players/m/mileywa01.shtml
126,2018-08-19,away,STL,W,Jhoulys Chacin,/players/c/chacijh01.shtml,John Gant,/players/g/gantjo01.shtml
127,2018-08-20,home,CIN,W,Chase Anderson,/players/a/anderch01.shtml,Homer Bailey,/players/b/baileho02.shtml
128,2018-08-21,home,CIN,L,Raisel Iglesias,/players/i/iglesra01.shtml,Dan Jennings,/players/j/jennida01.shtml
129,2018-08-22,home,CIN,W,Freddy Peralta,/players/p/peralfr01.shtml,Robert Stephenson,/players/s/stephro01.shtml
130,2018-08-24,home,PIT,W,Jordan Lyles,/players/l/lylesjo01.shtml,Clay Holmes,/players/h/holmecl01.shtml
131,2018-08-25,home,PIT,L,Jameson Taillon,/players/t/taillja01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
132,2018-08-26,home,PIT,W,Chase Anderson,/players/a/anderch01.shtml,Chris Archer,/players/a/archech01.shtml
133,2018-08-28,away,CIN,L,Anthony DeSclafani,/players/d/desclan01.shtml,Junior Guerra,/players/g/guerrju02.shtml
134,2018-08-29,away,CIN,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
135,2018-08-30,away,CIN,W,Joakim Soria,/players/s/soriajo01.shtml,Austin Brice,/players/b/briceau01.shtml
136,2018-08-31,away,WSN,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Tanner Roark,/players/r/roarkta01.shtml
137,2018-09-01,away,WSN,L,Greg Holland,/players/h/hollagr01.shtml,Joakim Soria,/players/s/soriajo01.shtml
138,2018-09-02,away,WSN,W,Brandon Woodruff,/players/w/woodrbr01.shtml,Jefry Rodriguez,/players/r/rodrije01.shtml
139,2018-09-03,home,CHC,W,Jeremy Jeffress,/players/j/jeffrje01.shtml,Steve Cishek,/players/c/cishest01.shtml
140,2018-09-04,home,CHC,W,Wade Miley,/players/m/mileywa01.shtml,Mike Montgomery,/players/m/montgmi01.shtml
141,2018-09-05,home,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
142,2018-09-07,home,SFG,W,Josh Hader,/players/h/haderjo01.shtml,Hunter Strickland,/players/s/strichu01.shtml
143,2018-09-08,home,SFG,W,Gio Gonzalez,/players/g/gonzagi01.shtml,Chris Stratton,/players/s/stratch01.shtml
144,2018-09-09,home,SFG,W,Corbin Burnes,/players/b/burneco01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
145,2018-09-10,away,CHC,W,Wade Miley,/players/m/mileywa01.shtml,Jon Lester,/players/l/lestejo01.shtml
146,2018-09-11,away,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
147,2018-09-12,away,CHC,W,Josh Hader,/players/h/haderjo01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
148,2018-09-14,home,PIT,W,Corbin Burnes,/players/b/burneco01.shtml,Chris Archer,/players/a/archech01.shtml
149,2018-09-15,home,PIT,L,Ivan Nova,/players/n/novaiv01.shtml,Zach Davies,/players/d/davieza02.shtml
150,2018-09-16,home,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
151,2018-09-17,home,CIN,W,Wade Miley,/players/m/mileywa01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
152,2018-09-18,home,CIN,L,Sal Romano,/players/r/romansa01.shtml,Chase Anderson,/players/a/anderch01.shtml
153,2018-09-19,home,CIN,W,Gio Gonzalez,/players/g/gonzagi01.shtml,Matt Harvey,/players/h/harvema01.shtml
154,2018-09-21,away,PIT,W,Corbin Burnes,/players/b/burneco01.shtml,Edgar Santana,/players/s/santaed01.shtml
155,2018-09-22,away,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Zach Davies,/players/d/davieza02.shtml
156,2018-09-23,away,PIT,W,Corey Knebel,/players/k/knebeco01.shtml,Nick Kingham,/players/k/kinghni01.shtml
157,2018-09-24,away,STL,W,Corbin Burnes,/players/b/burneco01.shtml,Bud Norris,/players/n/norribu01.shtml
158,2018-09-25,away,STL,W,Taylor Williams,/players/w/willita01.shtml,Austin Gomber,/players/g/gombeau01.shtml
159,2018-09-26,away,STL,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Chasen Shreve,/players/s/shrevch01.shtml
160,2018-09-28,home,DET,W,Joakim Soria,/players/s/soriajo01.shtml,Victor Alcantara,/players/a/alcanvi01.shtml
161,2018-09-29,home,DET,W,Joakim Soria,/players/s/soriajo01.shtml,Daniel Stumpf,/players/s/stumpda01.shtml
162,2018-09-30,home,DET,W,Gio Gonzalez,/players/g/gonzagi01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
163,2018-10-01,away,CHC,W,Corey Knebel,/players/k/knebeco01.shtml,Justin Wilson,/players/w/wilsoju10.shtml
