Overall W-L%, Home W-L%, Away W-L%
.549,.605,.494

Opponent, W-L%
ARI,.714
ATL,.500
CHC,.526
CIN,.579
COL,.286
HOU,.500
LAA,.000
LAD,.429
MIA,.714
MIN,.500
NYM,.833
OAK,.333
PHI,.571
PIT,.789
SDP,.429
SEA,.333
SFG,.333
STL,.474
TEX,.667
WSN,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,STL,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
2,2019-03-29,home,STL,L,John Gant,/players/g/gantjo01.shtml,Taylor Williams,/players/w/willita01.shtml
3,2019-03-30,home,STL,W,Brandon Woodruff,/players/w/woodrbr01.shtml,Dakota Hudson,/players/h/hudsoda02.shtml
4,2019-03-31,home,STL,W,Jacob Barnes,/players/b/barneja01.shtml,Jordan Hicks,/players/h/hicksjo03.shtml
5,2019-04-01,away,CIN,W,Alex Wilson,/players/w/wilsoal01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
6,2019-04-02,away,CIN,W,Jhoulys Chacin,/players/c/chacijh01.shtml,Zach Duke,/players/d/dukeza01.shtml
7,2019-04-03,away,CIN,W,Freddy Peralta,/players/p/peralfr01.shtml,Luis Castillo,/players/c/castilu02.shtml
8,2019-04-05,home,CHC,W,Chase Anderson,/players/a/anderch01.shtml,Jose Quintana,/players/q/quintjo01.shtml
9,2019-04-06,home,CHC,L,Cole Hamels,/players/h/hamelco01.shtml,Corbin Burnes,/players/b/burneco01.shtml
10,2019-04-07,home,CHC,W,Zach Davies,/players/d/davieza02.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
11,2019-04-08,away,LAA,L,Trevor Cahill,/players/c/cahiltr01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
12,2019-04-09,away,LAA,L,Cam Bedrosian,/players/b/bedroca01.shtml,Alex Claudio,/players/c/claudal01.shtml
13,2019-04-10,away,LAA,L,Jaime Barria,/players/b/barrija01.shtml,Brandon Woodruff,/players/w/woodrbr01.shtml
14,2019-04-12,away,LAD,W,Matt Albers,/players/a/alberma01.shtml,Julio Urias,/players/u/uriasju01.shtml
15,2019-04-13,away,LAD,W,Zach Davies,/players/d/davieza02.shtml,Caleb Ferguson,/players/f/ferguca01.shtml
16,2019-04-14,away,LAD,L,Ross Stripling,/players/s/stripro01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
17,2019-04-15,home,STL,W,Junior Guerra,/players/g/guerrju02.shtml,Mike Mayers,/players/m/mayermi01.shtml
18,2019-04-16,home,STL,W,Brandon Woodruff,/players/w/woodrbr01.shtml,Jack Flaherty,/players/f/flaheja01.shtml
19,2019-04-17,home,STL,L,Michael Wacha,/players/w/wachami01.shtml,Corbin Burnes,/players/b/burneco01.shtml
