Overall W-L%, Home W-L%, Away W-L%
.481,.605,.358

Opponent, W-L%
BAL,.857
BOS,.429
CHC,.000
CHW,.632
CIN,.333
CLE,.474
DET,.632
HOU,.333
KCR,.474
LAA,.429
MIL,.167
NYY,.286
OAK,.286
PIT,.750
SEA,.167
STL,.750
TBR,.429
TEX,.333
TOR,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,BAL,L,Richard Bleier,/players/b/bleieri01.shtml,Fernando Rodney,/players/r/rodnefe01.shtml
2,2018-03-31,away,BAL,W,Kyle Gibson,/players/g/gibsoky01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
3,2018-04-01,away,BAL,W,Jose Berrios,/players/b/berrijo01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
4,2018-04-02,away,PIT,L,Jameson Taillon,/players/t/taillja01.shtml,Lance Lynn,/players/l/lynnla01.shtml
5,2018-04-04,away,PIT,W,Taylor Rogers,/players/r/rogerta01.shtml,Ivan Nova,/players/n/novaiv01.shtml
6,2018-04-05,home,SEA,W,Zach Duke,/players/d/dukeza01.shtml,Dan Altavilla,/players/a/altavda01.shtml
7,2018-04-07,home,SEA,L,Mike Leake,/players/l/leakemi01.shtml,Jose Berrios,/players/b/berrijo01.shtml
8,2018-04-09,home,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Taylor Rogers,/players/r/rogerta01.shtml
9,2018-04-10,home,HOU,W,Jake Odorizzi,/players/o/odorija01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
10,2018-04-11,home,HOU,W,Fernando Rodney,/players/r/rodnefe01.shtml,Brad Peacock,/players/p/peacobr01.shtml
11,2018-04-12,home,CHW,W,Jose Berrios,/players/b/berrijo01.shtml,Lucas Giolito,/players/g/giolilu01.shtml
12,2018-04-17,home,CLE,L,Corey Kluber,/players/k/klubeco01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
13,2018-04-18,home,CLE,W,Alan Busenitz,/players/b/busenal01.shtml,Josh Tomlin,/players/t/tomlijo01.shtml
14,2018-04-20,away,TBR,L,Alex Colome,/players/c/colomal01.shtml,Zach Duke,/players/d/dukeza01.shtml
15,2018-04-21,away,TBR,L,Blake Snell,/players/s/snellbl01.shtml,Kyle Gibson,/players/g/gibsoky01.shtml
16,2018-04-22,away,TBR,L,Alex Colome,/players/c/colomal01.shtml,Addison Reed,/players/r/reedad01.shtml
17,2018-04-23,away,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
18,2018-04-24,away,NYY,L,CC Sabathia,/players/s/sabatc.01.shtml,Jose Berrios,/players/b/berrijo01.shtml
19,2018-04-25,away,NYY,L,Chad Green,/players/g/greench03.shtml,Lance Lynn,/players/l/lynnla01.shtml
20,2018-04-26,away,NYY,L,Dellin Betances,/players/b/betande01.shtml,Fernando Rodney,/players/r/rodnefe01.shtml
21,2018-04-27,home,CIN,L,David Hernandez,/players/h/hernada01.shtml,Tyler Duffey,/players/d/duffety01.shtml
22,2018-04-28,home,CIN,W,Jake Odorizzi,/players/o/odorija01.shtml,Sal Romano,/players/r/romansa01.shtml
23,2018-04-29,home,CIN,L,Tyler Mahle,/players/m/mahlety01.shtml,Jose Berrios,/players/b/berrijo01.shtml
24,2018-04-30,home,TOR,L,Aaron Sanchez,/players/s/sanchaa01.shtml,Lance Lynn,/players/l/lynnla01.shtml
25,2018-05-01,home,TOR,L,Tyler Clippard,/players/c/clippty01.shtml,John Curtiss,/players/c/curtijo02.shtml
26,2018-05-02,home,TOR,W,Fernando Romero,/players/r/romerfe01.shtml,Marcus Stroman,/players/s/stromma01.shtml
