Overall W-L%, Home W-L%, Away W-L%
.623,.568,.679

Opponent, W-L%
ATL,.333
BAL,1.000
BOS,.500
CHW,.684
CLE,.474
DET,.737
HOU,.571
KCR,.737
LAA,.833
MIA,.667
MIL,.500
NYM,.250
NYY,.333
OAK,.429
PHI,.333
SEA,.714
TBR,.714
TEX,.857
TOR,.571
WSN,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,CLE,W,Jose Berrios,/players/b/berrijo01.shtml,Corey Kluber,/players/k/klubeco01.shtml
2,2019-03-30,home,CLE,L,Jon Edwards,/players/e/edwarjo02.shtml,Blake Parker,/players/p/parkebl01.shtml
3,2019-03-31,home,CLE,W,Martin Perez,/players/p/perezma02.shtml,Carlos Carrasco,/players/c/carraca01.shtml
4,2019-04-02,away,KCR,W,Trevor Hildenberger,/players/h/hildetr01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
5,2019-04-03,away,KCR,W,Trevor May,/players/m/maytr01.shtml,Wily Peralta,/players/p/peralwi01.shtml
6,2019-04-05,away,PHI,L,Nick Pivetta,/players/p/pivetni01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
7,2019-04-06,away,PHI,W,Michael Pineda,/players/p/pinedmi01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
8,2019-04-07,away,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Jose Berrios,/players/b/berrijo01.shtml
9,2019-04-09,away,NYM,W,Trevor Hildenberger,/players/h/hildetr01.shtml,Jacob deGrom,/players/d/degroja01.shtml
10,2019-04-10,away,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
11,2019-04-13,home,DET,W,Michael Pineda,/players/p/pinedmi01.shtml,Tyson Ross,/players/r/rossty01.shtml
12,2019-04-14,home,DET,W,Jose Berrios,/players/b/berrijo01.shtml,Jordan Zimmermann,/players/z/zimmejo02.shtml
13,2019-04-15,home,TOR,L,Sam Gaviglio,/players/g/gavigsa01.shtml,Adalberto Mejia,/players/m/mejiaad01.shtml
14,2019-04-16,home,TOR,L,Aaron Sanchez,/players/s/sanchaa01.shtml,Trevor May,/players/m/maytr01.shtml
15,2019-04-17,home,TOR,W,Jake Odorizzi,/players/o/odorija01.shtml,Trent Thornton,/players/t/thorntr01.shtml
16,2019-04-18,home,TOR,L,Joe Biagini,/players/b/biagijo01.shtml,Michael Pineda,/players/p/pinedmi01.shtml
17,2019-04-20,away,BAL,W,Jose Berrios,/players/b/berrijo01.shtml,Jimmy Yacabonis,/players/y/yacabji01.shtml
18,2019-04-20,away,BAL,W,Martin Perez,/players/p/perezma02.shtml,Alex Cobb,/players/c/cobbal01.shtml
19,2019-04-21,away,BAL,W,Kyle Gibson,/players/g/gibsoky01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
20,2019-04-22,away,HOU,W,Jake Odorizzi,/players/o/odorija01.shtml,Brad Peacock,/players/p/peacobr01.shtml
21,2019-04-23,away,HOU,L,Hector Rondon,/players/r/rondohe01.shtml,Trevor Hildenberger,/players/h/hildetr01.shtml
22,2019-04-24,away,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Kohl Stewart,/players/s/stewako01.shtml
23,2019-04-26,home,BAL,W,Martin Perez,/players/p/perezma02.shtml,Alex Cobb,/players/c/cobbal01.shtml
24,2019-04-27,home,BAL,W,Jose Berrios,/players/b/berrijo01.shtml,Paul Fry,/players/f/frypa01.shtml
25,2019-04-28,home,BAL,W,Kyle Gibson,/players/g/gibsoky01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
26,2019-04-29,home,HOU,W,Jake Odorizzi,/players/o/odorija01.shtml,Justin Verlander,/players/v/verlaju01.shtml
27,2019-04-30,home,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Michael Pineda,/players/p/pinedmi01.shtml
28,2019-05-01,home,HOU,W,Martin Perez,/players/p/perezma02.shtml,Collin McHugh,/players/m/mchugco01.shtml
29,2019-05-02,home,HOU,W,Jose Berrios,/players/b/berrijo01.shtml,Brad Peacock,/players/p/peacobr01.shtml
30,2019-05-03,away,NYY,L,Jonathan Holder,/players/h/holdejo02.shtml,Kyle Gibson,/players/g/gibsoky01.shtml
31,2019-05-04,away,NYY,W,Jake Odorizzi,/players/o/odorija01.shtml,J.A. Happ,/players/h/happja01.shtml
32,2019-05-05,away,NYY,L,Domingo German,/players/g/germado01.shtml,Michael Pineda,/players/p/pinedmi01.shtml
