Overall W-L%, Home W-L%, Away W-L%
.475,.457,.494

Opponent, W-L%
ARI,.714
ATL,.316
BAL,.250
BOS,.333
CHC,.143
CIN,.500
COL,.143
LAD,.333
MIA,.632
MIL,.429
NYY,.500
PHI,.579
PIT,.429
SDP,.667
SFG,.571
STL,.500
TBR,.333
TOR,.500
WSN,.579

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,STL,W,Noah Syndergaard,/players/s/syndeno01.shtml,Carlos Martinez,/players/m/martica04.shtml
2,2018-03-31,home,STL,W,Jacob deGrom,/players/d/degroja01.shtml,Michael Wacha,/players/w/wachami01.shtml
3,2018-04-01,home,STL,L,Luke Weaver,/players/w/weavelu01.shtml,Steven Matz,/players/m/matzst01.shtml
4,2018-04-03,home,PHI,W,Jerry Blevins,/players/b/blevije01.shtml,Ben Lively,/players/l/livelbe01.shtml
5,2018-04-04,home,PHI,W,Robert Gsellman,/players/g/gsellro01.shtml,Drew Hutchison,/players/h/hutchdr01.shtml
6,2018-04-05,away,WSN,W,Jacob deGrom,/players/d/degroja01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
7,2018-04-07,away,WSN,W,Hansel Robles,/players/r/robleha01.shtml,Brandon Kintzler,/players/k/kintzbr01.shtml
8,2018-04-08,away,WSN,W,Seth Lugo,/players/l/lugose01.shtml,Brandon Kintzler,/players/k/kintzbr01.shtml
9,2018-04-09,away,MIA,W,Noah Syndergaard,/players/s/syndeno01.shtml,Jose Urena,/players/u/urenajo01.shtml
10,2018-04-10,away,MIA,W,Hansel Robles,/players/r/robleha01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
11,2018-04-11,away,MIA,W,Zack Wheeler,/players/w/wheelza01.shtml,Chris O'Grady,/players/o/ogradch01.shtml
12,2018-04-13,home,MIL,W,Steven Matz,/players/m/matzst01.shtml,Zach Davies,/players/d/davieza02.shtml
13,2018-04-14,home,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Matt Harvey,/players/h/harvema01.shtml
14,2018-04-15,home,MIL,W,Jeurys Familia,/players/f/familje01.shtml,Matt Albers,/players/a/alberma01.shtml
15,2018-04-16,home,WSN,L,A.J. Cole,/players/c/coleaj01.shtml,AJ Ramos,/players/r/ramosaj01.shtml
16,2018-04-17,home,WSN,L,Gio Gonzalez,/players/g/gonzagi01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
17,2018-04-18,home,WSN,W,AJ Ramos,/players/r/ramosaj01.shtml,Ryan Madson,/players/m/madsory01.shtml
18,2018-04-19,away,ATL,L,Matt Wisler,/players/w/wislema01.shtml,Matt Harvey,/players/h/harvema01.shtml
19,2018-04-20,away,ATL,W,Robert Gsellman,/players/g/gsellro01.shtml,Josh Ravin,/players/r/ravinjo01.shtml
20,2018-04-21,away,ATL,L,Jesse Biddle,/players/b/biddlje01.shtml,Jeurys Familia,/players/f/familje01.shtml
21,2018-04-24,away,STL,W,Robert Gsellman,/players/g/gsellro01.shtml,Matt Bowman,/players/b/bowmama01.shtml
22,2018-04-25,away,STL,L,Michael Wacha,/players/w/wachami01.shtml,Steven Matz,/players/m/matzst01.shtml
23,2018-04-26,away,STL,L,John Gant,/players/g/gantjo01.shtml,Paul Sewald,/players/s/sewalpa01.shtml
24,2018-04-27,away,SDP,W,Jacob deGrom,/players/d/degroja01.shtml,Clayton Richard,/players/r/richacl01.shtml
25,2018-04-28,away,SDP,L,Joey Lucchesi,/players/l/lucchjo01.shtml,Jason Vargas,/players/v/vargaja01.shtml
26,2018-04-29,away,SDP,W,Zack Wheeler,/players/w/wheelza01.shtml,Bryan Mitchell,/players/m/mitchbr01.shtml
27,2018-05-01,home,ATL,L,Mike Soroka,/players/s/sorokmi01.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
28,2018-05-02,home,ATL,L,Sean Newcomb,/players/n/newcose01.shtml,Paul Sewald,/players/s/sewalpa01.shtml
29,2018-05-03,home,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Jason Vargas,/players/v/vargaja01.shtml
30,2018-05-04,home,COL,L,German Marquez,/players/m/marquge01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
31,2018-05-05,home,COL,L,Chad Bettis,/players/b/bettich01.shtml,Steven Matz,/players/m/matzst01.shtml
32,2018-05-06,home,COL,L,Kyle Freeland,/players/f/freelky01.shtml,Hansel Robles,/players/r/robleha01.shtml
33,2018-05-07,away,CIN,W,Robert Gsellman,/players/g/gsellro01.shtml,Homer Bailey,/players/b/baileho02.shtml
34,2018-05-08,away,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Jason Vargas,/players/v/vargaja01.shtml
35,2018-05-09,away,CIN,L,Raisel Iglesias,/players/i/iglesra01.shtml,AJ Ramos,/players/r/ramosaj01.shtml
36,2018-05-11,away,PHI,W,AJ Ramos,/players/r/ramosaj01.shtml,Hector Neris,/players/n/nerishe01.shtml
37,2018-05-13,away,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Paul Sewald,/players/s/sewalpa01.shtml
38,2018-05-15,home,TOR,W,Noah Syndergaard,/players/s/syndeno01.shtml,Jaime Garcia,/players/g/garcija02.shtml
39,2018-05-16,home,TOR,L,J.A. Happ,/players/h/happja01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
40,2018-05-18,home,ARI,W,Jacob deGrom,/players/d/degroja01.shtml,Zack Godley,/players/g/godleza01.shtml
41,2018-05-19,home,ARI,W,Jeurys Familia,/players/f/familje01.shtml,Andrew Chafin,/players/c/chafian01.shtml
42,2018-05-20,home,ARI,W,Noah Syndergaard,/players/s/syndeno01.shtml,Jorge De La Rosa,/players/r/rosajo01.shtml
43,2018-05-21,home,MIA,W,Jason Vargas,/players/v/vargaja01.shtml,Elieser Hernandez,/players/h/hernael01.shtml
44,2018-05-22,home,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Zack Wheeler,/players/w/wheelza01.shtml
