Overall W-L%, Home W-L%, Away W-L%
.531,.593,.469

Opponent, W-L%
ARI,.714
ATL,.421
CHC,.286
CHW,1.000
CIN,.571
CLE,1.000
COL,.667
DET,.667
KCR,.667
LAD,.286
MIA,.684
MIL,.167
MIN,.750
NYY,.500
PHI,.368
PIT,.833
SDP,.500
SFG,.429
STL,.286
WSN,.632

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,WSN,W,Jacob deGrom,/players/d/degroja01.shtml,Max Scherzer,/players/s/scherma01.shtml
2,2019-03-30,away,WSN,W,Justin Wilson,/players/w/wilsoju10.shtml,Trevor Rosenthal,/players/r/rosentr01.shtml
3,2019-03-31,away,WSN,L,Sean Doolittle,/players/d/doolise01.shtml,Justin Wilson,/players/w/wilsoju10.shtml
4,2019-04-01,away,MIA,W,Jeurys Familia,/players/f/familje01.shtml,Drew Steckenrider,/players/s/steckdr01.shtml
5,2019-04-02,away,MIA,W,Jason Vargas,/players/v/vargaja01.shtml,Jose Urena,/players/u/urenajo01.shtml
6,2019-04-03,away,MIA,W,Jacob deGrom,/players/d/degroja01.shtml,Trevor Richards,/players/r/richatr01.shtml
7,2019-04-04,home,WSN,L,Stephen Strasburg,/players/s/strasst01.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
8,2019-04-06,home,WSN,W,Jeurys Familia,/players/f/familje01.shtml,Tony Sipp,/players/s/sippto01.shtml
9,2019-04-07,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
10,2019-04-09,home,MIN,L,Trevor Hildenberger,/players/h/hildetr01.shtml,Jacob deGrom,/players/d/degroja01.shtml
11,2019-04-10,home,MIN,W,Noah Syndergaard,/players/s/syndeno01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
12,2019-04-11,away,ATL,W,Steven Matz,/players/m/matzst01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
13,2019-04-12,away,ATL,W,Zack Wheeler,/players/w/wheelza01.shtml,Kyle Wright,/players/w/wrighky01.shtml
14,2019-04-13,away,ATL,L,Touki Toussaint,/players/t/toussto01.shtml,Corey Oswalt,/players/o/oswalco01.shtml
15,2019-04-14,away,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Jacob deGrom,/players/d/degroja01.shtml
16,2019-04-15,away,PHI,W,Luis Avilan,/players/a/avilalu01.shtml,Pat Neshek,/players/n/neshepa01.shtml
17,2019-04-16,away,PHI,L,Nick Pivetta,/players/p/pivetni01.shtml,Steven Matz,/players/m/matzst01.shtml
18,2019-04-17,away,PHI,L,Jake Arrieta,/players/a/arrieja01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
19,2019-04-19,away,STL,W,Seth Lugo,/players/l/lugose01.shtml,Adam Wainwright,/players/w/wainwad01.shtml
20,2019-04-20,away,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Chris Flexen,/players/f/flexech01.shtml
21,2019-04-21,away,STL,L,Dakota Hudson,/players/h/hudsoda02.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
22,2019-04-22,home,PHI,W,Steven Matz,/players/m/matzst01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
23,2019-04-23,home,PHI,W,Zack Wheeler,/players/w/wheelza01.shtml,Zach Eflin,/players/e/eflinza01.shtml
24,2019-04-24,home,PHI,L,Vince Velasquez,/players/v/velasvi01.shtml,Jason Vargas,/players/v/vargaja01.shtml
25,2019-04-26,home,MIL,L,Matt Albers,/players/a/alberma01.shtml,Jacob deGrom,/players/d/degroja01.shtml
26,2019-04-27,home,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
27,2019-04-28,home,MIL,W,Steven Matz,/players/m/matzst01.shtml,Jacob Barnes,/players/b/barneja01.shtml
28,2019-04-29,home,CIN,L,Raisel Iglesias,/players/i/iglesra01.shtml,Edwin Diaz,/players/d/diazed04.shtml
29,2019-04-30,home,CIN,W,Drew Gagnon,/players/g/gagnodr01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
30,2019-05-01,home,CIN,L,Zach Duke,/players/d/dukeza01.shtml,Edwin Diaz,/players/d/diazed04.shtml
31,2019-05-02,home,CIN,W,Noah Syndergaard,/players/s/syndeno01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
32,2019-05-03,away,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Steven Matz,/players/m/matzst01.shtml
33,2019-05-04,away,MIL,L,Taylor Williams,/players/w/willita01.shtml,Chris Flexen,/players/f/flexech01.shtml
34,2019-05-05,away,MIL,L,Zach Davies,/players/d/davieza02.shtml,Jason Vargas,/players/v/vargaja01.shtml
35,2019-05-06,away,SDP,L,Chris Paddack,/players/p/paddach01.shtml,Jacob deGrom,/players/d/degroja01.shtml
36,2019-05-07,away,SDP,W,Seth Lugo,/players/l/lugose01.shtml,Adam Warren,/players/w/warread01.shtml
37,2019-05-08,away,SDP,L,Gerardo Reyes,/players/r/reyesge01.shtml,Tyler Bashlor,/players/b/bashlty01.shtml
38,2019-05-10,home,MIA,W,Zack Wheeler,/players/w/wheelza01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
39,2019-05-11,home,MIA,W,Jacob deGrom,/players/d/degroja01.shtml,Sandy Alcantara,/players/a/alcansa01.shtml
40,2019-05-14,away,WSN,W,Noah Syndergaard,/players/s/syndeno01.shtml,Jeremy Hellickson,/players/h/hellije01.shtml
41,2019-05-15,away,WSN,L,Patrick Corbin,/players/c/corbipa01.shtml,Wilmer Font,/players/f/fontwi01.shtml
42,2019-05-16,away,WSN,L,Dan Jennings,/players/j/jennida01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
43,2019-05-17,away,MIA,L,Trevor Richards,/players/r/richatr01.shtml,Jacob deGrom,/players/d/degroja01.shtml
44,2019-05-18,away,MIA,L,Pablo Lopez,/players/l/lopezpa01.shtml,Steven Matz,/players/m/matzst01.shtml
45,2019-05-19,away,MIA,L,Sandy Alcantara,/players/a/alcansa01.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
46,2019-05-20,home,WSN,W,Drew Gagnon,/players/g/gagnodr01.shtml,Patrick Corbin,/players/c/corbipa01.shtml
47,2019-05-21,home,WSN,W,Edwin Diaz,/players/d/diazed04.shtml,Tanner Rainey,/players/r/raineta01.shtml
48,2019-05-22,home,WSN,W,Drew Gagnon,/players/g/gagnodr01.shtml,Kyle Barraclough,/players/b/barraky01.shtml
49,2019-05-23,home,WSN,W,Robert Gsellman,/players/g/gsellro01.shtml,Wander Suero,/players/s/suerowa01.shtml
50,2019-05-24,home,DET,L,Buck Farmer,/players/f/farmebu01.shtml,Drew Gagnon,/players/g/gagnodr01.shtml
51,2019-05-25,home,DET,W,Hector Santiago,/players/s/santihe01.shtml,Buck Farmer,/players/f/farmebu01.shtml
52,2019-05-26,home,DET,W,Zack Wheeler,/players/w/wheelza01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
53,2019-05-27,away,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Tyler Bashlor,/players/b/bashlty01.shtml
54,2019-05-28,away,LAD,W,Steven Matz,/players/m/matzst01.shtml,Yimi Garcia,/players/g/garciyi01.shtml
55,2019-05-29,away,LAD,L,Scott Alexander,/players/a/alexasc02.shtml,Edwin Diaz,/players/d/diazed04.shtml
56,2019-05-30,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Jason Vargas,/players/v/vargaja01.shtml
57,2019-05-31,away,ARI,W,Zack Wheeler,/players/w/wheelza01.shtml,Matt Andriese,/players/a/andrima01.shtml
58,2019-06-01,away,ARI,L,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Tyler Bashlor,/players/b/bashlty01.shtml
