Overall W-L%, Home W-L%, Away W-L%
.636,.704,.568

Opponent, W-L%
ARI,.250
BAL,.895
BOS,.737
CHW,.429
CLE,.429
COL,.667
DET,.500
HOU,.429
KCR,.714
LAA,.714
LAD,.667
MIN,.667
NYM,.500
OAK,.333
SDP,.667
SEA,.857
SFG,1.000
TBR,.632
TEX,.500
TOR,.579

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,BAL,W,Masahiro Tanaka,/players/t/tanakma01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
2,2019-03-30,home,BAL,L,Jimmy Yacabonis,/players/y/yacabji01.shtml,James Paxton,/players/p/paxtoja01.shtml
3,2019-03-31,home,BAL,L,John Means,/players/m/meansjo01.shtml,J.A. Happ,/players/h/happja01.shtml
4,2019-04-01,home,DET,W,Domingo German,/players/g/germado01.shtml,Tyson Ross,/players/r/rossty01.shtml
5,2019-04-02,home,DET,L,Joe Jimenez,/players/j/jimenjo02.shtml,Aroldis Chapman,/players/c/chapmar01.shtml
6,2019-04-03,home,DET,L,Buck Farmer,/players/f/farmebu01.shtml,Chad Green,/players/g/greench03.shtml
7,2019-04-04,away,BAL,W,James Paxton,/players/p/paxtoja01.shtml,Mike Wright,/players/w/wrighmi01.shtml
8,2019-04-06,away,BAL,W,Adam Ottavino,/players/o/ottavad01.shtml,Miguel Castro,/players/c/castrmi01.shtml
9,2019-04-07,away,BAL,W,Domingo German,/players/g/germado01.shtml,David Hess,/players/h/hessda01.shtml
10,2019-04-08,away,HOU,L,Ryan Pressly,/players/p/pressry01.shtml,Adam Ottavino,/players/o/ottavad01.shtml
11,2019-04-09,away,HOU,L,Hector Rondon,/players/r/rondohe01.shtml,Chad Green,/players/g/greench03.shtml
12,2019-04-10,away,HOU,L,Collin McHugh,/players/m/mchugco01.shtml,James Paxton,/players/p/paxtoja01.shtml
13,2019-04-12,home,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,J.A. Happ,/players/h/happja01.shtml
14,2019-04-13,home,CHW,W,Domingo German,/players/g/germado01.shtml,Ivan Nova,/players/n/novaiv01.shtml
15,2019-04-14,home,CHW,L,Carlos Rodon,/players/r/rodonca01.shtml,Masahiro Tanaka,/players/t/tanakma01.shtml
16,2019-04-16,home,BOS,W,James Paxton,/players/p/paxtoja01.shtml,Chris Sale,/players/s/salech01.shtml
17,2019-04-17,home,BOS,W,Tommy Kahnle,/players/k/kahnlto01.shtml,Brandon Workman,/players/w/workmbr01.shtml
18,2019-04-18,home,KCR,L,Homer Bailey,/players/b/baileho02.shtml,Domingo German,/players/g/germado01.shtml
19,2019-04-19,home,KCR,W,CC Sabathia,/players/s/sabatc.01.shtml,Jakob Junis,/players/j/junisja01.shtml
20,2019-04-20,home,KCR,W,Masahiro Tanaka,/players/t/tanakma01.shtml,Heath Fillmyer,/players/f/fillmhe01.shtml
