Overall W-L%, Home W-L%, Away W-L%
.599,.617,.580

Opponent, W-L%
ARI,.667
BAL,.833
BOS,.667
CHW,.714
CLE,.667
COL,.000
DET,1.000
HOU,.368
KCR,.714
LAA,.474
LAD,.500
MIN,.714
NYY,.500
SDP,1.000
SEA,.474
SFG,.667
TBR,.286
TEX,.684
TOR,1.000

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,LAA,W,Chris Hatcher,/players/h/hatchch02.shtml,Noe Ramirez,/players/r/ramirno01.shtml
2,2018-03-30,home,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Sean Manaea,/players/m/manaese01.shtml
3,2018-03-31,home,LAA,L,Matt Shoemaker,/players/s/shoemma01.shtml,Daniel Mengden,/players/m/mengdda01.shtml
4,2018-04-01,home,LAA,L,Shohei Ohtani,/players/o/ohtansh01.shtml,Daniel Gossett,/players/g/gosseda01.shtml
5,2018-04-02,home,TEX,W,Chris Hatcher,/players/h/hatchch02.shtml,Kevin Jepsen,/players/j/jepseke01.shtml
6,2018-04-03,home,TEX,L,Cole Hamels,/players/h/hamelco01.shtml,Kendall Graveman,/players/g/graveke01.shtml
7,2018-04-04,home,TEX,W,Sean Manaea,/players/m/manaese01.shtml,Doug Fister,/players/f/fistedo01.shtml
8,2018-04-05,home,TEX,L,Martin Perez,/players/p/perezma02.shtml,Daniel Mengden,/players/m/mengdda01.shtml
9,2018-04-06,away,LAA,L,Jim Johnson,/players/j/johnsji04.shtml,Blake Treinen,/players/t/treinbl01.shtml
10,2018-04-07,away,LAA,W,Andrew Triggs,/players/t/triggan01.shtml,JC Ramirez,/players/r/ramirjc01.shtml
11,2018-04-08,away,LAA,L,Shohei Ohtani,/players/o/ohtansh01.shtml,Kendall Graveman,/players/g/graveke01.shtml
12,2018-04-10,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Sean Manaea,/players/m/manaese01.shtml
13,2018-04-11,away,LAD,W,Daniel Mengden,/players/m/mengdda01.shtml,Alex Wood,/players/w/woodal02.shtml
14,2018-04-13,away,SEA,L,Dan Altavilla,/players/a/altavda01.shtml,Danny Coulombe,/players/c/couloda01.shtml
15,2018-04-14,away,SEA,L,Chasen Bradford,/players/b/bradfch02.shtml,Kendall Graveman,/players/g/graveke01.shtml
16,2018-04-15,away,SEA,W,Sean Manaea,/players/m/manaese01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
17,2018-04-16,home,CHW,W,Daniel Mengden,/players/m/mengdda01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
18,2018-04-17,home,CHW,W,Trevor Cahill,/players/c/cahiltr01.shtml,Miguel Gonzalez,/players/g/gonzami03.shtml
19,2018-04-18,home,CHW,W,Lou Trivino,/players/t/trivilo01.shtml,James Shields,/players/s/shielja02.shtml
20,2018-04-20,home,BOS,L,Hector Velazquez,/players/v/velazhe01.shtml,Kendall Graveman,/players/g/graveke01.shtml
21,2018-04-21,home,BOS,W,Sean Manaea,/players/m/manaese01.shtml,Chris Sale,/players/s/salech01.shtml
22,2018-04-22,home,BOS,W,Blake Treinen,/players/t/treinbl01.shtml,David Price,/players/p/priceda01.shtml
23,2018-04-23,away,TEX,W,Ryan Buchter,/players/b/buchtry01.shtml,Kevin Jepsen,/players/j/jepseke01.shtml
24,2018-04-24,away,TEX,W,Andrew Triggs,/players/t/triggan01.shtml,Cole Hamels,/players/h/hamelco01.shtml
25,2018-04-25,away,TEX,L,Jesse Chavez,/players/c/chaveje01.shtml,Kendall Graveman,/players/g/graveke01.shtml
26,2018-04-27,away,HOU,W,Sean Manaea,/players/m/manaese01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
27,2018-04-28,away,HOU,L,Lance McCullers,/players/m/mcculla02.shtml,Daniel Mengden,/players/m/mengdda01.shtml
28,2018-04-29,away,HOU,L,Will Harris,/players/h/harriwi10.shtml,Trevor Cahill,/players/c/cahiltr01.shtml
29,2018-05-01,away,SEA,L,Felix Hernandez,/players/h/hernafe02.shtml,Andrew Triggs,/players/t/triggan01.shtml
30,2018-05-02,away,SEA,W,Blake Treinen,/players/t/treinbl01.shtml,Edwin Diaz,/players/d/diazed04.shtml
31,2018-05-03,away,SEA,L,Chasen Bradford,/players/b/bradfch02.shtml,Sean Manaea,/players/m/manaese01.shtml
32,2018-05-04,home,BAL,W,Lou Trivino,/players/t/trivilo01.shtml,Brad Brach,/players/b/brachbr01.shtml
33,2018-05-05,home,BAL,W,Chris Hatcher,/players/h/hatchch02.shtml,Pedro Araujo,/players/a/araujpe01.shtml
34,2018-05-06,home,BAL,W,Andrew Triggs,/players/t/triggan01.shtml,Alex Cobb,/players/c/cobbal01.shtml
35,2018-05-07,home,HOU,L,Dallas Keuchel,/players/k/keuchda01.shtml,Brett Anderson,/players/a/anderbr04.shtml
36,2018-05-08,home,HOU,L,Lance McCullers,/players/m/mcculla02.shtml,Sean Manaea,/players/m/manaese01.shtml
37,2018-05-09,home,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Daniel Mengden,/players/m/mengdda01.shtml
38,2018-05-11,away,NYY,W,Kendall Graveman,/players/g/graveke01.shtml,Sonny Gray,/players/g/grayso01.shtml
39,2018-05-12,away,NYY,L,A.J. Cole,/players/c/coleaj01.shtml,Chris Hatcher,/players/h/hatchch02.shtml
40,2018-05-13,away,NYY,L,Luis Severino,/players/s/severlu01.shtml,Brett Anderson,/players/a/anderbr04.shtml
41,2018-05-14,away,BOS,W,Sean Manaea,/players/m/manaese01.shtml,Rick Porcello,/players/p/porceri01.shtml
42,2018-05-15,away,BOS,W,Daniel Mengden,/players/m/mengdda01.shtml,Eduardo Rodriguez,/players/r/rodried05.shtml
43,2018-05-16,away,BOS,L,Chris Sale,/players/s/salech01.shtml,Trevor Cahill,/players/c/cahiltr01.shtml
44,2018-05-17,away,TOR,W,Yusmeiro Petit,/players/p/petityu01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
45,2018-05-18,away,TOR,W,Danny Coulombe,/players/c/couloda01.shtml,Marco Estrada,/players/e/estrama01.shtml
46,2018-05-19,away,TOR,W,Emilio Pagan,/players/p/paganem01.shtml,Tyler Clippard,/players/c/clippty01.shtml
47,2018-05-20,away,TOR,W,Daniel Mengden,/players/m/mengdda01.shtml,Joe Biagini,/players/b/biagijo01.shtml
48,2018-05-22,home,SEA,L,Nick Vincent,/players/v/vinceni01.shtml,Yusmeiro Petit,/players/p/petityu01.shtml
49,2018-05-23,home,SEA,L,Marco Gonzales,/players/g/gonzama02.shtml,Daniel Gossett,/players/g/gosseda01.shtml
50,2018-05-24,home,SEA,W,Yusmeiro Petit,/players/p/petityu01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
51,2018-05-25,home,ARI,L,Patrick Corbin,/players/c/corbipa01.shtml,Sean Manaea,/players/m/manaese01.shtml
52,2018-05-26,home,ARI,W,Daniel Mengden,/players/m/mengdda01.shtml,Clay Buchholz,/players/b/buchhcl01.shtml
53,2018-05-27,home,ARI,W,Frankie Montas,/players/m/montafr02.shtml,Zack Greinke,/players/g/greinza01.shtml
54,2018-05-28,home,TBR,L,Ryne Stanek,/players/s/stanery01.shtml,Chris Hatcher,/players/h/hatchch02.shtml
55,2018-05-29,home,TBR,L,Blake Snell,/players/s/snellbl01.shtml,Daniel Gossett,/players/g/gosseda01.shtml
56,2018-05-30,home,TBR,L,Nathan Eovaldi,/players/e/eovalna01.shtml,Sean Manaea,/players/m/manaese01.shtml
57,2018-05-31,home,TBR,W,Daniel Mengden,/players/m/mengdda01.shtml,Ryne Stanek,/players/s/stanery01.shtml
