Overall W-L%, Home W-L%, Away W-L%
.494,.605,.383

Opponent, W-L%
ARI,.333
ATL,.368
BAL,1.000
BOS,.500
CHC,.333
CIN,.571
COL,.286
LAD,.571
MIA,.579
MIL,.500
NYM,.421
NYY,.333
PIT,.857
SDP,.500
SFG,.571
STL,.571
TBR,1.000
TOR,.333
WSN,.421

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,ATL,L,Arodys Vizcaino,/players/v/vizcaar01.shtml,Hector Neris,/players/n/nerishe01.shtml
2,2018-03-30,away,ATL,W,Drew Hutchison,/players/h/hutchdr01.shtml,Shane Carle,/players/c/carlesh01.shtml
3,2018-03-31,away,ATL,L,Brandon McCarthy,/players/m/mccarbr01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
4,2018-04-03,away,NYM,L,Jerry Blevins,/players/b/blevije01.shtml,Ben Lively,/players/l/livelbe01.shtml
5,2018-04-04,away,NYM,L,Robert Gsellman,/players/g/gsellro01.shtml,Drew Hutchison,/players/h/hutchdr01.shtml
6,2018-04-05,home,MIA,W,Nick Pivetta,/players/p/pivetni01.shtml,Caleb Smith,/players/s/smithca03.shtml
7,2018-04-07,home,MIA,W,Vince Velasquez,/players/v/velasvi01.shtml,Dillon Peters,/players/p/peterdi01.shtml
8,2018-04-08,home,MIA,L,Odrisamer Despaigne,/players/d/despaod01.shtml,Luis Garcia,/players/g/garcilu03.shtml
9,2018-04-09,home,CIN,W,Luis Garcia,/players/g/garcilu03.shtml,Kevin Quackenbush,/players/q/quackke01.shtml
10,2018-04-10,home,CIN,W,Aaron Nola,/players/n/nolaaa01.shtml,Jared Hughes,/players/h/hugheja02.shtml
11,2018-04-11,home,CIN,W,Yacksel Rios,/players/r/riosya01.shtml,Austin Brice,/players/b/briceau01.shtml
12,2018-04-13,away,TBR,W,Edubray Ramos,/players/r/ramosed02.shtml,Alex Colome,/players/c/colomal01.shtml
13,2018-04-14,away,TBR,W,Jake Arrieta,/players/a/arrieja01.shtml,Chris Archer,/players/a/archech01.shtml
14,2018-04-15,away,TBR,W,Yacksel Rios,/players/r/riosya01.shtml,Ryan Yarbrough,/players/y/yarbrry01.shtml
15,2018-04-16,away,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Aaron Nola,/players/n/nolaaa01.shtml
16,2018-04-17,away,ATL,W,Hector Neris,/players/n/nerishe01.shtml,Jose Ramirez,/players/r/ramirjo02.shtml
17,2018-04-18,away,ATL,L,Brandon McCarthy,/players/m/mccarbr01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
18,2018-04-19,home,PIT,W,Jake Arrieta,/players/a/arrieja01.shtml,Jameson Taillon,/players/t/taillja01.shtml
19,2018-04-20,home,PIT,W,Luis Garcia,/players/g/garcilu03.shtml,George Kontos,/players/k/kontoge01.shtml
20,2018-04-21,home,PIT,W,Aaron Nola,/players/n/nolaaa01.shtml,Michael Feliz,/players/f/felizmi01.shtml
21,2018-04-22,home,PIT,W,Yacksel Rios,/players/r/riosya01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
22,2018-04-24,home,ARI,L,Fernando Salas,/players/s/salasfe01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
23,2018-04-25,home,ARI,W,Jake Arrieta,/players/a/arrieja01.shtml,Zack Greinke,/players/g/greinza01.shtml
24,2018-04-26,home,ARI,L,Matt Koch,/players/k/kochma01.shtml,Ben Lively,/players/l/livelbe01.shtml
25,2018-04-27,home,ATL,W,Aaron Nola,/players/n/nolaaa01.shtml,Max Fried,/players/f/friedma01.shtml
26,2018-04-28,home,ATL,L,Mike Foltynewicz,/players/f/foltymi01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
27,2018-04-29,home,ATL,L,Brandon McCarthy,/players/m/mccarbr01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
28,2018-04-30,away,MIA,L,Merandy Gonzalez,/players/g/gonzame01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
29,2018-05-01,away,MIA,L,Junichi Tazawa,/players/t/tazawju01.shtml,Yacksel Rios,/players/r/riosya01.shtml
30,2018-05-02,away,MIA,W,Aaron Nola,/players/n/nolaaa01.shtml,Jose Urena,/players/u/urenajo01.shtml
31,2018-05-04,away,WSN,L,Gio Gonzalez,/players/g/gonzagi01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
32,2018-05-05,away,WSN,W,Vince Velasquez,/players/v/velasvi01.shtml,Tanner Roark,/players/r/roarkta01.shtml
33,2018-05-06,away,WSN,L,Sean Doolittle,/players/d/doolise01.shtml,Hector Neris,/players/n/nerishe01.shtml
34,2018-05-07,home,SFG,W,Zach Eflin,/players/e/eflinza01.shtml,Jeff Samardzija,/players/s/samarje01.shtml
35,2018-05-08,home,SFG,W,Aaron Nola,/players/n/nolaaa01.shtml,Derek Holland,/players/h/hollade01.shtml
36,2018-05-09,home,SFG,W,Nick Pivetta,/players/p/pivetni01.shtml,Chris Stratton,/players/s/stratch01.shtml
37,2018-05-10,home,SFG,W,Vince Velasquez,/players/v/velasvi01.shtml,Ty Blach,/players/b/blachty01.shtml
38,2018-05-11,home,NYM,L,AJ Ramos,/players/r/ramosaj01.shtml,Hector Neris,/players/n/nerishe01.shtml
39,2018-05-13,home,NYM,W,Aaron Nola,/players/n/nolaaa01.shtml,Paul Sewald,/players/s/sewalpa01.shtml
40,2018-05-16,away,BAL,W,Nick Pivetta,/players/p/pivetni01.shtml,Andrew Cashner,/players/c/cashnan01.shtml
41,2018-05-17,away,STL,W,Vince Velasquez,/players/v/velasvi01.shtml,Luke Weaver,/players/w/weavelu01.shtml
42,2018-05-18,away,STL,L,Michael Wacha,/players/w/wachami01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
43,2018-05-19,away,STL,W,Tommy Hunter,/players/h/hunteto02.shtml,Greg Holland,/players/h/hollagr01.shtml
44,2018-05-20,away,STL,L,Jack Flaherty,/players/f/flaheja01.shtml,Aaron Nola,/players/n/nolaaa01.shtml
45,2018-05-21,home,ATL,W,Nick Pivetta,/players/p/pivetni01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
46,2018-05-22,home,ATL,L,Brandon McCarthy,/players/m/mccarbr01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
47,2018-05-23,home,ATL,W,Jake Arrieta,/players/a/arrieja01.shtml,Luiz Gohara,/players/g/goharlu01.shtml
48,2018-05-25,home,TOR,L,Sam Gaviglio,/players/g/gavigsa01.shtml,Zach Eflin,/players/e/eflinza01.shtml
49,2018-05-26,home,TOR,W,Seranthony Dominguez,/players/d/dominse01.shtml,Joe Biagini,/players/b/biagijo01.shtml
50,2018-05-27,home,TOR,L,J.A. Happ,/players/h/happja01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
51,2018-05-28,away,LAD,L,Yimi Garcia,/players/g/garciyi01.shtml,Adam Morgan,/players/m/morgaad01.shtml
52,2018-05-29,away,LAD,W,Jake Arrieta,/players/a/arrieja01.shtml,Kenta Maeda,/players/m/maedake01.shtml
53,2018-05-30,away,LAD,L,Ross Stripling,/players/s/stripro01.shtml,Zach Eflin,/players/e/eflinza01.shtml
54,2018-05-31,away,LAD,W,Aaron Nola,/players/n/nolaaa01.shtml,Josh Fields,/players/f/fieldjo03.shtml
55,2018-06-01,away,SFG,L,Chris Stratton,/players/s/stratch01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
56,2018-06-02,away,SFG,L,Andrew Suarez,/players/s/suarean01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
57,2018-06-03,away,SFG,L,Dereck Rodriguez,/players/r/rodride01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
58,2018-06-05,away,CHC,W,Zach Eflin,/players/e/eflinza01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
59,2018-06-06,away,CHC,L,Cory Mazzoni,/players/m/mazzoco01.shtml,Adam Morgan,/players/m/morgaad01.shtml
60,2018-06-07,away,CHC,L,Brian Duensing,/players/d/duensbr01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
61,2018-06-08,home,MIL,L,Jhoulys Chacin,/players/c/chacijh01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
62,2018-06-09,home,MIL,L,Brent Suter,/players/s/suterbr01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
63,2018-06-10,home,MIL,W,Zach Eflin,/players/e/eflinza01.shtml,Dan Jennings,/players/j/jennida01.shtml
64,2018-06-12,home,COL,W,Aaron Nola,/players/n/nolaaa01.shtml,Jon Gray,/players/g/grayjo02.shtml
