Overall W-L%, Home W-L%, Away W-L%
.500,.556,.444

Opponent, W-L%
ARI,.333
ATL,.526
BOS,.500
CHC,.714
CHW,.333
CIN,.571
CLE,.333
COL,.571
DET,.750
KCR,.667
LAD,.286
MIA,.474
MIL,.429
MIN,.667
NYM,.632
PIT,.667
SDP,.500
SFG,.429
STL,.667
WSN,.263

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,ATL,W,Aaron Nola,/players/n/nolaaa01.shtml,Julio Teheran,/players/t/teherju01.shtml
2,2019-03-30,home,ATL,W,Adam Morgan,/players/m/morgaad01.shtml,Wes Parsons,/players/p/parsowe01.shtml
3,2019-03-31,home,ATL,W,Jake Arrieta,/players/a/arrieja01.shtml,Kyle Wright,/players/w/wrighky01.shtml
4,2019-04-02,away,WSN,W,Zach Eflin,/players/e/eflinza01.shtml,Max Scherzer,/players/s/scherma01.shtml
5,2019-04-03,away,WSN,L,Sean Doolittle,/players/d/doolise01.shtml,David Robertson,/players/r/roberda08.shtml
6,2019-04-05,home,MIN,W,Nick Pivetta,/players/p/pivetni01.shtml,Jake Odorizzi,/players/o/odorija01.shtml
7,2019-04-06,home,MIN,L,Michael Pineda,/players/p/pinedmi01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
8,2019-04-07,home,MIN,W,Zach Eflin,/players/e/eflinza01.shtml,Jose Berrios,/players/b/berrijo01.shtml
9,2019-04-08,home,WSN,W,Seranthony Dominguez,/players/d/dominse01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
10,2019-04-09,home,WSN,L,Sean Doolittle,/players/d/doolise01.shtml,Jose Alvarez,/players/a/alvarjo02.shtml
11,2019-04-10,home,WSN,L,Jeremy Hellickson,/players/h/hellije01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
12,2019-04-12,away,MIA,W,Jake Arrieta,/players/a/arrieja01.shtml,Sandy Alcantara,/players/a/alcansa01.shtml
13,2019-04-13,away,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Zach Eflin,/players/e/eflinza01.shtml
14,2019-04-14,away,MIA,W,Victor Arano,/players/a/aranovi01.shtml,Wei-Yin Chen,/players/c/chenwe02.shtml
15,2019-04-15,home,NYM,L,Luis Avilan,/players/a/avilalu01.shtml,Pat Neshek,/players/n/neshepa01.shtml
16,2019-04-16,home,NYM,W,Nick Pivetta,/players/p/pivetni01.shtml,Steven Matz,/players/m/matzst01.shtml
17,2019-04-17,home,NYM,W,Jake Arrieta,/players/a/arrieja01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
18,2019-04-18,away,COL,L,Kyle Freeland,/players/f/freelky01.shtml,Zach Eflin,/players/e/eflinza01.shtml
19,2019-04-19,away,COL,L,Chad Bettis,/players/b/bettich01.shtml,Juan Nicasio,/players/n/nicasju01.shtml
20,2019-04-20,away,COL,W,Aaron Nola,/players/n/nolaaa01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
21,2019-04-21,away,COL,L,Jon Gray,/players/g/grayjo02.shtml,Jerad Eickhoff,/players/e/eickhje01.shtml
22,2019-04-22,away,NYM,L,Steven Matz,/players/m/matzst01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
23,2019-04-23,away,NYM,L,Zack Wheeler,/players/w/wheelza01.shtml,Zach Eflin,/players/e/eflinza01.shtml
24,2019-04-24,away,NYM,W,Vince Velasquez,/players/v/velasvi01.shtml,Jason Vargas,/players/v/vargaja01.shtml
25,2019-04-25,home,MIA,L,Tayron Guerrero,/players/g/guerrta01.shtml,Hector Neris,/players/n/nerishe01.shtml
26,2019-04-26,home,MIA,W,Jerad Eickhoff,/players/e/eickhje01.shtml,Jose Urena,/players/u/urenajo01.shtml
27,2019-04-27,home,MIA,W,Jake Arrieta,/players/a/arrieja01.shtml,Trevor Richards,/players/r/richatr01.shtml
28,2019-04-28,home,MIA,W,Zach Eflin,/players/e/eflinza01.shtml,Pablo Lopez,/players/l/lopezpa01.shtml
29,2019-04-30,home,DET,L,Spencer Turnbull,/players/t/turnbsp01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
30,2019-05-01,home,DET,W,Seranthony Dominguez,/players/d/dominse01.shtml,Buck Farmer,/players/f/farmebu01.shtml
31,2019-05-03,home,WSN,W,Seranthony Dominguez,/players/d/dominse01.shtml,Dan Jennings,/players/j/jennida01.shtml
32,2019-05-04,home,WSN,L,Tony Sipp,/players/s/sippto01.shtml,Adam Morgan,/players/m/morgaad01.shtml
33,2019-05-05,home,WSN,W,Zach Eflin,/players/e/eflinza01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
34,2019-05-06,away,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
