Overall W-L%, Home W-L%, Away W-L%
.509,.550,.469

Opponent, W-L%
ARI,.143
ATL,.167
CHC,.474
CHW,1.000
CIN,.737
CLE,.667
COL,.500
DET,.833
KCR,1.000
LAD,.167
MIA,.800
MIL,.632
MIN,.250
NYM,.571
PHI,.143
SDP,.429
SFG,.571
STL,.421
WSN,.286

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-30,away,DET,W,Steven Brault,/players/b/braulst01.shtml,Alex Wilson,/players/w/wilsoal01.shtml
2,2018-04-01,away,DET,W,Trevor Williams,/players/w/willitr01.shtml,Michael Fulmer,/players/f/fulmemi01.shtml
3,2018-04-01,away,DET,W,Chad Kuhl,/players/k/kuhlch01.shtml,Buck Farmer,/players/f/farmebu01.shtml
4,2018-04-02,home,MIN,W,Jameson Taillon,/players/t/taillja01.shtml,Lance Lynn,/players/l/lynnla01.shtml
5,2018-04-04,home,MIN,L,Taylor Rogers,/players/r/rogerta01.shtml,Ivan Nova,/players/n/novaiv01.shtml
6,2018-04-05,home,CIN,W,Steven Brault,/players/b/braulst01.shtml,Homer Bailey,/players/b/baileho02.shtml
7,2018-04-06,home,CIN,W,Trevor Williams,/players/w/willitr01.shtml,Luis Castillo,/players/c/castilu02.shtml
8,2018-04-07,home,CIN,L,Wandy Peralta,/players/p/peralwa01.shtml,George Kontos,/players/k/kontoge01.shtml
9,2018-04-08,home,CIN,W,Jameson Taillon,/players/t/taillja01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
10,2018-04-10,away,CHC,W,Ivan Nova,/players/n/novaiv01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
11,2018-04-11,away,CHC,L,Brian Duensing,/players/d/duensbr01.shtml,Tyler Glasnow,/players/g/glasnty01.shtml
12,2018-04-12,away,CHC,W,Trevor Williams,/players/w/willitr01.shtml,Kyle Hendricks,/players/h/hendrky01.shtml
13,2018-04-13,away,MIA,L,Dillon Peters,/players/p/peterdi01.shtml,Chad Kuhl,/players/k/kuhlch01.shtml
14,2018-04-14,away,MIA,W,George Kontos,/players/k/kontoge01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
