Overall W-L%, Home W-L%, Away W-L%
.426,.432,.420

Opponent, W-L%
ARI,.143
ATL,.286
CHC,.421
CIN,.632
COL,.714
DET,.750
HOU,.667
LAA,.667
LAD,.000
MIA,.500
MIL,.211
NYM,.167
OAK,.667
PHI,.333
SDP,.857
SEA,.000
SFG,.714
STL,.263
TEX,.750
WSN,.429

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,CIN,L,Zach Duke,/players/d/dukeza01.shtml,Jameson Taillon,/players/t/taillja01.shtml
2,2019-03-31,away,CIN,W,Trevor Williams,/players/w/willitr01.shtml,Sonny Gray,/players/g/grayso01.shtml
3,2019-04-01,home,STL,L,Jordan Hicks,/players/h/hicksjo03.shtml,Steven Brault,/players/b/braulst01.shtml
4,2019-04-03,home,STL,L,John Gant,/players/g/gantjo01.shtml,Nick Burdi,/players/b/burdini01.shtml
5,2019-04-04,home,CIN,W,Nick Kingham,/players/k/kinghni01.shtml,David Hernandez,/players/h/hernada01.shtml
6,2019-04-05,home,CIN,W,Joe Musgrove,/players/m/musgrjo01.shtml,Sonny Gray,/players/g/grayso01.shtml
7,2019-04-06,home,CIN,W,Francisco Liriano,/players/l/liriafr01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
8,2019-04-07,home,CIN,W,Chris Archer,/players/a/archech01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
9,2019-04-08,away,CHC,L,Brad Brach,/players/b/brachbr01.shtml,Jameson Taillon,/players/t/taillja01.shtml
10,2019-04-10,away,CHC,W,Jordan Lyles,/players/l/lylesjo01.shtml,Yu Darvish,/players/d/darviyu01.shtml
11,2019-04-11,away,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
12,2019-04-12,away,WSN,W,Nick Burdi,/players/b/burdini01.shtml,Matt Grace,/players/g/gracema02.shtml
13,2019-04-13,away,WSN,L,Wander Suero,/players/s/suerowa01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
14,2019-04-14,away,WSN,W,Felipe Vazquez,/players/r/riverfe01.shtml,Wander Suero,/players/s/suerowa01.shtml
15,2019-04-16,away,DET,W,Keone Kela,/players/k/kelake01.shtml,Shane Greene,/players/g/greensh02.shtml
16,2019-04-17,away,DET,W,Nick Burdi,/players/b/burdini01.shtml,Buck Farmer,/players/f/farmebu01.shtml
17,2019-04-19,home,SFG,W,Jordan Lyles,/players/l/lylesjo01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
18,2019-04-20,home,SFG,W,Jameson Taillon,/players/t/taillja01.shtml,Derek Holland,/players/h/hollade01.shtml
19,2019-04-21,home,SFG,L,Dereck Rodriguez,/players/r/rodride01.shtml,Chris Archer,/players/a/archech01.shtml
20,2019-04-22,home,ARI,L,Matt Andriese,/players/a/andrima01.shtml,Kyle Crick,/players/c/crickky01.shtml
21,2019-04-23,home,ARI,L,Luke Weaver,/players/w/weavelu01.shtml,Trevor Williams,/players/w/willitr01.shtml
22,2019-04-24,home,ARI,L,Merrill Kelly,/players/k/kellyme01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
23,2019-04-25,home,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Jameson Taillon,/players/t/taillja01.shtml
24,2019-04-26,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Chris Archer,/players/a/archech01.shtml
25,2019-04-27,away,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
26,2019-04-28,away,LAD,L,Julio Urias,/players/u/uriasju01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
27,2019-04-30,away,TEX,W,Kyle Crick,/players/c/crickky01.shtml,Jesse Chavez,/players/c/chaveje01.shtml
28,2019-05-01,away,TEX,W,Jameson Taillon,/players/t/taillja01.shtml,Shelby Miller,/players/m/millesh01.shtml
29,2019-05-03,home,OAK,L,Brett Anderson,/players/a/anderbr04.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
30,2019-05-04,home,OAK,W,Michael Feliz,/players/f/felizmi01.shtml,J.B. Wendelken,/players/w/wendejb01.shtml
31,2019-05-05,home,OAK,W,Tyler Lyons,/players/l/lyonsty01.shtml,Fernando Rodney,/players/r/rodnefe01.shtml
32,2019-05-07,home,TEX,W,Michael Feliz,/players/f/felizmi01.shtml,Adrian Sampson,/players/s/sampsad01.shtml
33,2019-05-08,home,TEX,L,Ariel Jurado,/players/j/juradar01.shtml,Tyler Lyons,/players/l/lyonsty01.shtml
34,2019-05-09,away,STL,L,Michael Wacha,/players/w/wachami01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
35,2019-05-10,away,STL,W,Trevor Williams,/players/w/willitr01.shtml,Andrew Miller,/players/m/millean01.shtml
36,2019-05-11,away,STL,W,Jordan Lyles,/players/l/lylesjo01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
37,2019-05-12,away,STL,W,Chris Stratton,/players/s/stratch01.shtml,John Brebbia,/players/b/brebbjo01.shtml
38,2019-05-13,away,ARI,L,Robbie Ray,/players/r/rayro02.shtml,Nick Kingham,/players/k/kinghni01.shtml
39,2019-05-14,away,ARI,W,Joe Musgrove,/players/m/musgrjo01.shtml,Luke Weaver,/players/w/weavelu01.shtml
40,2019-05-15,away,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Chris Archer,/players/a/archech01.shtml
41,2019-05-16,away,SDP,L,Adam Warren,/players/w/warread01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
42,2019-05-17,away,SDP,W,Jordan Lyles,/players/l/lylesjo01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
43,2019-05-18,away,SDP,W,Steven Brault,/players/b/braulst01.shtml,Nick Margevicius,/players/m/margeni01.shtml
44,2019-05-19,away,SDP,W,Joe Musgrove,/players/m/musgrjo01.shtml,Cal Quantrill,/players/q/quantca01.shtml
45,2019-05-21,home,COL,L,German Marquez,/players/m/marquge01.shtml,Chris Archer,/players/a/archech01.shtml
46,2019-05-22,home,COL,L,Jon Gray,/players/g/grayjo02.shtml,Montana DuRapau,/players/d/durapmo01.shtml
47,2019-05-23,home,COL,W,Jordan Lyles,/players/l/lylesjo01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
48,2019-05-24,home,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Michael Feliz,/players/f/felizmi01.shtml
49,2019-05-25,home,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
50,2019-05-26,home,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Chris Archer,/players/a/archech01.shtml
51,2019-05-27,away,CIN,W,Kyle Crick,/players/c/crickky01.shtml,David Hernandez,/players/h/hernada01.shtml
52,2019-05-27,away,CIN,L,Sonny Gray,/players/g/grayso01.shtml,Mitch Keller,/players/k/kellemi03.shtml
53,2019-05-28,away,CIN,L,Lucas Sims,/players/s/simslu01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
54,2019-05-29,away,CIN,W,Steven Brault,/players/b/braulst01.shtml,Anthony DeSclafani,/players/d/desclan01.shtml
55,2019-05-30,home,MIL,L,Chase Anderson,/players/a/anderch01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
56,2019-05-31,home,MIL,W,Chris Archer,/players/a/archech01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
57,2019-06-01,home,MIL,L,Adrian Houser,/players/h/housead01.shtml,Alex McRae,/players/m/mcraeal01.shtml
58,2019-06-02,home,MIL,L,Zach Davies,/players/d/davieza02.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
59,2019-06-04,home,ATL,L,Dan Winkler,/players/w/winklda01.shtml,Kyle Crick,/players/c/crickky01.shtml
60,2019-06-05,home,ATL,W,Joe Musgrove,/players/m/musgrjo01.shtml,Kevin Gausman,/players/g/gausmke01.shtml
61,2019-06-06,home,ATL,W,Chris Archer,/players/a/archech01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
62,2019-06-07,away,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Rookie Davis,/players/d/davisro03.shtml
63,2019-06-08,away,MIL,L,Zach Davies,/players/d/davieza02.shtml,Michael Feliz,/players/f/felizmi01.shtml
64,2019-06-09,away,MIL,L,Jeremy Jeffress,/players/j/jeffrje01.shtml,Francisco Liriano,/players/l/liriafr01.shtml
65,2019-06-10,away,ATL,L,Sean Newcomb,/players/n/newcose01.shtml,Alex McRae,/players/m/mcraeal01.shtml
66,2019-06-11,away,ATL,L,Touki Toussaint,/players/t/toussto01.shtml,Chris Archer,/players/a/archech01.shtml
67,2019-06-12,away,ATL,L,Jacob Webb,/players/w/webbja01.shtml,Michael Feliz,/players/f/felizmi01.shtml
68,2019-06-13,away,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
69,2019-06-14,away,MIA,W,Steven Brault,/players/b/braulst01.shtml,Trevor Richards,/players/r/richatr01.shtml
70,2019-06-15,away,MIA,L,Pablo Lopez,/players/l/lopezpa01.shtml,Geoff Hartlieb,/players/h/hartlge01.shtml
