Overall W-L%, Home W-L%, Away W-L%
.407,.383,.432

Opponent, W-L%
ARI,.368
ATL,.429
CHC,.286
CIN,.571
COL,.421
HOU,.333
LAA,.000
LAD,.263
MIA,.714
MIL,.333
NYM,.333
OAK,.000
PHI,.500
PIT,.571
SEA,1.000
SFG,.421
STL,.571
TEX,.333
WSN,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,MIL,L,Jeremy Jeffress,/players/j/jeffrje01.shtml,Adam Cimber,/players/c/cimbead01.shtml
2,2018-03-30,home,MIL,L,Oliver Drake,/players/d/drakeol01.shtml,Brad Hand,/players/h/handbr01.shtml
3,2018-03-31,home,MIL,L,Brent Suter,/players/s/suterbr01.shtml,Luis Perdomo,/players/p/perdolu02.shtml
4,2018-04-02,home,COL,L,Chad Bettis,/players/b/bettich01.shtml,Bryan Mitchell,/players/m/mitchbr01.shtml
5,2018-04-03,home,COL,W,Tyson Ross,/players/r/rossty01.shtml,Kyle Freeland,/players/f/freelky01.shtml
6,2018-04-04,home,COL,L,Jon Gray,/players/g/grayjo02.shtml,Clayton Richard,/players/r/richacl01.shtml
7,2018-04-05,home,COL,L,Adam Ottavino,/players/o/ottavad01.shtml,Brad Hand,/players/h/handbr01.shtml
8,2018-04-06,away,HOU,W,Luis Perdomo,/players/p/perdolu02.shtml,Lance McCullers,/players/m/mcculla02.shtml
9,2018-04-07,away,HOU,L,Chris Devenski,/players/d/devench02.shtml,Robbie Erlin,/players/e/erlinro01.shtml
10,2018-04-08,away,HOU,L,Charlie Morton,/players/m/mortoch02.shtml,Tyson Ross,/players/r/rossty01.shtml
11,2018-04-09,away,COL,W,Clayton Richard,/players/r/richacl01.shtml,Jon Gray,/players/g/grayjo02.shtml
12,2018-04-10,away,COL,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Bryan Shaw,/players/s/shawbr01.shtml
13,2018-04-11,away,COL,L,Antonio Senzatela,/players/s/senzaan01.shtml,Buddy Baumann,/players/b/baumabu01.shtml
14,2018-04-12,home,SFG,L,Chris Stratton,/players/s/stratch01.shtml,Bryan Mitchell,/players/m/mitchbr01.shtml
15,2018-04-13,home,SFG,W,Tyson Ross,/players/r/rossty01.shtml,Ty Blach,/players/b/blachty01.shtml
16,2018-04-14,home,SFG,W,Adam Cimber,/players/c/cimbead01.shtml,Cory Gearrin,/players/g/gearrco01.shtml
17,2018-04-15,home,SFG,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Tyler Beede,/players/b/beedety01.shtml
18,2018-04-16,home,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Robbie Erlin,/players/e/erlinro01.shtml
19,2018-04-17,home,LAD,L,Scott Alexander,/players/a/alexasc02.shtml,Tyler Webb,/players/w/webbty01.shtml
20,2018-04-18,home,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Luis Perdomo,/players/p/perdolu02.shtml
21,2018-04-20,away,ARI,W,Brad Hand,/players/h/handbr01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
22,2018-04-21,away,ARI,L,Zack Godley,/players/g/godleza01.shtml,Clayton Richard,/players/r/richacl01.shtml
