Overall W-L%, Home W-L%, Away W-L%
.432,.444,.420

Opponent, W-L%
ARI,.421
ATL,.286
BAL,.750
BOS,.333
CHC,.429
CIN,.286
COL,.421
LAD,.316
MIA,.333
MIL,.571
NYM,.500
NYY,.333
PHI,.500
PIT,.143
SEA,.750
SFG,.474
STL,.667
TBR,.333
TOR,.667
WSN,.571

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,SFG,W,Eric Lauer,/players/l/lauerer01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
2,2019-03-29,home,SFG,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Derek Holland,/players/h/hollade01.shtml
3,2019-03-30,home,SFG,L,Dereck Rodriguez,/players/r/rodride01.shtml,Nick Margevicius,/players/m/margeni01.shtml
4,2019-03-31,home,SFG,W,Adam Warren,/players/w/warread01.shtml,Nick Vincent,/players/v/vinceni01.shtml
5,2019-04-01,home,ARI,L,Merrill Kelly,/players/k/kellyme01.shtml,Matt Strahm,/players/s/strahma01.shtml
6,2019-04-02,home,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Eric Lauer,/players/l/lauerer01.shtml
7,2019-04-03,home,ARI,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Robbie Ray,/players/r/rayro02.shtml
8,2019-04-05,away,STL,W,Robert Stock,/players/s/stockro01.shtml,Alex Reyes,/players/r/reyesal02.shtml
9,2019-04-06,away,STL,W,Matt Wisler,/players/w/wislema01.shtml,Andrew Miller,/players/m/millean01.shtml
10,2019-04-07,away,STL,L,Adam Wainwright,/players/w/wainwad01.shtml,Matt Strahm,/players/s/strahma01.shtml
11,2019-04-08,away,SFG,W,Eric Lauer,/players/l/lauerer01.shtml,Reyes Moronta,/players/m/moronre01.shtml
12,2019-04-09,away,SFG,L,Derek Holland,/players/h/hollade01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
13,2019-04-10,away,SFG,W,Nick Margevicius,/players/m/margeni01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
14,2019-04-11,away,ARI,W,Craig Stammen,/players/s/stammcr01.shtml,Archie Bradley,/players/b/bradlar01.shtml
15,2019-04-12,away,ARI,W,Gerardo Reyes,/players/r/reyesge01.shtml,Luke Weaver,/players/w/weavelu01.shtml
16,2019-04-13,away,ARI,W,Craig Stammen,/players/s/stammcr01.shtml,Matt Andriese,/players/a/andrima01.shtml
17,2019-04-14,away,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Eric Lauer,/players/l/lauerer01.shtml
18,2019-04-15,home,COL,L,Antonio Senzatela,/players/s/senzaan01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
19,2019-04-16,home,COL,L,Jon Gray,/players/g/grayjo02.shtml,Nick Margevicius,/players/m/margeni01.shtml
20,2019-04-18,home,CIN,L,Tanner Roark,/players/r/roarkta01.shtml,Chris Paddack,/players/p/paddach01.shtml
21,2019-04-19,home,CIN,L,Jared Hughes,/players/h/hugheja02.shtml,Craig Stammen,/players/s/stammcr01.shtml
22,2019-04-20,home,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Eric Lauer,/players/l/lauerer01.shtml
23,2019-04-21,home,CIN,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
24,2019-04-23,home,SEA,W,Nick Margevicius,/players/m/margeni01.shtml,Erik Swanson,/players/s/swanser01.shtml
25,2019-04-24,home,SEA,W,Chris Paddack,/players/p/paddach01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
26,2019-04-26,away,WSN,W,Craig Stammen,/players/s/stammcr01.shtml,Sean Doolittle,/players/d/doolise01.shtml
27,2019-04-27,away,WSN,W,Luis Perdomo,/players/p/perdolu02.shtml,Wander Suero,/players/s/suerowa01.shtml
28,2019-04-28,away,WSN,L,Justin Miller,/players/m/milleju02.shtml,Matt Wisler,/players/w/wislema01.shtml
29,2019-04-29,away,ATL,L,Mike Soroka,/players/s/sorokmi01.shtml,Nick Margevicius,/players/m/margeni01.shtml
30,2019-04-30,away,ATL,W,Chris Paddack,/players/p/paddach01.shtml,Julio Teheran,/players/t/teherju01.shtml
31,2019-05-01,away,ATL,L,Max Fried,/players/f/friedma01.shtml,Cal Quantrill,/players/q/quantca01.shtml
32,2019-05-02,away,ATL,W,Matt Strahm,/players/s/strahma01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
33,2019-05-03,home,LAD,L,Scott Alexander,/players/a/alexasc02.shtml,Kirby Yates,/players/y/yateski01.shtml
34,2019-05-04,home,LAD,L,Ross Stripling,/players/s/stripro01.shtml,Kirby Yates,/players/y/yateski01.shtml
35,2019-05-05,home,LAD,W,Adam Warren,/players/w/warread01.shtml,Kenley Jansen,/players/j/janseke01.shtml
36,2019-05-06,home,NYM,W,Chris Paddack,/players/p/paddach01.shtml,Jacob deGrom,/players/d/degroja01.shtml
37,2019-05-07,home,NYM,L,Seth Lugo,/players/l/lugose01.shtml,Adam Warren,/players/w/warread01.shtml
38,2019-05-08,home,NYM,W,Gerardo Reyes,/players/r/reyesge01.shtml,Tyler Bashlor,/players/b/bashlty01.shtml
39,2019-05-10,away,COL,L,German Marquez,/players/m/marquge01.shtml,Eric Lauer,/players/l/lauerer01.shtml
40,2019-05-11,away,COL,W,Craig Stammen,/players/s/stammcr01.shtml,Wade Davis,/players/d/daviswa01.shtml
41,2019-05-12,away,COL,L,Antonio Senzatela,/players/s/senzaan01.shtml,Nick Margevicius,/players/m/margeni01.shtml
42,2019-05-14,away,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Chris Paddack,/players/p/paddach01.shtml
43,2019-05-15,away,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Matt Strahm,/players/s/strahma01.shtml
44,2019-05-16,home,PIT,W,Adam Warren,/players/w/warread01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
45,2019-05-17,home,PIT,L,Jordan Lyles,/players/l/lylesjo01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
46,2019-05-18,home,PIT,L,Steven Brault,/players/b/braulst01.shtml,Nick Margevicius,/players/m/margeni01.shtml
47,2019-05-19,home,PIT,L,Joe Musgrove,/players/m/musgrjo01.shtml,Cal Quantrill,/players/q/quantca01.shtml
48,2019-05-20,home,ARI,W,Chris Paddack,/players/p/paddach01.shtml,Luke Weaver,/players/w/weavelu01.shtml
49,2019-05-21,home,ARI,W,Matt Strahm,/players/s/strahma01.shtml,Zack Greinke,/players/g/greinza01.shtml
50,2019-05-22,home,ARI,W,Eric Lauer,/players/l/lauerer01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
51,2019-05-24,away,TOR,W,Matt Wisler,/players/w/wislema01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
52,2019-05-25,away,TOR,W,Cal Quantrill,/players/q/quantca01.shtml,Edwin Jackson,/players/j/jacksed01.shtml
53,2019-05-26,away,TOR,L,Marcus Stroman,/players/s/stromma01.shtml,Robbie Erlin,/players/e/erlinro01.shtml
54,2019-05-27,away,NYY,L,David Hale,/players/h/haleda02.shtml,Matt Strahm,/players/s/strahma01.shtml
55,2019-05-28,away,NYY,W,Eric Lauer,/players/l/lauerer01.shtml,Masahiro Tanaka,/players/t/tanakma01.shtml
56,2019-05-29,away,NYY,L,Jonathan Holder,/players/h/holdejo02.shtml,Chris Paddack,/players/p/paddach01.shtml
57,2019-05-31,home,MIA,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Caleb Smith,/players/s/smithca03.shtml
58,2019-06-01,home,MIA,L,Jose Urena,/players/u/urenajo01.shtml,Nick Margevicius,/players/m/margeni01.shtml
59,2019-06-02,home,MIA,L,Trevor Richards,/players/r/richatr01.shtml,Matt Strahm,/players/s/strahma01.shtml
60,2019-06-03,home,PHI,W,Eric Lauer,/players/l/lauerer01.shtml,Aaron Nola,/players/n/nolaaa01.shtml
61,2019-06-04,home,PHI,L,Jerad Eickhoff,/players/e/eickhje01.shtml,Chris Paddack,/players/p/paddach01.shtml
