Overall W-L%, Home W-L%, Away W-L%
.549,.556,.543

Opponent, W-L%
ARI,.667
BAL,.857
BOS,.429
CHW,.667
CLE,.714
COL,.167
DET,.571
HOU,.526
KCR,.833
LAA,.579
LAD,.333
MIN,.833
NYY,.167
OAK,.526
SDP,.000
SFG,.500
TBR,.857
TEX,.526
TOR,.429

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,CLE,W,Felix Hernandez,/players/h/hernafe02.shtml,Corey Kluber,/players/k/klubeco01.shtml
2,2018-03-31,home,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,James Paxton,/players/p/paxtoja01.shtml
3,2018-04-01,home,CLE,W,Mike Leake,/players/l/leakemi01.shtml,Dan Otero,/players/o/oteroda01.shtml
4,2018-04-03,away,SFG,W,Marco Gonzales,/players/g/gonzama02.shtml,Ty Blach,/players/b/blachty01.shtml
5,2018-04-04,away,SFG,L,Johnny Cueto,/players/c/cuetojo01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
6,2018-04-05,away,MIN,L,Zach Duke,/players/d/dukeza01.shtml,Dan Altavilla,/players/a/altavda01.shtml
7,2018-04-07,away,MIN,W,Mike Leake,/players/l/leakemi01.shtml,Jose Berrios,/players/b/berrijo01.shtml
8,2018-04-09,away,KCR,L,Jakob Junis,/players/j/junisja01.shtml,Marco Gonzales,/players/g/gonzama02.shtml
9,2018-04-10,away,KCR,W,Felix Hernandez,/players/h/hernafe02.shtml,Eric Skoglund,/players/s/skogler01.shtml
10,2018-04-11,away,KCR,W,Nick Vincent,/players/v/vinceni01.shtml,Justin Grimm,/players/g/grimmju01.shtml
11,2018-04-13,home,OAK,W,Dan Altavilla,/players/a/altavda01.shtml,Danny Coulombe,/players/c/couloda01.shtml
12,2018-04-14,home,OAK,W,Chasen Bradford,/players/b/bradfch02.shtml,Kendall Graveman,/players/g/graveke01.shtml
13,2018-04-15,home,OAK,L,Sean Manaea,/players/m/manaese01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
14,2018-04-16,home,HOU,W,James Paxton,/players/p/paxtoja01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
15,2018-04-17,home,HOU,L,Lance McCullers,/players/m/mcculla02.shtml,Dan Altavilla,/players/a/altavda01.shtml
16,2018-04-18,home,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Mike Leake,/players/l/leakemi01.shtml
17,2018-04-19,home,HOU,L,Charlie Morton,/players/m/mortoch02.shtml,Marco Gonzales,/players/g/gonzama02.shtml
