Overall W-L%, Home W-L%, Away W-L%
.420,.432,.407

Opponent, W-L%
BAL,.571
BOS,.429
CHC,.000
CHW,.667
CIN,.667
CLE,.167
DET,.857
HOU,.053
KCR,.714
LAA,.474
MIL,.667
MIN,.286
NYY,.143
OAK,.474
PIT,1.000
SDP,.250
STL,.333
TBR,.333
TEX,.421
TOR,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-20,away,OAK,W,Marco Gonzales,/players/g/gonzama02.shtml,Mike Fiers,/players/f/fiersmi01.shtml
2,2019-03-21,away,OAK,W,Zac Rosscup,/players/r/rosscza01.shtml,Ryan Buchter,/players/b/buchtry01.shtml
3,2019-03-28,home,BOS,W,Marco Gonzales,/players/g/gonzama02.shtml,Chris Sale,/players/s/salech01.shtml
4,2019-03-29,home,BOS,L,Brian Johnson,/players/j/johnsbr02.shtml,Hunter Strickland,/players/s/strichu01.shtml
5,2019-03-30,home,BOS,W,Mike Leake,/players/l/leakemi01.shtml,Eduardo Rodriguez,/players/r/rodried05.shtml
6,2019-03-31,home,BOS,W,Wade LeBlanc,/players/l/leblawa01.shtml,Rick Porcello,/players/p/porceri01.shtml
7,2019-04-01,home,LAA,W,Felix Hernandez,/players/h/hernafe02.shtml,Chris Stratton,/players/s/stratch01.shtml
8,2019-04-02,home,LAA,W,Marco Gonzales,/players/g/gonzama02.shtml,Luis Garcia,/players/g/garcilu03.shtml
9,2019-04-05,away,CHW,L,Ryan Burr,/players/b/burrry01.shtml,Cory Gearrin,/players/g/gearrco01.shtml
10,2019-04-06,away,CHW,W,Mike Leake,/players/l/leakemi01.shtml,Lucas Giolito,/players/g/giolilu01.shtml
11,2019-04-07,away,CHW,W,Wade LeBlanc,/players/l/leblawa01.shtml,Ivan Nova,/players/n/novaiv01.shtml
12,2019-04-08,away,KCR,W,Roenis Elias,/players/e/eliasro01.shtml,Homer Bailey,/players/b/baileho02.shtml
13,2019-04-09,away,KCR,W,Marco Gonzales,/players/g/gonzama02.shtml,Jakob Junis,/players/j/junisja01.shtml
14,2019-04-10,away,KCR,W,Anthony Swarzak,/players/s/swarzan01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
15,2019-04-11,away,KCR,W,Brandon Brennan,/players/b/brennbr01.shtml,Glenn Sparkman,/players/s/sparkgl01.shtml
16,2019-04-12,home,HOU,L,Brad Peacock,/players/p/peacobr01.shtml,Shawn Armstrong,/players/a/armstsh01.shtml
17,2019-04-13,home,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
18,2019-04-14,home,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Brandon Brennan,/players/b/brennbr01.shtml
19,2019-04-15,home,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Yusei Kikuchi,/players/k/kikucyu01.shtml
20,2019-04-16,home,CLE,L,Shane Bieber,/players/b/biebesh01.shtml,Mike Leake,/players/l/leakemi01.shtml
21,2019-04-17,home,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,Erik Swanson,/players/s/swanser01.shtml
22,2019-04-18,away,LAA,W,Anthony Swarzak,/players/s/swarzan01.shtml,Cody Allen,/players/a/allenco01.shtml
23,2019-04-19,away,LAA,W,Zac Rosscup,/players/r/rosscza01.shtml,Cody Allen,/players/a/allenco01.shtml
24,2019-04-20,away,LAA,W,Yusei Kikuchi,/players/k/kikucyu01.shtml,Trevor Cahill,/players/c/cahiltr01.shtml
