Overall W-L%, Home W-L%, Away W-L%
.451,.519,.383

Opponent, W-L%
ARI,.579
ATL,.500
CHC,.500
CIN,.333
COL,.368
HOU,.000
LAA,.667
LAD,.474
MIA,.429
MIL,.143
NYM,.429
OAK,.333
PHI,.429
PIT,.429
SDP,.579
SEA,.500
STL,.286
TEX,.667
WSN,.667

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,LAD,W,Ty Blach,/players/b/blachty01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
2,2018-03-30,away,LAD,W,Tony Watson,/players/w/watsoto01.shtml,Kenley Jansen,/players/j/janseke01.shtml
3,2018-03-31,away,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Derek Holland,/players/h/hollade01.shtml
4,2018-04-01,away,LAD,L,Rich Hill,/players/h/hillri01.shtml,Chris Stratton,/players/s/stratch01.shtml
5,2018-04-03,home,SEA,L,Marco Gonzales,/players/g/gonzama02.shtml,Ty Blach,/players/b/blachty01.shtml
6,2018-04-04,home,SEA,W,Johnny Cueto,/players/c/cuetojo01.shtml,Felix Hernandez,/players/h/hernafe02.shtml
7,2018-04-07,home,LAD,W,Roberto Gomez,/players/g/gomezro01.shtml,Wilmer Font,/players/f/fontwi01.shtml
8,2018-04-08,home,LAD,L,Josh Fields,/players/f/fieldjo03.shtml,Pierce Johnson,/players/j/johnspi01.shtml
9,2018-04-09,home,ARI,L,Zack Godley,/players/g/godleza01.shtml,Derek Holland,/players/h/hollade01.shtml
10,2018-04-10,home,ARI,W,Hunter Strickland,/players/s/strichu01.shtml,Jorge De La Rosa,/players/r/rosajo01.shtml
11,2018-04-11,home,ARI,L,Fernando Salas,/players/s/salasfe01.shtml,Andrew Suarez,/players/s/suarean01.shtml
12,2018-04-12,away,SDP,W,Chris Stratton,/players/s/stratch01.shtml,Bryan Mitchell,/players/m/mitchbr01.shtml
13,2018-04-13,away,SDP,L,Tyson Ross,/players/r/rossty01.shtml,Ty Blach,/players/b/blachty01.shtml
14,2018-04-14,away,SDP,L,Adam Cimber,/players/c/cimbead01.shtml,Cory Gearrin,/players/g/gearrco01.shtml
15,2018-04-15,away,SDP,L,Joey Lucchesi,/players/l/lucchjo01.shtml,Tyler Beede,/players/b/beedety01.shtml
16,2018-04-17,away,ARI,L,Patrick Corbin,/players/c/corbipa01.shtml,Tony Watson,/players/w/watsoto01.shtml
17,2018-04-18,away,ARI,W,Hunter Strickland,/players/s/strichu01.shtml,Brad Boxberger,/players/b/boxbebr01.shtml
18,2018-04-19,away,ARI,L,Zack Greinke,/players/g/greinza01.shtml,Ty Blach,/players/b/blachty01.shtml
19,2018-04-20,away,LAA,W,Jeff Samardzija,/players/s/samarje01.shtml,Andrew Heaney,/players/h/heanean01.shtml
20,2018-04-21,away,LAA,L,Garrett Richards,/players/r/richaga01.shtml,Derek Holland,/players/h/hollade01.shtml
21,2018-04-22,away,LAA,W,Johnny Cueto,/players/c/cuetojo01.shtml,Jaime Barria,/players/b/barrija01.shtml
22,2018-04-23,home,WSN,W,Chris Stratton,/players/s/stratch01.shtml,Gio Gonzalez,/players/g/gonzagi01.shtml
23,2018-04-24,home,WSN,W,Reyes Moronta,/players/m/moronre01.shtml,Tanner Roark,/players/r/roarkta01.shtml
24,2018-04-25,home,WSN,L,Max Scherzer,/players/s/scherma01.shtml,Jeff Samardzija,/players/s/samarje01.shtml
25,2018-04-27,home,LAD,W,Sam Dyson,/players/d/dysonsa01.shtml,Tony Cingrani,/players/c/cingrto01.shtml
