Overall W-L%, Home W-L%, Away W-L%
.475,.432,.519

Opponent, W-L%
ARI,.474
ATL,.286
BAL,.667
BOS,.667
CHC,.333
CIN,.429
COL,.632
LAD,.368
MIA,.500
MIL,.667
NYM,.571
NYY,.000
OAK,.750
PHI,.571
PIT,.286
SDP,.526
STL,.429
TBR,.333
TOR,.750
WSN,.167

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,SDP,L,Eric Lauer,/players/l/lauerer01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
2,2019-03-29,away,SDP,L,Joey Lucchesi,/players/l/lucchjo01.shtml,Derek Holland,/players/h/hollade01.shtml
3,2019-03-30,away,SDP,W,Dereck Rodriguez,/players/r/rodride01.shtml,Nick Margevicius,/players/m/margeni01.shtml
4,2019-03-31,away,SDP,L,Adam Warren,/players/w/warread01.shtml,Nick Vincent,/players/v/vinceni01.shtml
5,2019-04-01,away,LAD,W,Trevor Gott,/players/g/gotttr01.shtml,Joe Kelly,/players/k/kellyjo05.shtml
6,2019-04-02,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
7,2019-04-03,away,LAD,L,Scott Alexander,/players/a/alexasc02.shtml,Reyes Moronta,/players/m/moronre01.shtml
8,2019-04-05,home,TBR,L,Tyler Glasnow,/players/g/glasnty01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
9,2019-04-06,home,TBR,W,Travis Bergen,/players/b/bergetr01.shtml,Ryan Yarbrough,/players/y/yarbrry01.shtml
10,2019-04-07,home,TBR,L,Yonny Chirinos,/players/c/chiriyo01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
11,2019-04-08,home,SDP,L,Eric Lauer,/players/l/lauerer01.shtml,Reyes Moronta,/players/m/moronre01.shtml
12,2019-04-09,home,SDP,W,Derek Holland,/players/h/hollade01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
13,2019-04-10,home,SDP,L,Nick Margevicius,/players/m/margeni01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
14,2019-04-11,home,COL,W,Jeff Samardzija,/players/s/samarje01.shtml,Jon Gray,/players/g/grayjo02.shtml
15,2019-04-12,home,COL,W,Travis Bergen,/players/b/bergetr01.shtml,DJ Johnson,/players/j/johnsdj01.shtml
16,2019-04-13,home,COL,W,Madison Bumgarner,/players/b/bumgama01.shtml,Kyle Freeland,/players/f/freelky01.shtml
17,2019-04-14,home,COL,L,German Marquez,/players/m/marquge01.shtml,Derek Holland,/players/h/hollade01.shtml
18,2019-04-16,away,WSN,W,Dereck Rodriguez,/players/r/rodride01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
19,2019-04-17,away,WSN,L,Jeremy Hellickson,/players/h/hellije01.shtml,Jeff Samardzija,/players/s/samarje01.shtml
20,2019-04-18,away,WSN,L,Patrick Corbin,/players/c/corbipa01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
21,2019-04-19,away,PIT,L,Jordan Lyles,/players/l/lylesjo01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
22,2019-04-20,away,PIT,L,Jameson Taillon,/players/t/taillja01.shtml,Derek Holland,/players/h/hollade01.shtml
23,2019-04-21,away,PIT,W,Dereck Rodriguez,/players/r/rodride01.shtml,Chris Archer,/players/a/archech01.shtml
24,2019-04-23,away,TOR,W,Jeff Samardzija,/players/s/samarje01.shtml,Trent Thornton,/players/t/thorntr01.shtml
25,2019-04-24,away,TOR,W,Drew Pomeranz,/players/p/pomerdr01.shtml,Clay Buchholz,/players/b/buchhcl01.shtml
26,2019-04-26,home,NYY,L,James Paxton,/players/p/paxtoja01.shtml,Madison Bumgarner,/players/b/bumgama01.shtml
27,2019-04-27,home,NYY,L,J.A. Happ,/players/h/happja01.shtml,Derek Holland,/players/h/hollade01.shtml
28,2019-04-28,home,NYY,L,Domingo German,/players/g/germado01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
29,2019-04-29,home,LAD,W,Sam Dyson,/players/d/dysonsa01.shtml,Ross Stripling,/players/s/stripro01.shtml
30,2019-04-30,home,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
31,2019-05-01,home,LAD,W,Will Smith,/players/s/smithwi04.shtml,Julio Urias,/players/u/uriasju01.shtml
32,2019-05-03,away,CIN,W,Reyes Moronta,/players/m/moronre01.shtml,Jared Hughes,/players/h/hugheja02.shtml
33,2019-05-04,away,CIN,L,Tanner Roark,/players/r/roarkta01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
34,2019-05-05,away,CIN,W,Tony Watson,/players/w/watsoto01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
35,2019-05-06,away,CIN,L,Anthony DeSclafani,/players/d/desclan01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
36,2019-05-07,away,COL,W,Madison Bumgarner,/players/b/bumgama01.shtml,Antonio Senzatela,/players/s/senzaan01.shtml
37,2019-05-09,away,COL,L,Bryan Shaw,/players/s/shawbr01.shtml,Tyler Beede,/players/b/beedety01.shtml
38,2019-05-10,home,CIN,L,Luis Castillo,/players/c/castilu02.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
39,2019-05-11,home,CIN,L,Amir Garrett,/players/g/garream01.shtml,Reyes Moronta,/players/m/moronre01.shtml
40,2019-05-12,home,CIN,W,Tony Watson,/players/w/watsoto01.shtml,David Hernandez,/players/h/hernada01.shtml
41,2019-05-14,home,TOR,L,Trent Thornton,/players/t/thorntr01.shtml,Nick Vincent,/players/v/vinceni01.shtml
42,2019-05-15,home,TOR,W,Mark Melancon,/players/m/melanma01.shtml,Ryan Tepera,/players/t/teperry01.shtml
43,2019-05-17,away,ARI,L,Merrill Kelly,/players/k/kellyme01.shtml,Jeff Samardzija,/players/s/samarje01.shtml
44,2019-05-18,away,ARI,W,Madison Bumgarner,/players/b/bumgama01.shtml,Zack Godley,/players/g/godleza01.shtml
