Overall W-L%, Home W-L%, Away W-L%
.543,.531,.556

Opponent, W-L%
ARI,.500
ATL,.333
CHC,.526
CHW,.750
CIN,.632
CLE,.667
COL,.714
DET,.333
KCR,.667
LAD,.571
MIA,.500
MIL,.421
MIN,.250
NYM,.500
PHI,.429
PIT,.579
SDP,.429
SFG,.714
WSN,.714

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,away,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Carlos Martinez,/players/m/martica04.shtml
2,2018-03-31,away,NYM,L,Jacob deGrom,/players/d/degroja01.shtml,Michael Wacha,/players/w/wachami01.shtml
3,2018-04-01,away,NYM,W,Luke Weaver,/players/w/weavelu01.shtml,Steven Matz,/players/m/matzst01.shtml
4,2018-04-02,away,MIL,W,Miles Mikolas,/players/m/mikolmi01.shtml,Zach Davies,/players/d/davieza02.shtml
5,2018-04-03,away,MIL,L,Dan Jennings,/players/j/jennida01.shtml,Dominic Leone,/players/l/leonedo01.shtml
6,2018-04-04,away,MIL,W,Carlos Martinez,/players/m/martica04.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
7,2018-04-05,home,ARI,L,Robbie Ray,/players/r/rayro02.shtml,Adam Wainwright,/players/w/wainwad01.shtml
8,2018-04-07,home,ARI,W,Michael Wacha,/players/w/wachami01.shtml,Zack Greinke,/players/g/greinza01.shtml
9,2018-04-08,home,ARI,L,Yoshihisa Hirano,/players/h/hiranyo01.shtml,Dominic Leone,/players/l/leonedo01.shtml
10,2018-04-09,home,MIL,L,Matt Albers,/players/a/alberma01.shtml,Greg Holland,/players/h/hollagr01.shtml
11,2018-04-10,home,MIL,W,Dominic Leone,/players/l/leonedo01.shtml,J.J. Hoover,/players/h/hoovejj01.shtml
12,2018-04-11,home,MIL,L,Junior Guerra,/players/g/guerrju02.shtml,Adam Wainwright,/players/w/wainwad01.shtml
13,2018-04-12,away,CIN,W,Michael Wacha,/players/w/wachami01.shtml,Austin Brice,/players/b/briceau01.shtml
14,2018-04-13,away,CIN,W,Luke Weaver,/players/w/weavelu01.shtml,Tyler Mahle,/players/m/mahlety01.shtml
15,2018-04-14,away,CIN,W,Miles Mikolas,/players/m/mikolmi01.shtml,Brandon Finnegan,/players/f/finnebr01.shtml
16,2018-04-15,away,CIN,W,Carlos Martinez,/players/m/martica04.shtml,Homer Bailey,/players/b/baileho02.shtml
17,2018-04-17,away,CHC,W,Adam Wainwright,/players/w/wainwad01.shtml,Tyler Chatwood,/players/c/chatwty01.shtml
18,2018-04-19,away,CHC,L,Jon Lester,/players/l/lestejo01.shtml,Luke Weaver,/players/w/weavelu01.shtml
19,2018-04-20,home,CIN,W,Michael Wacha,/players/w/wachami01.shtml,Brandon Finnegan,/players/f/finnebr01.shtml
20,2018-04-21,home,CIN,W,Jordan Hicks,/players/h/hicksjo03.shtml,Jared Hughes,/players/h/hugheja02.shtml
21,2018-04-22,home,CIN,W,Miles Mikolas,/players/m/mikolmi01.shtml,Luis Castillo,/players/c/castilu02.shtml
22,2018-04-24,home,NYM,L,Robert Gsellman,/players/g/gsellro01.shtml,Matt Bowman,/players/b/bowmama01.shtml
23,2018-04-25,home,NYM,W,Michael Wacha,/players/w/wachami01.shtml,Steven Matz,/players/m/matzst01.shtml
24,2018-04-26,home,NYM,W,John Gant,/players/g/gantjo01.shtml,Paul Sewald,/players/s/sewalpa01.shtml
25,2018-04-27,away,PIT,L,George Kontos,/players/k/kontoge01.shtml,Jordan Hicks,/players/h/hicksjo03.shtml
26,2018-04-28,away,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Jack Flaherty,/players/f/flaheja01.shtml
27,2018-04-29,away,PIT,L,Nick Kingham,/players/k/kinghni01.shtml,Luke Weaver,/players/w/weavelu01.shtml
28,2018-05-01,home,CHW,W,Bud Norris,/players/n/norribu01.shtml,Joakim Soria,/players/s/soriajo01.shtml
29,2018-05-02,home,CHW,W,Carlos Martinez,/players/m/martica04.shtml,Lucas Giolito,/players/g/giolilu01.shtml
30,2018-05-04,home,CHC,W,Miles Mikolas,/players/m/mikolmi01.shtml,Jose Quintana,/players/q/quintjo01.shtml
31,2018-05-05,home,CHC,W,Tyler Lyons,/players/l/lyonsty01.shtml,Luke Farrell,/players/f/farrelu01.shtml
32,2018-05-06,home,CHC,W,Mike Mayers,/players/m/mayermi01.shtml,Luke Farrell,/players/f/farrelu01.shtml
33,2018-05-07,home,MIN,L,Fernando Romero,/players/r/romerfe01.shtml,John Gant,/players/g/gantjo01.shtml
34,2018-05-08,home,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Carlos Martinez,/players/m/martica04.shtml
35,2018-05-10,away,SDP,W,Miles Mikolas,/players/m/mikolmi01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
36,2018-05-11,away,SDP,W,Luke Weaver,/players/w/weavelu01.shtml,Eric Lauer,/players/l/lauerer01.shtml
37,2018-05-12,away,SDP,L,Adam Cimber,/players/c/cimbead01.shtml,John Brebbia,/players/b/brebbjo01.shtml
38,2018-05-13,away,SDP,L,Clayton Richard,/players/r/richacl01.shtml,Adam Wainwright,/players/w/wainwad01.shtml
39,2018-05-15,away,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Brett Cecil,/players/c/cecilbr01.shtml
40,2018-05-16,away,MIN,W,Jordan Hicks,/players/h/hicksjo03.shtml,Lance Lynn,/players/l/lynnla01.shtml
41,2018-05-17,home,PHI,L,Vince Velasquez,/players/v/velasvi01.shtml,Luke Weaver,/players/w/weavelu01.shtml
42,2018-05-18,home,PHI,W,Michael Wacha,/players/w/wachami01.shtml,Jake Arrieta,/players/a/arrieja01.shtml
43,2018-05-19,home,PHI,L,Tommy Hunter,/players/h/hunteto02.shtml,Greg Holland,/players/h/hollagr01.shtml
44,2018-05-20,home,PHI,W,Jack Flaherty,/players/f/flaheja01.shtml,Aaron Nola,/players/n/nolaaa01.shtml
45,2018-05-21,home,KCR,W,Miles Mikolas,/players/m/mikolmi01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
46,2018-05-22,home,KCR,L,Jason Hammel,/players/h/hammeja01.shtml,Luke Weaver,/players/w/weavelu01.shtml
47,2018-05-23,home,KCR,L,Blaine Boyer,/players/b/boyerbl01.shtml,Bud Norris,/players/n/norribu01.shtml
48,2018-05-25,away,PIT,L,Joe Musgrove,/players/m/musgrjo01.shtml,John Gant,/players/g/gantjo01.shtml
49,2018-05-26,away,PIT,W,Jack Flaherty,/players/f/flaheja01.shtml,Trevor Williams,/players/w/willitr01.shtml
50,2018-05-27,away,PIT,W,Sam Tuivailala,/players/t/tuivasa01.shtml,Michael Feliz,/players/f/felizmi01.shtml
51,2018-05-28,away,MIL,L,Brent Suter,/players/s/suterbr01.shtml,Luke Weaver,/players/w/weavelu01.shtml
52,2018-05-29,away,MIL,W,Michael Wacha,/players/w/wachami01.shtml,Zach Davies,/players/d/davieza02.shtml
53,2018-05-30,away,MIL,L,Jeremy Jeffress,/players/j/jeffrje01.shtml,Sam Tuivailala,/players/t/tuivasa01.shtml
54,2018-05-31,home,PIT,W,Mike Mayers,/players/m/mayermi01.shtml,Felipe Vazquez,/players/r/riverfe01.shtml
55,2018-06-01,home,PIT,L,Jameson Taillon,/players/t/taillja01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
56,2018-06-02,home,PIT,W,Bud Norris,/players/n/norribu01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
57,2018-06-03,home,PIT,W,Michael Wacha,/players/w/wachami01.shtml,Nick Kingham,/players/k/kinghni01.shtml
58,2018-06-05,home,MIA,L,Jose Urena,/players/u/urenajo01.shtml,Preston Guilmet,/players/g/guilmpr01.shtml
59,2018-06-06,home,MIA,L,Drew Rucinski,/players/r/rucindr01.shtml,Jack Flaherty,/players/f/flaheja01.shtml
60,2018-06-07,home,MIA,W,Miles Mikolas,/players/m/mikolmi01.shtml,Trevor Richards,/players/r/richatr01.shtml
61,2018-06-08,away,CIN,W,Bud Norris,/players/n/norribu01.shtml,Raisel Iglesias,/players/i/iglesra01.shtml
62,2018-06-09,away,CIN,W,Michael Wacha,/players/w/wachami01.shtml,Luis Castillo,/players/c/castilu02.shtml
63,2018-06-10,away,CIN,L,Anthony DeSclafani,/players/d/desclan01.shtml,Carlos Martinez,/players/m/martica04.shtml
64,2018-06-11,home,SDP,W,Jack Flaherty,/players/f/flaheja01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
65,2018-06-12,home,SDP,L,Adam Cimber,/players/c/cimbead01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
66,2018-06-13,home,SDP,L,Eric Lauer,/players/l/lauerer01.shtml,Luke Weaver,/players/w/weavelu01.shtml
67,2018-06-15,home,CHC,L,Jon Lester,/players/l/lestejo01.shtml,Michael Wacha,/players/w/wachami01.shtml
68,2018-06-16,home,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Sam Tuivailala,/players/t/tuivasa01.shtml
69,2018-06-17,home,CHC,W,John Brebbia,/players/b/brebbjo01.shtml,Jose Quintana,/players/q/quintjo01.shtml
70,2018-06-18,away,PHI,L,Jake Thompson,/players/t/thompja03.shtml,Matt Bowman,/players/b/bowmama01.shtml
71,2018-06-19,away,PHI,W,Jordan Hicks,/players/h/hicksjo03.shtml,Seranthony Dominguez,/players/d/dominse01.shtml
