Overall W-L%, Home W-L%, Away W-L%
.562,.617,.506

Opponent, W-L%
ARI,.500
ATL,.333
CHC,.526
CIN,.632
COL,.714
HOU,.333
KCR,.750
LAA,.667
LAD,.571
MIA,.571
MIL,.526
NYM,.714
OAK,.000
PHI,.333
PIT,.737
SDP,.333
SEA,.667
SFG,.571
TEX,.333
WSN,.714

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,away,MIL,L,Jhoulys Chacin,/players/c/chacijh01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
2,2019-03-29,away,MIL,W,John Gant,/players/g/gantjo01.shtml,Taylor Williams,/players/w/willita01.shtml
3,2019-03-30,away,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Dakota Hudson,/players/h/hudsoda02.shtml
4,2019-03-31,away,MIL,L,Jacob Barnes,/players/b/barneja01.shtml,Jordan Hicks,/players/h/hicksjo03.shtml
5,2019-04-01,away,PIT,W,Jordan Hicks,/players/h/hicksjo03.shtml,Steven Brault,/players/b/braulst01.shtml
6,2019-04-03,away,PIT,W,John Gant,/players/g/gantjo01.shtml,Nick Burdi,/players/b/burdini01.shtml
7,2019-04-05,home,SDP,L,Robert Stock,/players/s/stockro01.shtml,Alex Reyes,/players/r/reyesal02.shtml
8,2019-04-06,home,SDP,L,Matt Wisler,/players/w/wislema01.shtml,Andrew Miller,/players/m/millean01.shtml
9,2019-04-07,home,SDP,W,Adam Wainwright,/players/w/wainwad01.shtml,Matt Strahm,/players/s/strahma01.shtml
10,2019-04-08,home,LAD,W,Miles Mikolas,/players/m/mikolmi01.shtml,Joe Kelly,/players/k/kellyjo05.shtml
11,2019-04-09,home,LAD,W,John Brebbia,/players/b/brebbjo01.shtml,Ross Stripling,/players/s/stripro01.shtml
12,2019-04-10,home,LAD,W,Jack Flaherty,/players/f/flaheja01.shtml,Kenta Maeda,/players/m/maedake01.shtml
13,2019-04-11,home,LAD,W,Giovanny Gallegos,/players/g/gallegi01.shtml,Pedro Baez,/players/b/baezpe01.shtml
14,2019-04-13,away,CIN,L,Jared Hughes,/players/h/hugheja02.shtml,Adam Wainwright,/players/w/wainwad01.shtml
15,2019-04-14,away,CIN,W,John Gant,/players/g/gantjo01.shtml,Amir Garrett,/players/g/garream01.shtml
16,2019-04-15,away,MIL,L,Junior Guerra,/players/g/guerrju02.shtml,Mike Mayers,/players/m/mayermi01.shtml
17,2019-04-16,away,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Jack Flaherty,/players/f/flaheja01.shtml
18,2019-04-17,away,MIL,W,Michael Wacha,/players/w/wachami01.shtml,Corbin Burnes,/players/b/burneco01.shtml
19,2019-04-19,home,NYM,L,Seth Lugo,/players/l/lugose01.shtml,Adam Wainwright,/players/w/wainwad01.shtml
20,2019-04-20,home,NYM,W,Miles Mikolas,/players/m/mikolmi01.shtml,Chris Flexen,/players/f/flexech01.shtml
21,2019-04-21,home,NYM,W,Dakota Hudson,/players/h/hudsoda02.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
22,2019-04-22,home,MIL,W,Jack Flaherty,/players/f/flaheja01.shtml,Adrian Houser,/players/h/housead01.shtml
23,2019-04-23,home,MIL,W,Andrew Miller,/players/m/millean01.shtml,Alex Wilson,/players/w/wilsoal01.shtml
24,2019-04-24,home,MIL,W,Adam Wainwright,/players/w/wainwad01.shtml,Jhoulys Chacin,/players/c/chacijh01.shtml
25,2019-04-26,home,CIN,L,Anthony DeSclafani,/players/d/desclan01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
26,2019-04-27,home,CIN,W,Dakota Hudson,/players/h/hudsoda02.shtml,Tyler Mahle,/players/m/mahlety01.shtml
27,2019-04-28,home,CIN,W,Jack Flaherty,/players/f/flaheja01.shtml,Sonny Gray,/players/g/grayso01.shtml
28,2019-04-29,away,WSN,W,Michael Wacha,/players/w/wachami01.shtml,Patrick Corbin,/players/c/corbipa01.shtml
29,2019-04-30,away,WSN,W,Adam Wainwright,/players/w/wainwad01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
30,2019-05-01,away,WSN,W,Miles Mikolas,/players/m/mikolmi01.shtml,Max Scherzer,/players/s/scherma01.shtml
31,2019-05-02,away,WSN,L,Stephen Strasburg,/players/s/strasst01.shtml,Dakota Hudson,/players/h/hudsoda02.shtml
32,2019-05-03,away,CHC,L,Kyle Hendricks,/players/h/hendrky01.shtml,Jack Flaherty,/players/f/flaheja01.shtml
33,2019-05-04,away,CHC,L,Brandon Kintzler,/players/k/kintzbr01.shtml,John Brebbia,/players/b/brebbjo01.shtml
34,2019-05-05,away,CHC,L,Jose Quintana,/players/q/quintjo01.shtml,Adam Wainwright,/players/w/wainwad01.shtml
35,2019-05-06,home,PHI,W,Miles Mikolas,/players/m/mikolmi01.shtml,Vince Velasquez,/players/v/velasvi01.shtml
36,2019-05-07,home,PHI,L,Aaron Nola,/players/n/nolaaa01.shtml,Dakota Hudson,/players/h/hudsoda02.shtml
37,2019-05-08,home,PHI,L,Jerad Eickhoff,/players/e/eickhje01.shtml,Jack Flaherty,/players/f/flaheja01.shtml
38,2019-05-09,home,PIT,W,Michael Wacha,/players/w/wachami01.shtml,Joe Musgrove,/players/m/musgrjo01.shtml
39,2019-05-10,home,PIT,L,Trevor Williams,/players/w/willitr01.shtml,Andrew Miller,/players/m/millean01.shtml
40,2019-05-11,home,PIT,L,Jordan Lyles,/players/l/lylesjo01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
41,2019-05-12,home,PIT,L,Chris Stratton,/players/s/stratch01.shtml,John Brebbia,/players/b/brebbjo01.shtml
42,2019-05-14,away,ATL,W,Jack Flaherty,/players/f/flaheja01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
43,2019-05-15,away,ATL,L,Mike Soroka,/players/s/sorokmi01.shtml,Michael Wacha,/players/w/wachami01.shtml
44,2019-05-16,away,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Adam Wainwright,/players/w/wainwad01.shtml
45,2019-05-17,away,TEX,L,Adrian Sampson,/players/s/sampsad01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
