Overall W-L%, Home W-L%, Away W-L%
.593,.593,.593

Opponent, W-L%
ARI,.667
BAL,.632
BOS,.632
CHW,.667
CLE,.857
COL,.667
DET,.667
HOU,.571
KCR,.571
LAA,.571
LAD,.500
MIA,1.000
MIN,.286
NYY,.368
OAK,.429
SDP,.667
SEA,.667
SFG,.667
TEX,.500
TOR,.684

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Blake Snell,/players/s/snellbl01.shtml
2,2019-03-29,home,HOU,W,Charlie Morton,/players/m/mortoch02.shtml,Gerrit Cole,/players/c/colege01.shtml
3,2019-03-30,home,HOU,W,Tyler Glasnow,/players/g/glasnty01.shtml,Collin McHugh,/players/m/mchugco01.shtml
4,2019-03-31,home,HOU,W,Yonny Chirinos,/players/c/chiriyo01.shtml,Wade Miley,/players/m/mileywa01.shtml
5,2019-04-01,home,COL,W,Ryan Yarbrough,/players/y/yarbrry01.shtml,Chad Bettis,/players/b/bettich01.shtml
6,2019-04-02,home,COL,W,Blake Snell,/players/s/snellbl01.shtml,Kyle Freeland,/players/f/freelky01.shtml
7,2019-04-03,home,COL,L,Wade Davis,/players/d/daviswa01.shtml,Chaz Roe,/players/r/roech01.shtml
8,2019-04-05,away,SFG,W,Tyler Glasnow,/players/g/glasnty01.shtml,Dereck Rodriguez,/players/r/rodride01.shtml
9,2019-04-06,away,SFG,L,Travis Bergen,/players/b/bergetr01.shtml,Ryan Yarbrough,/players/y/yarbrry01.shtml
10,2019-04-07,away,SFG,W,Yonny Chirinos,/players/c/chiriyo01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
11,2019-04-08,away,CHW,W,Blake Snell,/players/s/snellbl01.shtml,Carlos Rodon,/players/r/rodonca01.shtml
12,2019-04-09,away,CHW,W,Charlie Morton,/players/m/mortoch02.shtml,Ervin Santana,/players/s/santaer01.shtml
13,2019-04-10,away,CHW,W,Tyler Glasnow,/players/g/glasnty01.shtml,Reynaldo Lopez,/players/l/lopezre01.shtml
14,2019-04-12,away,TOR,W,Ryan Yarbrough,/players/y/yarbrry01.shtml,Trent Thornton,/players/t/thorntr01.shtml
15,2019-04-13,away,TOR,L,Thomas Pannone,/players/p/pannoth01.shtml,Chaz Roe,/players/r/roech01.shtml
16,2019-04-14,away,TOR,W,Adam Kolarek,/players/k/kolarad01.shtml,Marcus Stroman,/players/s/stromma01.shtml
17,2019-04-16,home,BAL,W,Tyler Glasnow,/players/g/glasnty01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
18,2019-04-17,home,BAL,W,Yonny Chirinos,/players/c/chiriyo01.shtml,David Hess,/players/h/hessda01.shtml
19,2019-04-18,home,BAL,L,John Means,/players/m/meansjo01.shtml,Diego Castillo,/players/c/castidi01.shtml
20,2019-04-19,home,BOS,L,Brandon Workman,/players/w/workmbr01.shtml,Diego Castillo,/players/c/castidi01.shtml
21,2019-04-20,home,BOS,L,Matt Barnes,/players/b/barnema01.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
22,2019-04-21,home,BOS,L,Marcus Walden,/players/w/waldema01.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
23,2019-04-22,home,KCR,W,Wilmer Font,/players/f/fontwi01.shtml,Brad Keller,/players/k/kellebr01.shtml
24,2019-04-23,home,KCR,W,Jalen Beeks,/players/b/beeksja02.shtml,Homer Bailey,/players/b/baileho02.shtml
25,2019-04-24,home,KCR,L,Jakob Junis,/players/j/junisja01.shtml,Blake Snell,/players/s/snellbl01.shtml
26,2019-04-27,away,BOS,W,Charlie Morton,/players/m/mortoch02.shtml,David Price,/players/p/priceda01.shtml
27,2019-04-28,away,BOS,W,Tyler Glasnow,/players/g/glasnty01.shtml,Chris Sale,/players/s/salech01.shtml
28,2019-04-29,away,KCR,W,Yonny Chirinos,/players/c/chiriyo01.shtml,Brad Keller,/players/k/kellebr01.shtml
29,2019-05-01,away,KCR,L,Jakob Junis,/players/j/junisja01.shtml,Ryne Stanek,/players/s/stanery01.shtml
30,2019-05-01,away,KCR,L,Glenn Sparkman,/players/s/sparkgl01.shtml,Blake Snell,/players/s/snellbl01.shtml
31,2019-05-02,away,KCR,W,Adam Kolarek,/players/k/kolarad01.shtml,Wily Peralta,/players/p/peralwi01.shtml
32,2019-05-03,away,BAL,W,Tyler Glasnow,/players/g/glasnty01.shtml,Dan Straily,/players/s/straida01.shtml
33,2019-05-04,away,BAL,L,Dylan Bundy,/players/b/bundydy01.shtml,Yonny Chirinos,/players/c/chiriyo01.shtml
34,2019-05-06,home,ARI,W,Blake Snell,/players/s/snellbl01.shtml,Merrill Kelly,/players/k/kellyme01.shtml
35,2019-05-07,home,ARI,W,Jalen Beeks,/players/b/beeksja02.shtml,Taylor Clarke,/players/c/clarkta01.shtml
36,2019-05-08,home,ARI,L,Archie Bradley,/players/b/bradlar01.shtml,Adam Kolarek,/players/k/kolarad01.shtml
37,2019-05-10,home,NYY,L,Domingo German,/players/g/germado01.shtml,Tyler Glasnow,/players/g/glasnty01.shtml
38,2019-05-11,home,NYY,W,Yonny Chirinos,/players/c/chiriyo01.shtml,Jonathan Holder,/players/h/holdejo02.shtml
39,2019-05-12,home,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,Blake Snell,/players/s/snellbl01.shtml
40,2019-05-14,away,MIA,W,Charlie Morton,/players/m/mortoch02.shtml,Caleb Smith,/players/s/smithca03.shtml
41,2019-05-15,away,MIA,W,Jalen Beeks,/players/b/beeksja02.shtml,Jose Urena,/players/u/urenajo01.shtml
42,2019-05-17,away,NYY,L,Jonathan Holder,/players/h/holdejo02.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
43,2019-05-18,away,NYY,W,Hunter Wood,/players/w/woodhu01.shtml,Luis Cessa,/players/c/cessalu01.shtml
44,2019-05-19,away,NYY,L,Adam Ottavino,/players/o/ottavad01.shtml,Diego Castillo,/players/c/castidi01.shtml
45,2019-05-21,home,LAD,L,Clayton Kershaw,/players/k/kershcl01.shtml,Hunter Wood,/players/w/woodhu01.shtml
46,2019-05-22,home,LAD,W,Emilio Pagan,/players/p/paganem01.shtml,Dylan Floro,/players/f/florody01.shtml
47,2019-05-23,away,CLE,W,Ryan Yarbrough,/players/y/yarbrry01.shtml,Adam Plutko,/players/p/plutkad01.shtml
48,2019-05-24,away,CLE,L,A.J. Cole,/players/c/coleaj01.shtml,Jose Alvarado,/players/a/alvarjo03.shtml
49,2019-05-25,away,CLE,W,Charlie Morton,/players/m/mortoch02.shtml,Carlos Carrasco,/players/c/carraca01.shtml
50,2019-05-26,away,CLE,W,Jalen Beeks,/players/b/beeksja02.shtml,Trevor Bauer,/players/b/bauertr01.shtml
51,2019-05-27,home,TOR,W,Yonny Chirinos,/players/c/chiriyo01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
52,2019-05-28,home,TOR,W,Ryan Yarbrough,/players/y/yarbrry01.shtml,Clayton Richard,/players/r/richacl01.shtml
53,2019-05-29,home,TOR,W,Diego Castillo,/players/c/castidi01.shtml,Justin Shafer,/players/s/shafeju01.shtml
54,2019-05-30,home,MIN,W,Charlie Morton,/players/m/mortoch02.shtml,Martin Perez,/players/p/perezma02.shtml
55,2019-05-31,home,MIN,L,Taylor Rogers,/players/r/rogerta01.shtml,Diego Castillo,/players/c/castidi01.shtml
56,2019-06-01,home,MIN,L,Kyle Gibson,/players/g/gibsoky01.shtml,Yonny Chirinos,/players/c/chiriyo01.shtml
57,2019-06-02,home,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Ryan Yarbrough,/players/y/yarbrry01.shtml
58,2019-06-04,away,DET,L,Ryan Carpenter,/players/c/carpery01.shtml,Blake Snell,/players/s/snellbl01.shtml
59,2019-06-05,away,DET,W,Charlie Morton,/players/m/mortoch02.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
60,2019-06-06,away,DET,W,Jalen Beeks,/players/b/beeksja02.shtml,Daniel Norris,/players/n/norrida01.shtml
61,2019-06-07,away,BOS,W,Yonny Chirinos,/players/c/chiriyo01.shtml,Rick Porcello,/players/p/porceri01.shtml
62,2019-06-08,away,BOS,W,Ryan Yarbrough,/players/y/yarbrry01.shtml,Josh Smith,/players/s/smithjo07.shtml
63,2019-06-08,away,BOS,L,David Price,/players/p/priceda01.shtml,Colin Poche,/players/p/pocheco01.shtml
64,2019-06-09,away,BOS,W,Blake Snell,/players/s/snellbl01.shtml,Eduardo Rodriguez,/players/r/rodried05.shtml
65,2019-06-10,home,OAK,W,Charlie Morton,/players/m/mortoch02.shtml,Tanner Anderson,/players/a/anderta01.shtml
66,2019-06-11,home,OAK,L,Mike Fiers,/players/f/fiersmi01.shtml,Emilio Pagan,/players/p/paganem01.shtml
67,2019-06-12,home,OAK,L,Liam Hendriks,/players/h/hendrli01.shtml,Adam Kolarek,/players/k/kolarad01.shtml
68,2019-06-13,home,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Ryan Yarbrough,/players/y/yarbrry01.shtml
69,2019-06-14,home,LAA,W,Emilio Pagan,/players/p/paganem01.shtml,Ty Buttrey,/players/b/buttrty01.shtml
