Overall W-L%, Home W-L%, Away W-L%
.414,.420,.407

Opponent, W-L%
ARI,.500
BAL,.571
BOS,.143
CHW,.429
CLE,.333
COL,.667
DET,.571
HOU,.368
KCR,.714
LAA,.316
LAD,.000
MIN,.667
NYY,.429
OAK,.316
SDP,.667
SEA,.474
SFG,.333
TBR,.167
TOR,.500

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,HOU,L,Justin Verlander,/players/v/verlaju01.shtml,Cole Hamels,/players/h/hamelco01.shtml
2,2018-03-30,home,HOU,W,Doug Fister,/players/f/fistedo01.shtml,Dallas Keuchel,/players/k/keuchda01.shtml
3,2018-03-31,home,HOU,L,Lance McCullers,/players/m/mcculla02.shtml,Matt Moore,/players/m/moorema02.shtml
4,2018-04-01,home,HOU,L,Gerrit Cole,/players/c/colege01.shtml,Mike Minor,/players/m/minormi01.shtml
5,2018-04-02,away,OAK,L,Chris Hatcher,/players/h/hatchch02.shtml,Kevin Jepsen,/players/j/jepseke01.shtml
6,2018-04-03,away,OAK,W,Cole Hamels,/players/h/hamelco01.shtml,Kendall Graveman,/players/g/graveke01.shtml
7,2018-04-04,away,OAK,L,Sean Manaea,/players/m/manaese01.shtml,Doug Fister,/players/f/fistedo01.shtml
8,2018-04-05,away,OAK,W,Martin Perez,/players/p/perezma02.shtml,Daniel Mengden,/players/m/mengdda01.shtml
9,2018-04-06,home,TOR,L,Marco Estrada,/players/e/estrama01.shtml,Matt Moore,/players/m/moorema02.shtml
10,2018-04-07,home,TOR,W,Mike Minor,/players/m/minormi01.shtml,Marcus Stroman,/players/s/stromma01.shtml
11,2018-04-08,home,TOR,L,Jaime Garcia,/players/g/garcija02.shtml,Cole Hamels,/players/h/hamelco01.shtml
12,2018-04-09,home,LAA,L,Jose Alvarez,/players/a/alvarjo02.shtml,Doug Fister,/players/f/fistedo01.shtml
13,2018-04-10,home,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Martin Perez,/players/p/perezma02.shtml
14,2018-04-11,home,LAA,L,Jaime Barria,/players/b/barrija01.shtml,Matt Moore,/players/m/moorema02.shtml
15,2018-04-13,away,HOU,L,Joe Smith,/players/s/smithjo05.shtml,Kevin Jepsen,/players/j/jepseke01.shtml
16,2018-04-14,away,HOU,W,Keone Kela,/players/k/kelake01.shtml,Will Harris,/players/h/harriwi10.shtml
17,2018-04-15,away,HOU,W,Keone Kela,/players/k/kelake01.shtml,Hector Rondon,/players/r/rondohe01.shtml
18,2018-04-16,away,TBR,L,Blake Snell,/players/s/snellbl01.shtml,Martin Perez,/players/p/perezma02.shtml
19,2018-04-17,away,TBR,W,Matt Moore,/players/m/moorema02.shtml,Yonny Chirinos,/players/c/chiriyo01.shtml
20,2018-04-18,away,TBR,L,Jake Faria,/players/f/fariaja01.shtml,Cole Hamels,/players/h/hamelco01.shtml
21,2018-04-20,home,SEA,L,Juan Nicasio,/players/n/nicasju01.shtml,Keone Kela,/players/k/kelake01.shtml
22,2018-04-21,home,SEA,L,Chasen Bradford,/players/b/bradfch02.shtml,Alex Claudio,/players/c/claudal01.shtml
23,2018-04-22,home,SEA,W,Martin Perez,/players/p/perezma02.shtml,Erasmo Ramirez,/players/r/ramirer02.shtml
24,2018-04-23,home,OAK,L,Ryan Buchter,/players/b/buchtry01.shtml,Kevin Jepsen,/players/j/jepseke01.shtml
25,2018-04-24,home,OAK,L,Andrew Triggs,/players/t/triggan01.shtml,Cole Hamels,/players/h/hamelco01.shtml
