Overall W-L%, Home W-L%, Away W-L%
.481,.556,.407

Opponent, W-L%
ARI,.250
BAL,.857
BOS,.429
CHC,.667
CHW,.429
CIN,.667
CLE,.429
DET,1.000
HOU,.316
KCR,.714
LAA,.526
MIL,.333
MIN,.143
NYY,.500
OAK,.316
PIT,.250
SEA,.579
STL,.667
TBR,.500
TOR,.500

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,CHC,L,Jon Lester,/players/l/lestejo01.shtml,Mike Minor,/players/m/minormi01.shtml
2,2019-03-30,home,CHC,W,Shawn Kelley,/players/k/kellesh01.shtml,Carl Edwards,/players/e/edwarca01.shtml
3,2019-03-31,home,CHC,W,Jose Leclerc,/players/l/leclejo01.shtml,Pedro Strop,/players/s/stroppe01.shtml
4,2019-04-01,home,HOU,L,Brad Peacock,/players/p/peacobr01.shtml,Adrian Sampson,/players/s/sampsad01.shtml
5,2019-04-02,home,HOU,W,Shawn Kelley,/players/k/kellesh01.shtml,Framber Valdez,/players/v/valdefr01.shtml
6,2019-04-03,home,HOU,W,Mike Minor,/players/m/minormi01.shtml,Gerrit Cole,/players/c/colege01.shtml
7,2019-04-04,away,LAA,W,Jeffrey Springs,/players/s/sprinje01.shtml,Matt Harvey,/players/h/harvema01.shtml
8,2019-04-05,away,LAA,L,Justin Anderson,/players/a/anderju01.shtml,Lance Lynn,/players/l/lynnla01.shtml
9,2019-04-06,away,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Drew Smyly,/players/s/smylydr01.shtml
10,2019-04-07,away,LAA,L,Justin Anderson,/players/a/anderju01.shtml,Shelby Miller,/players/m/millesh01.shtml
11,2019-04-09,away,ARI,L,Matt Andriese,/players/a/andrima01.shtml,Jose Leclerc,/players/l/leclejo01.shtml
12,2019-04-10,away,ARI,W,Lance Lynn,/players/l/lynnla01.shtml,Andrew Chafin,/players/c/chafian01.shtml
13,2019-04-12,home,OAK,L,Lou Trivino,/players/t/trivilo01.shtml,Chris Martin,/players/m/martich02.shtml
14,2019-04-14,home,OAK,W,Jeffrey Springs,/players/s/sprinje01.shtml,Joakim Soria,/players/s/soriajo01.shtml
15,2019-04-15,home,LAA,W,Kyle Dowdy,/players/d/dowdyky01.shtml,Cam Bedrosian,/players/b/bedroca01.shtml
