Overall W-L%, Home W-L%, Away W-L%
.451,.494,.407

Opponent, W-L%
ATL,.500
BAL,.737
BOS,.211
CHW,.667
CLE,.571
DET,.429
HOU,.333
KCR,.714
LAA,.429
MIA,.667
MIN,.333
NYM,.500
NYY,.316
OAK,.000
PHI,.667
SEA,.571
TBR,.316
TEX,.500
WSN,1.000

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-29,home,NYY,L,Luis Severino,/players/s/severlu01.shtml,J.A. Happ,/players/h/happja01.shtml
2,2018-03-30,home,NYY,L,Masahiro Tanaka,/players/t/tanakma01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
3,2018-03-31,home,NYY,W,Ryan Tepera,/players/t/teperry01.shtml,Dellin Betances,/players/b/betande01.shtml
4,2018-04-01,home,NYY,W,Tyler Clippard,/players/c/clippty01.shtml,David Robertson,/players/r/roberda08.shtml
5,2018-04-02,home,CHW,W,Seunghwan Oh,/players/o/ohse01.shtml,Danny Farquhar,/players/f/farquda01.shtml
6,2018-04-03,home,CHW,W,J.A. Happ,/players/h/happja01.shtml,Miguel Gonzalez,/players/g/gonzami03.shtml
7,2018-04-04,home,CHW,L,Nate Jones,/players/j/jonesna01.shtml,Ryan Tepera,/players/t/teperry01.shtml
8,2018-04-06,away,TEX,W,Marco Estrada,/players/e/estrama01.shtml,Matt Moore,/players/m/moorema02.shtml
9,2018-04-07,away,TEX,L,Mike Minor,/players/m/minormi01.shtml,Marcus Stroman,/players/s/stromma01.shtml
10,2018-04-08,away,TEX,W,Jaime Garcia,/players/g/garcija02.shtml,Cole Hamels,/players/h/hamelco01.shtml
11,2018-04-09,away,BAL,W,J.A. Happ,/players/h/happja01.shtml,Dylan Bundy,/players/b/bundydy01.shtml
12,2018-04-10,away,BAL,W,Aaron Sanchez,/players/s/sanchaa01.shtml,Darren O'Day,/players/o/odayda01.shtml
13,2018-04-11,away,BAL,L,Kevin Gausman,/players/g/gausmke01.shtml,Marco Estrada,/players/e/estrama01.shtml
14,2018-04-13,away,CLE,W,Danny Barnes,/players/b/barneda02.shtml,Zach McAllister,/players/m/mcallza01.shtml
15,2018-04-17,home,KCR,W,Jaime Garcia,/players/g/garcija02.shtml,Eric Skoglund,/players/s/skogler01.shtml
16,2018-04-17,home,KCR,W,Tyler Clippard,/players/c/clippty01.shtml,Brian Flynn,/players/f/flynnbr01.shtml
17,2018-04-18,home,KCR,W,J.A. Happ,/players/h/happja01.shtml,Ian Kennedy,/players/k/kenneia01.shtml
18,2018-04-19,away,NYY,L,Chad Green,/players/g/greench03.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
19,2018-04-20,away,NYY,W,Marco Estrada,/players/e/estrama01.shtml,Domingo German,/players/g/germado01.shtml
20,2018-04-21,away,NYY,L,Jordan Montgomery,/players/m/montgjo01.shtml,Marcus Stroman,/players/s/stromma01.shtml
21,2018-04-22,away,NYY,L,Luis Severino,/players/s/severlu01.shtml,Jaime Garcia,/players/g/garcija02.shtml
22,2018-04-24,home,BOS,W,Tyler Clippard,/players/c/clippty01.shtml,Craig Kimbrel,/players/k/kimbrcr01.shtml
23,2018-04-25,home,BOS,L,Eduardo Rodriguez,/players/r/rodried05.shtml,Danny Barnes,/players/b/barneda02.shtml
24,2018-04-26,home,BOS,L,Chris Sale,/players/s/salech01.shtml,Marco Estrada,/players/e/estrama01.shtml
25,2018-04-27,home,TEX,L,Mike Minor,/players/m/minormi01.shtml,Marcus Stroman,/players/s/stromma01.shtml
26,2018-04-28,home,TEX,L,Bartolo Colon,/players/c/colonba01.shtml,Jaime Garcia,/players/g/garcija02.shtml
27,2018-04-29,home,TEX,W,J.A. Happ,/players/h/happja01.shtml,Martin Perez,/players/p/perezma02.shtml
28,2018-04-30,away,MIN,W,Aaron Sanchez,/players/s/sanchaa01.shtml,Lance Lynn,/players/l/lynnla01.shtml
29,2018-05-01,away,MIN,W,Tyler Clippard,/players/c/clippty01.shtml,John Curtiss,/players/c/curtijo02.shtml
30,2018-05-02,away,MIN,L,Fernando Romero,/players/r/romerfe01.shtml,Marcus Stroman,/players/s/stromma01.shtml
31,2018-05-03,away,CLE,W,Tim Mayza,/players/m/mayzati01.shtml,Tyler Olson,/players/o/olsonty01.shtml
32,2018-05-03,away,CLE,L,Adam Plutko,/players/p/plutkad01.shtml,Joe Biagini,/players/b/biagijo01.shtml
33,2018-05-04,away,TBR,L,Ryan Yarbrough,/players/y/yarbrry01.shtml,J.A. Happ,/players/h/happja01.shtml
34,2018-05-05,away,TBR,L,Jake Faria,/players/f/fariaja01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
35,2018-05-06,away,TBR,W,Ryan Tepera,/players/t/teperry01.shtml,Alex Colome,/players/c/colomal01.shtml
36,2018-05-08,home,SEA,L,James Paxton,/players/p/paxtoja01.shtml,Marcus Stroman,/players/s/stromma01.shtml
37,2018-05-09,home,SEA,W,Ryan Tepera,/players/t/teperry01.shtml,Juan Nicasio,/players/n/nicasju01.shtml
38,2018-05-10,home,SEA,L,Mike Leake,/players/l/leakemi01.shtml,J.A. Happ,/players/h/happja01.shtml
39,2018-05-11,home,BOS,W,Sam Gaviglio,/players/g/gavigsa01.shtml,Brian Johnson,/players/j/johnsbr02.shtml
40,2018-05-12,home,BOS,L,David Price,/players/p/priceda01.shtml,Marco Estrada,/players/e/estrama01.shtml
