Overall W-L%, Home W-L%, Away W-L%
.414,.432,.395

Opponent, W-L%
ARI,.000
ATL,.250
BAL,.579
BOS,.421
CHW,.429
CLE,.143
COL,.000
DET,.571
HOU,.333
KCR,.857
LAA,.143
LAD,.000
MIN,.429
NYY,.421
OAK,1.000
SDP,.333
SEA,.333
SFG,.250
TBR,.316
TEX,.500

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,DET,L,Victor Alcantara,/players/a/alcanvi01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
2,2019-03-29,home,DET,W,Matt Shoemaker,/players/s/shoemma01.shtml,Matthew Boyd,/players/b/boydma01.shtml
3,2019-03-30,home,DET,W,Aaron Sanchez,/players/s/sanchaa01.shtml,Spencer Turnbull,/players/t/turnbsp01.shtml
4,2019-03-31,home,DET,L,Daniel Stumpf,/players/s/stumpda01.shtml,Thomas Pannone,/players/p/pannoth01.shtml
5,2019-04-01,home,BAL,L,David Hess,/players/h/hessda01.shtml,Sean Reid-Foley,/players/r/reidfse01.shtml
6,2019-04-02,home,BAL,L,Andrew Cashner,/players/c/cashnan01.shtml,Marcus Stroman,/players/s/stromma01.shtml
7,2019-04-03,home,BAL,W,Matt Shoemaker,/players/s/shoemma01.shtml,Nate Karns,/players/k/karnsna01.shtml
8,2019-04-04,away,CLE,L,Trevor Bauer,/players/b/bauertr01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
9,2019-04-05,away,CLE,L,Adam Cimber,/players/c/cimbead01.shtml,Joe Biagini,/players/b/biagijo01.shtml
10,2019-04-06,away,CLE,L,Carlos Carrasco,/players/c/carraca01.shtml,Thomas Pannone,/players/p/pannoth01.shtml
11,2019-04-07,away,CLE,L,Mike Clevinger,/players/c/clevimi01.shtml,Marcus Stroman,/players/s/stromma01.shtml
12,2019-04-09,away,BOS,W,Matt Shoemaker,/players/s/shoemma01.shtml,Chris Sale,/players/s/salech01.shtml
13,2019-04-11,away,BOS,L,Marcus Walden,/players/w/waldema01.shtml,Ken Giles,/players/g/gileske01.shtml
14,2019-04-12,home,TBR,L,Ryan Yarbrough,/players/y/yarbrry01.shtml,Trent Thornton,/players/t/thorntr01.shtml
15,2019-04-13,home,TBR,W,Thomas Pannone,/players/p/pannoth01.shtml,Chaz Roe,/players/r/roech01.shtml
16,2019-04-14,home,TBR,L,Adam Kolarek,/players/k/kolarad01.shtml,Marcus Stroman,/players/s/stromma01.shtml
17,2019-04-15,away,MIN,W,Sam Gaviglio,/players/g/gavigsa01.shtml,Adalberto Mejia,/players/m/mejiaad01.shtml
18,2019-04-16,away,MIN,W,Aaron Sanchez,/players/s/sanchaa01.shtml,Trevor May,/players/m/maytr01.shtml
19,2019-04-17,away,MIN,L,Jake Odorizzi,/players/o/odorija01.shtml,Trent Thornton,/players/t/thorntr01.shtml
20,2019-04-18,away,MIN,W,Joe Biagini,/players/b/biagijo01.shtml,Michael Pineda,/players/p/pinedmi01.shtml
21,2019-04-19,away,OAK,W,Marcus Stroman,/players/s/stromma01.shtml,Aaron Brooks,/players/b/brookaa01.shtml
22,2019-04-20,away,OAK,W,Sam Gaviglio,/players/g/gavigsa01.shtml,Mike Fiers,/players/f/fiersmi01.shtml
23,2019-04-21,away,OAK,W,Daniel Hudson,/players/h/hudsoda01.shtml,Brett Anderson,/players/a/anderbr04.shtml
24,2019-04-23,home,SFG,L,Jeff Samardzija,/players/s/samarje01.shtml,Trent Thornton,/players/t/thorntr01.shtml
25,2019-04-24,home,SFG,L,Drew Pomeranz,/players/p/pomerdr01.shtml,Clay Buchholz,/players/b/buchhcl01.shtml
26,2019-04-26,home,OAK,W,Ken Giles,/players/g/gileske01.shtml,Yusmeiro Petit,/players/p/petityu01.shtml
27,2019-04-27,home,OAK,W,Aaron Sanchez,/players/s/sanchaa01.shtml,Brett Anderson,/players/a/anderbr04.shtml
28,2019-04-28,home,OAK,W,Elvis Luciano,/players/l/luciael01.shtml,Blake Treinen,/players/t/treinbl01.shtml
29,2019-04-30,away,LAA,L,Ty Buttrey,/players/b/buttrty01.shtml,Ryan Tepera,/players/t/teperry01.shtml
30,2019-05-01,away,LAA,L,Felix Pena,/players/p/penafe01.shtml,Marcus Stroman,/players/s/stromma01.shtml
31,2019-05-02,away,LAA,L,Tyler Skaggs,/players/s/skaggty01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
32,2019-05-03,away,TEX,W,Daniel Hudson,/players/h/hudsoda01.shtml,Ariel Jurado,/players/j/juradar01.shtml
33,2019-05-04,away,TEX,L,Lance Lynn,/players/l/lynnla01.shtml,Thomas Pannone,/players/p/pannoth01.shtml
34,2019-05-05,away,TEX,L,Kyle Dowdy,/players/d/dowdyky01.shtml,Clay Buchholz,/players/b/buchhcl01.shtml
35,2019-05-06,home,MIN,L,Martin Perez,/players/p/perezma02.shtml,Marcus Stroman,/players/s/stromma01.shtml
36,2019-05-07,home,MIN,L,Jose Berrios,/players/b/berrijo01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
37,2019-05-08,home,MIN,L,Kyle Gibson,/players/g/gibsoky01.shtml,Trent Thornton,/players/t/thorntr01.shtml
38,2019-05-10,home,CHW,W,Joe Biagini,/players/b/biagijo01.shtml,Dylan Covey,/players/c/coveydy01.shtml
39,2019-05-11,home,CHW,L,Ivan Nova,/players/n/novaiv01.shtml,Marcus Stroman,/players/s/stromma01.shtml
40,2019-05-12,home,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
41,2019-05-14,away,SFG,W,Trent Thornton,/players/t/thorntr01.shtml,Nick Vincent,/players/v/vinceni01.shtml
42,2019-05-15,away,SFG,L,Mark Melancon,/players/m/melanma01.shtml,Ryan Tepera,/players/t/teperry01.shtml
43,2019-05-16,away,CHW,L,Kelvin Herrera,/players/h/herreke01.shtml,Derek Law,/players/l/lawde01.shtml
44,2019-05-17,away,CHW,W,Sam Gaviglio,/players/g/gavigsa01.shtml,Ivan Nova,/players/n/novaiv01.shtml
45,2019-05-18,away,CHW,L,Lucas Giolito,/players/g/giolilu01.shtml,Ryan Feierabend,/players/f/feierry01.shtml
46,2019-05-19,away,CHW,W,Daniel Hudson,/players/h/hudsoda01.shtml,Kelvin Herrera,/players/h/herreke01.shtml
47,2019-05-20,home,BOS,L,David Price,/players/p/priceda01.shtml,Edwin Jackson,/players/j/jacksed01.shtml
48,2019-05-21,home,BOS,W,Marcus Stroman,/players/s/stromma01.shtml,Eduardo Rodriguez,/players/r/rodried05.shtml
49,2019-05-22,home,BOS,L,Heath Hembree,/players/h/hembrhe01.shtml,Jimmy Cordero,/players/c/cordeji01.shtml
50,2019-05-23,home,BOS,L,Ryan Weber,/players/w/weberry01.shtml,Sam Gaviglio,/players/g/gavigsa01.shtml
51,2019-05-24,home,SDP,L,Matt Wisler,/players/w/wislema01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
52,2019-05-25,home,SDP,L,Cal Quantrill,/players/q/quantca01.shtml,Edwin Jackson,/players/j/jacksed01.shtml
53,2019-05-26,home,SDP,W,Marcus Stroman,/players/s/stromma01.shtml,Robbie Erlin,/players/e/erlinro01.shtml
54,2019-05-27,away,TBR,L,Yonny Chirinos,/players/c/chiriyo01.shtml,Aaron Sanchez,/players/s/sanchaa01.shtml
55,2019-05-28,away,TBR,L,Ryan Yarbrough,/players/y/yarbrry01.shtml,Clayton Richard,/players/r/richacl01.shtml
56,2019-05-29,away,TBR,L,Diego Castillo,/players/c/castidi01.shtml,Justin Shafer,/players/s/shafeju01.shtml
