Overall W-L%, Home W-L%, Away W-L%
.506,.506,.506

Opponent, W-L%
ARI,.714
ATL,.474
BAL,.833
BOS,.000
CHC,.429
CIN,.857
COL,.286
LAD,.167
MIA,.684
MIL,.333
NYM,.421
NYY,.500
PHI,.579
PIT,.714
SDP,.667
SFG,.333
STL,.286
TBR,.500
TOR,.000

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2018-03-30,away,CIN,W,Max Scherzer,/players/s/scherma01.shtml,Homer Bailey,/players/b/baileho02.shtml
2,2018-03-31,away,CIN,W,Stephen Strasburg,/players/s/strasst01.shtml,Luis Castillo,/players/c/castilu02.shtml
3,2018-04-01,away,CIN,W,Gio Gonzalez,/players/g/gonzagi01.shtml,Sal Romano,/players/r/romansa01.shtml
4,2018-04-02,away,ATL,W,Tanner Roark,/players/r/roarkta01.shtml,Sean Newcomb,/players/n/newcose01.shtml
5,2018-04-03,away,ATL,L,Shane Carle,/players/c/carlesh01.shtml,A.J. Cole,/players/c/coleaj01.shtml
6,2018-04-04,away,ATL,L,Mike Foltynewicz,/players/f/foltymi01.shtml,Max Scherzer,/players/s/scherma01.shtml
7,2018-04-05,home,NYM,L,Jacob deGrom,/players/d/degroja01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
8,2018-04-07,home,NYM,L,Hansel Robles,/players/r/robleha01.shtml,Brandon Kintzler,/players/k/kintzbr01.shtml
9,2018-04-08,home,NYM,L,Seth Lugo,/players/l/lugose01.shtml,Brandon Kintzler,/players/k/kintzbr01.shtml
10,2018-04-09,home,ATL,W,Max Scherzer,/players/s/scherma01.shtml,Julio Teheran,/players/t/teherju01.shtml
11,2018-04-10,home,ATL,W,Stephen Strasburg,/players/s/strasst01.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
12,2018-04-11,home,ATL,L,Shane Carle,/players/c/carlesh01.shtml,Ryan Madson,/players/m/madsory01.shtml
13,2018-04-12,home,COL,L,Chad Bettis,/players/b/bettich01.shtml,Gio Gonzalez,/players/g/gonzagi01.shtml
14,2018-04-13,home,COL,L,Scott Oberg,/players/o/obergsc01.shtml,Tanner Roark,/players/r/roarkta01.shtml
15,2018-04-14,home,COL,W,Max Scherzer,/players/s/scherma01.shtml,Jon Gray,/players/g/grayjo02.shtml
16,2018-04-15,home,COL,L,Adam Ottavino,/players/o/ottavad01.shtml,Sean Doolittle,/players/d/doolise01.shtml
17,2018-04-16,away,NYM,W,A.J. Cole,/players/c/coleaj01.shtml,AJ Ramos,/players/r/ramosaj01.shtml
18,2018-04-17,away,NYM,W,Gio Gonzalez,/players/g/gonzagi01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
19,2018-04-18,away,NYM,L,AJ Ramos,/players/r/ramosaj01.shtml,Ryan Madson,/players/m/madsory01.shtml
20,2018-04-20,away,LAD,W,Max Scherzer,/players/s/scherma01.shtml,Clayton Kershaw,/players/k/kershcl01.shtml
21,2018-04-21,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
