Overall W-L%, Home W-L%, Away W-L%
.574,.617,.531

Opponent, W-L%
ARI,.429
ATL,.421
BAL,.500
CHC,.667
CHW,.750
CIN,.833
CLE,1.000
COL,.571
DET,.667
KCR,.667
LAD,.429
MIA,.789
MIL,.333
MIN,.667
NYM,.368
PHI,.737
PIT,.571
SDP,.429
SFG,.833
STL,.286

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
1,2019-03-28,home,NYM,L,Jacob deGrom,/players/d/degroja01.shtml,Max Scherzer,/players/s/scherma01.shtml
2,2019-03-30,home,NYM,L,Justin Wilson,/players/w/wilsoju10.shtml,Trevor Rosenthal,/players/r/rosentr01.shtml
3,2019-03-31,home,NYM,W,Sean Doolittle,/players/d/doolise01.shtml,Justin Wilson,/players/w/wilsoju10.shtml
4,2019-04-02,home,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Max Scherzer,/players/s/scherma01.shtml
5,2019-04-03,home,PHI,W,Sean Doolittle,/players/d/doolise01.shtml,David Robertson,/players/r/roberda08.shtml
6,2019-04-04,away,NYM,W,Stephen Strasburg,/players/s/strasst01.shtml,Noah Syndergaard,/players/s/syndeno01.shtml
7,2019-04-06,away,NYM,L,Jeurys Familia,/players/f/familje01.shtml,Tony Sipp,/players/s/sippto01.shtml
8,2019-04-07,away,NYM,W,Max Scherzer,/players/s/scherma01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
9,2019-04-08,away,PHI,L,Seranthony Dominguez,/players/d/dominse01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
10,2019-04-09,away,PHI,W,Sean Doolittle,/players/d/doolise01.shtml,Jose Alvarez,/players/a/alvarjo02.shtml
11,2019-04-10,away,PHI,W,Jeremy Hellickson,/players/h/hellije01.shtml,Nick Pivetta,/players/p/pivetni01.shtml
12,2019-04-12,home,PIT,L,Nick Burdi,/players/b/burdini01.shtml,Matt Grace,/players/g/gracema02.shtml
13,2019-04-13,home,PIT,W,Wander Suero,/players/s/suerowa01.shtml,Richard Rodriguez,/players/r/rodriri05.shtml
14,2019-04-14,home,PIT,L,Felipe Vazquez,/players/r/riverfe01.shtml,Wander Suero,/players/s/suerowa01.shtml
15,2019-04-16,home,SFG,L,Dereck Rodriguez,/players/r/rodride01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
16,2019-04-17,home,SFG,W,Jeremy Hellickson,/players/h/hellije01.shtml,Jeff Samardzija,/players/s/samarje01.shtml
17,2019-04-18,home,SFG,W,Patrick Corbin,/players/c/corbipa01.shtml,Drew Pomeranz,/players/p/pomerdr01.shtml
18,2019-04-19,away,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
19,2019-04-20,away,MIA,L,Jose Urena,/players/u/urenajo01.shtml,Max Scherzer,/players/s/scherma01.shtml
20,2019-04-21,away,MIA,W,Stephen Strasburg,/players/s/strasst01.shtml,Trevor Richards,/players/r/richatr01.shtml
21,2019-04-22,away,COL,L,Seunghwan Oh,/players/o/ohse01.shtml,Wander Suero,/players/s/suerowa01.shtml
22,2019-04-23,away,COL,W,Patrick Corbin,/players/c/corbipa01.shtml,Jeff Hoffman,/players/h/hoffmje02.shtml
23,2019-04-24,away,COL,L,German Marquez,/players/m/marquge01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
24,2019-04-26,home,SDP,L,Craig Stammen,/players/s/stammcr01.shtml,Sean Doolittle,/players/d/doolise01.shtml
25,2019-04-27,home,SDP,L,Luis Perdomo,/players/p/perdolu02.shtml,Wander Suero,/players/s/suerowa01.shtml
26,2019-04-28,home,SDP,W,Justin Miller,/players/m/milleju02.shtml,Matt Wisler,/players/w/wislema01.shtml
27,2019-04-29,home,STL,L,Michael Wacha,/players/w/wachami01.shtml,Patrick Corbin,/players/c/corbipa01.shtml
28,2019-04-30,home,STL,L,Adam Wainwright,/players/w/wainwad01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
29,2019-05-01,home,STL,L,Miles Mikolas,/players/m/mikolmi01.shtml,Max Scherzer,/players/s/scherma01.shtml
30,2019-05-02,home,STL,W,Stephen Strasburg,/players/s/strasst01.shtml,Dakota Hudson,/players/h/hudsoda02.shtml
31,2019-05-03,away,PHI,L,Seranthony Dominguez,/players/d/dominse01.shtml,Dan Jennings,/players/j/jennida01.shtml
32,2019-05-04,away,PHI,W,Tony Sipp,/players/s/sippto01.shtml,Adam Morgan,/players/m/morgaad01.shtml
33,2019-05-05,away,PHI,L,Zach Eflin,/players/e/eflinza01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
34,2019-05-06,away,MIL,L,Alex Claudio,/players/c/claudal01.shtml,Dan Jennings,/players/j/jennida01.shtml
35,2019-05-07,away,MIL,L,Freddy Peralta,/players/p/peralfr01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
36,2019-05-08,away,MIL,L,Brandon Woodruff,/players/w/woodrbr01.shtml,Jeremy Hellickson,/players/h/hellije01.shtml
37,2019-05-09,away,LAD,W,Patrick Corbin,/players/c/corbipa01.shtml,Rich Hill,/players/h/hillri01.shtml
38,2019-05-10,away,LAD,L,Kenta Maeda,/players/m/maedake01.shtml,Anibal Sanchez,/players/s/sanchan01.shtml
39,2019-05-11,away,LAD,W,Max Scherzer,/players/s/scherma01.shtml,Pedro Baez,/players/b/baezpe01.shtml
40,2019-05-12,away,LAD,L,Hyun-Jin Ryu,/players/r/ryuhy01.shtml,Stephen Strasburg,/players/s/strasst01.shtml
41,2019-05-14,home,NYM,L,Noah Syndergaard,/players/s/syndeno01.shtml,Jeremy Hellickson,/players/h/hellije01.shtml
42,2019-05-15,home,NYM,W,Patrick Corbin,/players/c/corbipa01.shtml,Wilmer Font,/players/f/fontwi01.shtml
43,2019-05-16,home,NYM,W,Dan Jennings,/players/j/jennida01.shtml,Zack Wheeler,/players/w/wheelza01.shtml
44,2019-05-17,home,CHC,L,Cole Hamels,/players/h/hamelco01.shtml,Max Scherzer,/players/s/scherma01.shtml
45,2019-05-18,home,CHC,W,Stephen Strasburg,/players/s/strasst01.shtml,Jon Lester,/players/l/lestejo01.shtml
